seq_len,inj_over_seq,inj_tokens,cdc_recompute_pct,pic_p1_pct,pic_p5_pct,pic_p10_pct,pic_p15_pct,cdc_vs_pic_p1_x,cdc_vs_pic_p10_x,winner_vs_pic_p1
4000,0.001,4,0.633,7.493,11.489,16.484,21.479,11.84,26.05,CDC
4000,0.01,40,1.518,8.317,12.277,17.228,22.178,5.48,11.35,CDC
4000,0.05,200,5.27,11.81,15.619,20.381,25.143,2.24,3.87,CDC
4000,0.25,1000,20.427,25.92,29.12,33.12,37.12,1.27,1.62,CDC
4000,1.0,4000,50.267,53.7,55.7,58.2,60.7,1.07,1.16,CDC
8000,0.001,8,0.533,4.296,8.292,13.287,18.282,8.06,24.94,CDC
8000,0.01,80,1.419,5.149,9.109,14.059,19.01,3.63,9.91,CDC
8000,0.05,400,5.175,8.762,12.571,17.333,22.095,1.69,3.35,CDC
8000,0.25,2000,20.347,23.36,26.56,30.56,34.56,1.15,1.5,CDC
8000,1.0,8000,50.217,52.1,54.1,56.6,59.1,1.04,1.13,CDC
32000,0.001,32,0.2,1.898,5.894,10.889,15.884,9.5,54.5,CDC
32000,0.01,320,1.116,2.772,6.733,11.683,16.634,2.48,10.47,CDC
32000,0.05,1600,4.883,6.476,10.286,15.048,19.81,1.33,3.08,CDC
32000,0.25,8000,20.099,21.44,24.64,28.64,32.64,1.07,1.42,CDC
32000,1.0,32000,50.054,50.9,52.9,55.4,57.9,1.02,1.11,CDC
