class,n,recovered,recovery_rate,delta_vs_null
policy.web_disabled,109,0,0.0000,-0.4494
other,97,72,0.7423,+0.2928
cancelled,59,33,0.5593,+0.1099
policy.perm_denied,30,17,0.5667,+0.1172
fs.notfound,19,12,0.6316,+0.1821
proc.exit_nodetail,14,7,0.5000,+0.0506
ssh.auth,6,4,0.6667,+0.2172
edit.other,5,4,0.8000,+0.3506
code.build,4,4,1.0000,+0.5506
proc.timeout,4,2,0.5000,+0.0506
net.http,2,2,1.0000,+0.5506
policy.input_filter,2,0,0.0000,-0.4494
code.test,1,1,1.0000,+0.5506
fs.perm,1,1,1.0000,+0.5506
net.conn,1,1,1.0000,+0.5506
net.dns,1,0,0.0000,-0.4494
read.too_large,1,0,0.0000,-0.4494
# N=356,p0=0.4494,chi2=147.7903,df=16,CramersV=0.6443,perm_p=0.0002,brier_null=0.2474,brier_loo=0.1605,brier_improve_loo=+0.0870
# ROBUST1_rareCollapsed: chi2=135.7722,df=6,CramersV=0.6176,perm_p=0.0002
# ROBUST2_perm_vs_transient: chi2=73.3662,df=1,phi=0.4540,perm_p=0.0002
