class,n,old_same_intent_rate,broad_workaround_rate,lift,broad_recovered
policy.web_disabled,109,0.0000,0.6055,+0.6055,66
other,98,0.7449,0.6429,-0.1020,63
cancelled,59,0.5593,0.5763,+0.0169,34
policy.perm_denied,30,0.5667,0.4667,-0.1000,14
fs.notfound,19,0.6316,0.7895,+0.1579,15
proc.exit_nodetail,14,0.5000,0.8571,+0.3571,12
ssh.auth,6,0.6667,0.8333,+0.1667,5
edit.other,5,0.8000,0.8000,+0.0000,4
code.build,4,1.0000,1.0000,+0.0000,4
proc.timeout,4,0.5000,0.7500,+0.2500,3
net.http,2,1.0000,1.0000,+0.0000,2
policy.input_filter,2,0.0000,1.0000,+1.0000,2
code.test,1,1.0000,1.0000,+0.0000,1
fs.perm,1,1.0000,0.0000,-1.0000,0
net.conn,1,1.0000,1.0000,+0.0000,1
net.dns,1,0.0000,1.0000,+1.0000,1
read.too_large,1,0.0000,1.0000,+1.0000,1
# N=357,K_WINDOW=6
# global_same_intent_unbounded=0.4510,global_broad=0.6387,workaround_flag_rate=0.4090
# BROAD_full_taxonomy: chi2=20.4567,df=16,CramersV=0.2394,perm_p=0.1640,brier_null=0.2308,brier_loo=0.2314,brier_improve=-0.0006
# BROAD_rare_collapsed: CramersV=0.2112,perm_p=0.0150
# BROAD_perm_vs_transient: permanent_rate=0.5800,transient_rate=0.7134,phi=0.1378,perm_p=0.0118
