L_regime,inject,inject_frac,k_local,r2,se
A005-window_4k-32k,small-inject_40tok,0.25,1.2162,0.998567,0.0266
A005-window_4k-32k,small-inject_40tok,0.5,1.2477,0.998367,0.02913
A005-window_4k-32k,small-inject_40tok,0.75,1.2783,0.998225,0.03112
A005-window_4k-32k,large-inject_1000tok,0.25,1.2411,0.998725,0.0256
A005-window_4k-32k,large-inject_1000tok,0.5,1.2913,0.998654,0.02737
A005-window_4k-32k,large-inject_1000tok,0.75,1.3743,0.998839,0.02705
small-ctx_256-2k,small-inject_40tok,0.25,1.0194,0.999977,0.00281
small-ctx_256-2k,small-inject_40tok,0.5,1.0241,0.999968,0.00334
small-ctx_256-2k,small-inject_40tok,0.75,1.031,0.999958,0.00388
small-ctx_256-2k,large-inject_1000tok,0.25,1.0493,0.999979,0.00278
small-ctx_256-2k,large-inject_1000tok,0.5,1.0762,0.999973,0.00324
small-ctx_256-2k,large-inject_1000tok,0.75,1.1476,0.999972,0.0035
large-ctx_64k-512k,small-inject_40tok,0.25,1.7872,0.999353,0.02625
large-ctx_64k-512k,small-inject_40tok,0.5,1.815,0.999492,0.02362
large-ctx_64k-512k,small-inject_40tok,0.75,1.8367,0.999593,0.0214
large-ctx_64k-512k,large-inject_1000tok,0.25,1.7909,0.999382,0.02571
large-ctx_64k-512k,large-inject_1000tok,0.5,1.8225,0.999538,0.02261
large-ctx_64k-512k,large-inject_1000tok,0.75,1.8547,0.999685,0.01902
asymptotic_1M-8M,small-inject_40tok,0.25,1.9815,0.999994,0.00285
asymptotic_1M-8M,small-inject_40tok,0.5,1.9846,0.999996,0.00239
asymptotic_1M-8M,small-inject_40tok,0.75,1.9868,0.999997,0.00205
asymptotic_1M-8M,large-inject_1000tok,0.25,1.9817,0.999994,0.00281
asymptotic_1M-8M,large-inject_1000tok,0.5,1.9851,0.999996,0.00231
asymptotic_1M-8M,large-inject_1000tok,0.75,1.9881,0.999997,0.00184
