metric,value
N_recovered,233
NULL_p0,0.5064
full_V,0.7135
full_LOObrier_improve,0.1002
full_LOObrier_pct,40.1
ablated_noWebDisabled_V,0.4490
ablated_noWebDisabled_LOObrier_improve,0.0047
ablated_noWebDisabled_LOObrier_pct,2.2
transientOnly_V,0.4088
transientOnly_LOObrier_improve,-0.0043
LOCO_full_improve,-0.0826
LOCO_full_pct,-33.0
LOCO_ablated_improve,-0.0075
static_mapping_accuracy,0.8197
static_mapping_brier,0.1803
gatetype3_V,0.6525
gatetype3_LOObrier_improve,0.1045
gatebinary_V,0.6338
gatebinary_LOObrier_improve,0.0986
errorclass_LIFT_over_gatetype3_LOObrier,-0.0043
errorclass_LIFT_over_gatebinary_LOObrier,0.0017
errorclass_LIFT_over_static_brier,0.0576
ec_determines_gatetype,True
