engine,seq_len,inj_seq,inj_tokens,f,seed,recompute_pct
vllm_apc,4000,0.001,4,0.1,0,90.0
radix,4000,0.001,4,0.1,0,90.01
flashinfer,4000,0.001,4,0.1,0,90.01
cdc,4000,0.001,4,0.1,0,0.4246
pic_lean,4000,0.001,4,0.1,0,7.4925
vllm_apc,4000,0.001,4,0.1,1,90.0
radix,4000,0.001,4,0.1,1,90.01
flashinfer,4000,0.001,4,0.1,1,90.01
cdc,4000,0.001,4,0.1,1,0.8741
pic_lean,4000,0.001,4,0.1,1,7.4925
vllm_apc,4000,0.001,4,0.1,2,90.0
radix,4000,0.001,4,0.1,2,90.01
flashinfer,4000,0.001,4,0.1,2,90.01
cdc,4000,0.001,4,0.1,2,0.1499
pic_lean,4000,0.001,4,0.1,2,7.4925
vllm_apc,4000,0.001,4,0.1,3,90.0
radix,4000,0.001,4,0.1,3,90.01
flashinfer,4000,0.001,4,0.1,3,90.01
cdc,4000,0.001,4,0.1,3,0.2747
pic_lean,4000,0.001,4,0.1,3,7.4925
vllm_apc,4000,0.001,4,0.1,4,90.0
radix,4000,0.001,4,0.1,4,90.01
flashinfer,4000,0.001,4,0.1,4,90.01
cdc,4000,0.001,4,0.1,4,0.3247
pic_lean,4000,0.001,4,0.1,4,7.4925
vllm_apc,4000,0.001,4,0.5,0,50.0
radix,4000,0.001,4,0.5,0,50.05
flashinfer,4000,0.001,4,0.5,0,50.05
cdc,4000,0.001,4,0.5,0,0.6244
pic_lean,4000,0.001,4,0.5,0,7.4925
vllm_apc,4000,0.001,4,0.5,1,50.0
radix,4000,0.001,4,0.5,1,50.05
flashinfer,4000,0.001,4,0.5,1,50.05
cdc,4000,0.001,4,0.5,1,0.2248
pic_lean,4000,0.001,4,0.5,1,7.4925
vllm_apc,4000,0.001,4,0.5,2,50.0
radix,4000,0.001,4,0.5,2,50.05
flashinfer,4000,0.001,4,0.5,2,50.05
cdc,4000,0.001,4,0.5,2,0.2248
pic_lean,4000,0.001,4,0.5,2,7.4925
vllm_apc,4000,0.001,4,0.5,3,50.0
radix,4000,0.001,4,0.5,3,50.05
flashinfer,4000,0.001,4,0.5,3,50.05
cdc,4000,0.001,4,0.5,3,0.5994
pic_lean,4000,0.001,4,0.5,3,7.4925
vllm_apc,4000,0.001,4,0.5,4,50.0
radix,4000,0.001,4,0.5,4,50.05
flashinfer,4000,0.001,4,0.5,4,50.05
cdc,4000,0.001,4,0.5,4,0.2248
pic_lean,4000,0.001,4,0.5,4,7.4925
vllm_apc,4000,0.001,4,0.9,0,10.0
radix,4000,0.001,4,0.9,0,10.0899
flashinfer,4000,0.001,4,0.9,0,10.0899
cdc,4000,0.001,4,0.9,0,1.1489
pic_lean,4000,0.001,4,0.9,0,7.4925
vllm_apc,4000,0.001,4,0.9,1,10.0
radix,4000,0.001,4,0.9,1,10.0899
flashinfer,4000,0.001,4,0.9,1,10.0899
cdc,4000,0.001,4,0.9,1,1.1738
pic_lean,4000,0.001,4,0.9,1,7.4925
vllm_apc,4000,0.001,4,0.9,2,10.0
radix,4000,0.001,4,0.9,2,10.0899
flashinfer,4000,0.001,4,0.9,2,10.0899
cdc,4000,0.001,4,0.9,2,0.3746
pic_lean,4000,0.001,4,0.9,2,7.4925
vllm_apc,4000,0.001,4,0.9,3,10.0
radix,4000,0.001,4,0.9,3,10.0899
flashinfer,4000,0.001,4,0.9,3,10.0899
cdc,4000,0.001,4,0.9,3,0.6494
pic_lean,4000,0.001,4,0.9,3,7.4925
vllm_apc,4000,0.001,4,0.9,4,10.0
radix,4000,0.001,4,0.9,4,10.0899
flashinfer,4000,0.001,4,0.9,4,10.0899
cdc,4000,0.001,4,0.9,4,1.1738
pic_lean,4000,0.001,4,0.9,4,7.4925
vllm_apc,4000,0.005,20,0.1,0,90.0398
radix,4000,0.005,20,0.1,0,90.0498
flashinfer,4000,0.005,20,0.1,0,90.0498
cdc,4000,0.005,20,0.1,0,1.5672
pic_lean,4000,0.005,20,0.1,0,7.8607
vllm_apc,4000,0.005,20,0.1,1,90.0398
radix,4000,0.005,20,0.1,1,90.0498
flashinfer,4000,0.005,20,0.1,1,90.0498
cdc,4000,0.005,20,0.1,1,1.2687
pic_lean,4000,0.005,20,0.1,1,7.8607
vllm_apc,4000,0.005,20,0.1,2,90.0398
radix,4000,0.005,20,0.1,2,90.0498
flashinfer,4000,0.005,20,0.1,2,90.0498
cdc,4000,0.005,20,0.1,2,0.9204
pic_lean,4000,0.005,20,0.1,2,7.8607
vllm_apc,4000,0.005,20,0.1,3,90.0398
radix,4000,0.005,20,0.1,3,90.0498
flashinfer,4000,0.005,20,0.1,3,90.0498
cdc,4000,0.005,20,0.1,3,0.7463
pic_lean,4000,0.005,20,0.1,3,7.8607
vllm_apc,4000,0.005,20,0.1,4,90.0398
radix,4000,0.005,20,0.1,4,90.0498
flashinfer,4000,0.005,20,0.1,4,90.0498
cdc,4000,0.005,20,0.1,4,0.796
pic_lean,4000,0.005,20,0.1,4,7.8607
vllm_apc,4000,0.005,20,0.5,0,50.1992
radix,4000,0.005,20,0.5,0,50.2488
flashinfer,4000,0.005,20,0.5,0,50.2488
cdc,4000,0.005,20,0.5,0,0.6965
pic_lean,4000,0.005,20,0.5,0,7.8607
vllm_apc,4000,0.005,20,0.5,1,50.1992
radix,4000,0.005,20,0.5,1,50.2488
flashinfer,4000,0.005,20,0.5,1,50.2488
cdc,4000,0.005,20,0.5,1,0.6716
pic_lean,4000,0.005,20,0.5,1,7.8607
vllm_apc,4000,0.005,20,0.5,2,50.1992
radix,4000,0.005,20,0.5,2,50.2488
flashinfer,4000,0.005,20,0.5,2,50.2488
cdc,4000,0.005,20,0.5,2,1.0945
pic_lean,4000,0.005,20,0.5,2,7.8607
vllm_apc,4000,0.005,20,0.5,3,50.1992
radix,4000,0.005,20,0.5,3,50.2488
flashinfer,4000,0.005,20,0.5,3,50.2488
cdc,4000,0.005,20,0.5,3,0.8955
pic_lean,4000,0.005,20,0.5,3,7.8607
vllm_apc,4000,0.005,20,0.5,4,50.1992
radix,4000,0.005,20,0.5,4,50.2488
flashinfer,4000,0.005,20,0.5,4,50.2488
cdc,4000,0.005,20,0.5,4,0.597
pic_lean,4000,0.005,20,0.5,4,7.8607
vllm_apc,4000,0.005,20,0.9,0,10.3586
radix,4000,0.005,20,0.9,0,10.4478
flashinfer,4000,0.005,20,0.9,0,10.4478
cdc,4000,0.005,20,0.9,0,1.1443
pic_lean,4000,0.005,20,0.9,0,7.8607
vllm_apc,4000,0.005,20,0.9,1,10.3586
radix,4000,0.005,20,0.9,1,10.4478
flashinfer,4000,0.005,20,0.9,1,10.4478
cdc,4000,0.005,20,0.9,1,1.1194
pic_lean,4000,0.005,20,0.9,1,7.8607
vllm_apc,4000,0.005,20,0.9,2,10.3586
radix,4000,0.005,20,0.9,2,10.4478
flashinfer,4000,0.005,20,0.9,2,10.4478
cdc,4000,0.005,20,0.9,2,0.8955
pic_lean,4000,0.005,20,0.9,2,7.8607
vllm_apc,4000,0.005,20,0.9,3,10.3586
radix,4000,0.005,20,0.9,3,10.4478
flashinfer,4000,0.005,20,0.9,3,10.4478
cdc,4000,0.005,20,0.9,3,1.194
pic_lean,4000,0.005,20,0.9,3,7.8607
vllm_apc,4000,0.005,20,0.9,4,10.3586
radix,4000,0.005,20,0.9,4,10.4478
flashinfer,4000,0.005,20,0.9,4,10.4478
cdc,4000,0.005,20,0.9,4,0.796
pic_lean,4000,0.005,20,0.9,4,7.8607
vllm_apc,4000,0.01,40,0.1,0,90.0794
radix,4000,0.01,40,0.1,0,90.099
flashinfer,4000,0.01,40,0.1,0,90.099
cdc,4000,0.01,40,0.1,0,1.1634
pic_lean,4000,0.01,40,0.1,0,8.3168
vllm_apc,4000,0.01,40,0.1,1,90.0794
radix,4000,0.01,40,0.1,1,90.099
flashinfer,4000,0.01,40,0.1,1,90.099
cdc,4000,0.01,40,0.1,1,1.7574
pic_lean,4000,0.01,40,0.1,1,8.3168
vllm_apc,4000,0.01,40,0.1,2,90.0794
radix,4000,0.01,40,0.1,2,90.099
flashinfer,4000,0.01,40,0.1,2,90.099
cdc,4000,0.01,40,0.1,2,1.5594
pic_lean,4000,0.01,40,0.1,2,8.3168
vllm_apc,4000,0.01,40,0.1,3,90.0794
radix,4000,0.01,40,0.1,3,90.099
flashinfer,4000,0.01,40,0.1,3,90.099
cdc,4000,0.01,40,0.1,3,1.5594
pic_lean,4000,0.01,40,0.1,3,8.3168
vllm_apc,4000,0.01,40,0.1,4,90.0794
radix,4000,0.01,40,0.1,4,90.099
flashinfer,4000,0.01,40,0.1,4,90.099
cdc,4000,0.01,40,0.1,4,1.2871
pic_lean,4000,0.01,40,0.1,4,8.3168
vllm_apc,4000,0.01,40,0.5,0,50.3968
radix,4000,0.01,40,0.5,0,50.495
flashinfer,4000,0.01,40,0.5,0,50.495
cdc,4000,0.01,40,0.5,0,1.2129
pic_lean,4000,0.01,40,0.5,0,8.3168
vllm_apc,4000,0.01,40,0.5,1,50.3968
radix,4000,0.01,40,0.5,1,50.495
flashinfer,4000,0.01,40,0.5,1,50.495
cdc,4000,0.01,40,0.5,1,1.2129
pic_lean,4000,0.01,40,0.5,1,8.3168
vllm_apc,4000,0.01,40,0.5,2,50.3968
radix,4000,0.01,40,0.5,2,50.495
flashinfer,4000,0.01,40,0.5,2,50.495
cdc,4000,0.01,40,0.5,2,1.1139
pic_lean,4000,0.01,40,0.5,2,8.3168
vllm_apc,4000,0.01,40,0.5,3,50.3968
radix,4000,0.01,40,0.5,3,50.495
flashinfer,4000,0.01,40,0.5,3,50.495
cdc,4000,0.01,40,0.5,3,1.8812
pic_lean,4000,0.01,40,0.5,3,8.3168
vllm_apc,4000,0.01,40,0.5,4,50.3968
radix,4000,0.01,40,0.5,4,50.495
flashinfer,4000,0.01,40,0.5,4,50.495
cdc,4000,0.01,40,0.5,4,1.9059
pic_lean,4000,0.01,40,0.5,4,8.3168
vllm_apc,4000,0.01,40,0.9,0,10.7143
radix,4000,0.01,40,0.9,0,10.8911
flashinfer,4000,0.01,40,0.9,0,10.8911
cdc,4000,0.01,40,0.9,0,1.3366
pic_lean,4000,0.01,40,0.9,0,8.3168
vllm_apc,4000,0.01,40,0.9,1,10.7143
radix,4000,0.01,40,0.9,1,10.8911
flashinfer,4000,0.01,40,0.9,1,10.8911
cdc,4000,0.01,40,0.9,1,1.3861
pic_lean,4000,0.01,40,0.9,1,8.3168
vllm_apc,4000,0.01,40,0.9,2,10.7143
radix,4000,0.01,40,0.9,2,10.8911
flashinfer,4000,0.01,40,0.9,2,10.8911
cdc,4000,0.01,40,0.9,2,1.4109
pic_lean,4000,0.01,40,0.9,2,8.3168
vllm_apc,4000,0.01,40,0.9,3,10.7143
radix,4000,0.01,40,0.9,3,10.8911
flashinfer,4000,0.01,40,0.9,3,10.8911
cdc,4000,0.01,40,0.9,3,1.6832
pic_lean,4000,0.01,40,0.9,3,8.3168
vllm_apc,4000,0.01,40,0.9,4,10.7143
radix,4000,0.01,40,0.9,4,10.8911
flashinfer,4000,0.01,40,0.9,4,10.8911
cdc,4000,0.01,40,0.9,4,1.1139
pic_lean,4000,0.01,40,0.9,4,8.3168
vllm_apc,4000,0.02,80,0.1,0,90.1961
radix,4000,0.02,80,0.1,0,90.1961
flashinfer,4000,0.02,80,0.1,0,90.1961
cdc,4000,0.02,80,0.1,0,2.3529
pic_lean,4000,0.02,80,0.1,0,9.2157
vllm_apc,4000,0.02,80,0.1,1,90.1961
radix,4000,0.02,80,0.1,1,90.1961
flashinfer,4000,0.02,80,0.1,1,90.1961
cdc,4000,0.02,80,0.1,1,2.0343
pic_lean,4000,0.02,80,0.1,1,9.2157
vllm_apc,4000,0.02,80,0.1,2,90.1961
radix,4000,0.02,80,0.1,2,90.1961
flashinfer,4000,0.02,80,0.1,2,90.1961
cdc,4000,0.02,80,0.1,2,3.1618
pic_lean,4000,0.02,80,0.1,2,9.2157
vllm_apc,4000,0.02,80,0.1,3,90.1961
radix,4000,0.02,80,0.1,3,90.1961
flashinfer,4000,0.02,80,0.1,3,90.1961
cdc,4000,0.02,80,0.1,3,2.1078
pic_lean,4000,0.02,80,0.1,3,9.2157
vllm_apc,4000,0.02,80,0.1,4,90.1961
radix,4000,0.02,80,0.1,4,90.1961
flashinfer,4000,0.02,80,0.1,4,90.1961
cdc,4000,0.02,80,0.1,4,2.3529
pic_lean,4000,0.02,80,0.1,4,9.2157
vllm_apc,4000,0.02,80,0.5,0,50.9804
radix,4000,0.02,80,0.5,0,50.9804
flashinfer,4000,0.02,80,0.5,0,50.9804
cdc,4000,0.02,80,0.5,0,3.4069
pic_lean,4000,0.02,80,0.5,0,9.2157
vllm_apc,4000,0.02,80,0.5,1,50.9804
radix,4000,0.02,80,0.5,1,50.9804
flashinfer,4000,0.02,80,0.5,1,50.9804
cdc,4000,0.02,80,0.5,1,2.5735
pic_lean,4000,0.02,80,0.5,1,9.2157
vllm_apc,4000,0.02,80,0.5,2,50.9804
radix,4000,0.02,80,0.5,2,50.9804
flashinfer,4000,0.02,80,0.5,2,50.9804
cdc,4000,0.02,80,0.5,2,2.3284
pic_lean,4000,0.02,80,0.5,2,9.2157
vllm_apc,4000,0.02,80,0.5,3,50.9804
radix,4000,0.02,80,0.5,3,50.9804
flashinfer,4000,0.02,80,0.5,3,50.9804
cdc,4000,0.02,80,0.5,3,2.1814
pic_lean,4000,0.02,80,0.5,3,9.2157
vllm_apc,4000,0.02,80,0.5,4,50.9804
radix,4000,0.02,80,0.5,4,50.9804
flashinfer,4000,0.02,80,0.5,4,50.9804
cdc,4000,0.02,80,0.5,4,2.5735
pic_lean,4000,0.02,80,0.5,4,9.2157
vllm_apc,4000,0.02,80,0.9,0,11.7647
radix,4000,0.02,80,0.9,0,11.7647
flashinfer,4000,0.02,80,0.9,0,11.7647
cdc,4000,0.02,80,0.9,0,2.2794
pic_lean,4000,0.02,80,0.9,0,9.2157
vllm_apc,4000,0.02,80,0.9,1,11.7647
radix,4000,0.02,80,0.9,1,11.7647
flashinfer,4000,0.02,80,0.9,1,11.7647
cdc,4000,0.02,80,0.9,1,2.5735
pic_lean,4000,0.02,80,0.9,1,9.2157
vllm_apc,4000,0.02,80,0.9,2,11.7647
radix,4000,0.02,80,0.9,2,11.7647
flashinfer,4000,0.02,80,0.9,2,11.7647
cdc,4000,0.02,80,0.9,2,2.8676
pic_lean,4000,0.02,80,0.9,2,9.2157
vllm_apc,4000,0.02,80,0.9,3,11.7647
radix,4000,0.02,80,0.9,3,11.7647
flashinfer,4000,0.02,80,0.9,3,11.7647
cdc,4000,0.02,80,0.9,3,2.6961
pic_lean,4000,0.02,80,0.9,3,9.2157
vllm_apc,4000,0.02,80,0.9,4,11.7647
radix,4000,0.02,80,0.9,4,11.7647
flashinfer,4000,0.02,80,0.9,4,11.7647
cdc,4000,0.02,80,0.9,4,2.1814
pic_lean,4000,0.02,80,0.9,4,9.2157
vllm_apc,4000,0.05,200,0.1,0,90.458
radix,4000,0.05,200,0.1,0,90.4762
flashinfer,4000,0.05,200,0.1,0,90.4762
cdc,4000,0.05,200,0.1,0,5.6429
pic_lean,4000,0.05,200,0.1,0,11.8095
vllm_apc,4000,0.05,200,0.1,1,90.458
radix,4000,0.05,200,0.1,1,90.4762
flashinfer,4000,0.05,200,0.1,1,90.4762
cdc,4000,0.05,200,0.1,1,5.8571
pic_lean,4000,0.05,200,0.1,1,11.8095
vllm_apc,4000,0.05,200,0.1,2,90.458
radix,4000,0.05,200,0.1,2,90.4762
flashinfer,4000,0.05,200,0.1,2,90.4762
cdc,4000,0.05,200,0.1,2,5.3095
pic_lean,4000,0.05,200,0.1,2,11.8095
vllm_apc,4000,0.05,200,0.1,3,90.458
radix,4000,0.05,200,0.1,3,90.4762
flashinfer,4000,0.05,200,0.1,3,90.4762
cdc,4000,0.05,200,0.1,3,6.2619
pic_lean,4000,0.05,200,0.1,3,11.8095
vllm_apc,4000,0.05,200,0.1,4,90.458
radix,4000,0.05,200,0.1,4,90.4762
flashinfer,4000,0.05,200,0.1,4,90.4762
cdc,4000,0.05,200,0.1,4,5.3333
pic_lean,4000,0.05,200,0.1,4,11.8095
vllm_apc,4000,0.05,200,0.5,0,52.2901
radix,4000,0.05,200,0.5,0,52.381
flashinfer,4000,0.05,200,0.5,0,52.381
cdc,4000,0.05,200,0.5,0,5.3333
pic_lean,4000,0.05,200,0.5,0,11.8095
vllm_apc,4000,0.05,200,0.5,1,52.2901
radix,4000,0.05,200,0.5,1,52.381
flashinfer,4000,0.05,200,0.5,1,52.381
cdc,4000,0.05,200,0.5,1,5.119
pic_lean,4000,0.05,200,0.5,1,11.8095
vllm_apc,4000,0.05,200,0.5,2,52.2901
radix,4000,0.05,200,0.5,2,52.381
flashinfer,4000,0.05,200,0.5,2,52.381
cdc,4000,0.05,200,0.5,2,5.0
pic_lean,4000,0.05,200,0.5,2,11.8095
vllm_apc,4000,0.05,200,0.5,3,52.2901
radix,4000,0.05,200,0.5,3,52.381
flashinfer,4000,0.05,200,0.5,3,52.381
cdc,4000,0.05,200,0.5,3,5.5238
pic_lean,4000,0.05,200,0.5,3,11.8095
vllm_apc,4000,0.05,200,0.5,4,52.2901
radix,4000,0.05,200,0.5,4,52.381
flashinfer,4000,0.05,200,0.5,4,52.381
cdc,4000,0.05,200,0.5,4,5.4762
pic_lean,4000,0.05,200,0.5,4,11.8095
vllm_apc,4000,0.05,200,0.9,0,14.1221
radix,4000,0.05,200,0.9,0,14.2857
flashinfer,4000,0.05,200,0.9,0,14.2857
cdc,4000,0.05,200,0.9,0,5.0952
pic_lean,4000,0.05,200,0.9,0,11.8095
vllm_apc,4000,0.05,200,0.9,1,14.1221
radix,4000,0.05,200,0.9,1,14.2857
flashinfer,4000,0.05,200,0.9,1,14.2857
cdc,4000,0.05,200,0.9,1,5.4048
pic_lean,4000,0.05,200,0.9,1,11.8095
vllm_apc,4000,0.05,200,0.9,2,14.1221
radix,4000,0.05,200,0.9,2,14.2857
flashinfer,4000,0.05,200,0.9,2,14.2857
cdc,4000,0.05,200,0.9,2,5.5
pic_lean,4000,0.05,200,0.9,2,11.8095
vllm_apc,4000,0.05,200,0.9,3,14.1221
radix,4000,0.05,200,0.9,3,14.2857
