tail_scale,ctx_scale,count_frac_win1,count_frac_win1_lo,count_frac_win1_hi,token_frac_win1,token_frac_win1_lo,token_frac_win1_hi,count_frac_win1_GIVEN_large,cfg_GIVEN_large_lo,cfg_GIVEN_large_hi,large_ctx_share_count
0.5,0.5,0.1752,0.1728,0.178,0.0273,0.0265,0.028,0.4112,0.4068,0.4157,0.2514
0.5,1.0,0.1932,0.19,0.1963,0.0311,0.0302,0.032,0.4146,0.41,0.4194,0.2778
0.5,2.0,0.2446,0.2417,0.2476,0.0452,0.0442,0.0463,0.4288,0.4253,0.4336,0.4021
0.5,4.0,0.3344,0.3303,0.3383,0.0808,0.0788,0.0824,0.4976,0.4934,0.5021,0.5484
1.0,0.5,0.2215,0.2184,0.2248,0.0323,0.0315,0.0331,0.453,0.4482,0.4574,0.3552
1.0,1.0,0.2443,0.2402,0.2478,0.0364,0.0355,0.0373,0.4572,0.4528,0.4611,0.3943
1.0,2.0,0.2868,0.2827,0.2902,0.0452,0.0442,0.0462,0.4625,0.4584,0.4667,0.4891
1.0,4.0,0.3627,0.3586,0.3664,0.068,0.0667,0.0694,0.5108,0.5063,0.5148,0.61
2.0,0.5,0.2893,0.2857,0.2933,0.0349,0.0342,0.0356,0.4886,0.4848,0.4927,0.4992
2.0,1.0,0.3103,0.3067,0.3134,0.0379,0.0373,0.0386,0.4927,0.4892,0.4962,0.5362
2.0,2.0,0.3426,0.3388,0.3463,0.0429,0.0422,0.0436,0.4934,0.4898,0.4967,0.6087
2.0,4.0,0.4016,0.3978,0.4051,0.0539,0.0531,0.0548,0.5197,0.5163,0.523,0.7043
3.0,0.5,0.3159,0.3122,0.3198,0.0314,0.0308,0.0319,0.4769,0.4735,0.4801,0.5894
3.0,1.0,0.3291,0.3256,0.3322,0.0326,0.032,0.0331,0.4763,0.4727,0.4797,0.6153
3.0,2.0,0.3564,0.3533,0.3597,0.0363,0.0357,0.0369,0.4778,0.4744,0.4811,0.6773
3.0,4.0,0.408,0.4049,0.4117,0.0435,0.0429,0.0442,0.4995,0.4964,0.5023,0.7644
