W_s,idle_pmass,P_tokens,q_survival,reuse_frac_f,match_len_m,alpha_waste,hit_rate_h,breakeven_hmin,net_value_tok,pays_off
0.2,0.3,16,0.8,0.24296,3.887,0.0,0.1,0.0,0.389,1
0.2,0.3,16,0.8,0.24296,3.887,0.0,0.3,0.0,1.166,1
0.2,0.3,16,0.8,0.24296,3.887,0.0,0.5,0.0,1.944,1
0.2,0.3,16,0.8,0.24296,3.887,0.0,0.7,0.0,2.721,1
0.2,0.3,16,0.8,0.24296,3.887,0.0,0.9,0.0,3.499,1
0.2,0.3,16,0.8,0.24296,3.887,0.1,0.1,0.37417,-1.172,0
0.2,0.3,16,0.8,0.24296,3.887,0.1,0.3,0.37417,-0.317,0
0.2,0.3,16,0.8,0.24296,3.887,0.1,0.5,0.37417,0.538,1
0.2,0.3,16,0.8,0.24296,3.887,0.1,0.7,0.37417,1.393,1
0.2,0.3,16,0.8,0.24296,3.887,0.1,0.9,0.37417,2.249,1
0.2,0.3,16,0.8,0.24296,3.887,0.25,0.1,0.82317,-3.514,0
0.2,0.3,16,0.8,0.24296,3.887,0.25,0.3,0.82317,-2.542,0
0.2,0.3,16,0.8,0.24296,3.887,0.25,0.5,0.82317,-1.57,0
0.2,0.3,16,0.8,0.24296,3.887,0.25,0.7,0.82317,-0.599,0
0.2,0.3,16,0.8,0.24296,3.887,0.25,0.9,0.82317,0.373,1
0.2,0.3,16,0.8,0.24296,3.887,0.5,0.1,1.37195,-7.417,0
0.2,0.3,16,0.8,0.24296,3.887,0.5,0.3,1.37195,-6.251,0
0.2,0.3,16,0.8,0.24296,3.887,0.5,0.5,1.37195,-5.084,0
0.2,0.3,16,0.8,0.24296,3.887,0.5,0.7,1.37195,-3.918,0
0.2,0.3,16,0.8,0.24296,3.887,0.5,0.9,1.37195,-2.752,0
0.2,0.3,16,0.8,0.24296,3.887,1.0,0.1,2.05793,-15.223,0
0.2,0.3,16,0.8,0.24296,3.887,1.0,0.3,2.05793,-13.668,0
0.2,0.3,16,0.8,0.24296,3.887,1.0,0.5,2.05793,-12.113,0
0.2,0.3,16,0.8,0.24296,3.887,1.0,0.7,2.05793,-10.558,0
0.2,0.3,16,0.8,0.24296,3.887,1.0,0.9,2.05793,-9.003,0
0.2,0.3,16,0.9,0.45827,7.332,0.0,0.1,0.0,0.733,1
0.2,0.3,16,0.9,0.45827,7.332,0.0,0.3,0.0,2.2,1
0.2,0.3,16,0.9,0.45827,7.332,0.0,0.5,0.0,3.666,1
0.2,0.3,16,0.9,0.45827,7.332,0.0,0.7,0.0,5.133,1
0.2,0.3,16,0.9,0.45827,7.332,0.0,0.9,0.0,6.599,1
0.2,0.3,16,0.9,0.45827,7.332,0.1,0.1,0.19838,-0.793,0
0.2,0.3,16,0.9,0.45827,7.332,0.1,0.3,0.19838,0.82,1
0.2,0.3,16,0.9,0.45827,7.332,0.1,0.5,0.19838,2.433,1
0.2,0.3,16,0.9,0.45827,7.332,0.1,0.7,0.19838,4.046,1
0.2,0.3,16,0.9,0.45827,7.332,0.1,0.9,0.19838,5.659,1
0.2,0.3,16,0.9,0.45827,7.332,0.25,0.1,0.43643,-3.083,0
0.2,0.3,16,0.9,0.45827,7.332,0.25,0.3,0.43643,-1.25,0
0.2,0.3,16,0.9,0.45827,7.332,0.25,0.5,0.43643,0.583,1
0.2,0.3,16,0.9,0.45827,7.332,0.25,0.7,0.43643,2.416,1
0.2,0.3,16,0.9,0.45827,7.332,0.25,0.9,0.43643,4.249,1
0.2,0.3,16,0.9,0.45827,7.332,0.5,0.1,0.72738,-6.9,0
0.2,0.3,16,0.9,0.45827,7.332,0.5,0.3,0.72738,-4.7,0
0.2,0.3,16,0.9,0.45827,7.332,0.5,0.5,0.72738,-2.501,0
