q,alpha,W_s,R_prefill,P,reuse_f,breakeven_hmin
0.9,0.25,0.2,2000.0,400,0.0225,8.88889
0.9,0.25,0.2,6000.0,1200,0.0075,26.66667
0.9,0.25,0.2,20000.0,4000,0.00225,88.88889
0.9,0.25,1.0,2000.0,2000,0.0045,44.44444
0.9,0.25,1.0,6000.0,6000,0.0015,133.33333
0.9,0.25,1.0,20000.0,20000,0.00045,444.44444
0.9,0.25,3.0,2000.0,6000,0.0015,133.33333
0.9,0.25,3.0,6000.0,18000,0.0005,400.0
0.9,0.25,3.0,20000.0,60000,0.00015,1333.33333
0.9,0.25,10.0,2000.0,20000,0.00045,444.44444
0.9,0.25,10.0,6000.0,60000,0.00015,1333.33333
0.9,0.25,10.0,20000.0,200000,5e-05,4444.44444
0.9,0.25,30.0,2000.0,60000,0.00015,1333.33333
0.9,0.25,30.0,6000.0,180000,5e-05,4000.0
0.9,0.25,30.0,20000.0,600000,2e-05,13333.33333
0.9,0.25,120.0,2000.0,240000,4e-05,5333.33333
0.9,0.25,120.0,6000.0,720000,1e-05,16000.0
0.9,0.25,120.0,20000.0,2400000,0.0,53333.33333
0.9,0.5,0.2,2000.0,400,0.0225,14.81481
0.9,0.5,0.2,6000.0,1200,0.0075,44.44444
0.9,0.5,0.2,20000.0,4000,0.00225,148.14815
0.9,0.5,1.0,2000.0,2000,0.0045,74.07407
0.9,0.5,1.0,6000.0,6000,0.0015,222.22222
0.9,0.5,1.0,20000.0,20000,0.00045,740.74074
0.9,0.5,3.0,2000.0,6000,0.0015,222.22222
0.9,0.5,3.0,6000.0,18000,0.0005,666.66667
0.9,0.5,3.0,20000.0,60000,0.00015,2222.22222
0.9,0.5,10.0,2000.0,20000,0.00045,740.74074
0.9,0.5,10.0,6000.0,60000,0.00015,2222.22222
0.9,0.5,10.0,20000.0,200000,5e-05,7407.40741
0.9,0.5,30.0,2000.0,60000,0.00015,2222.22222
0.9,0.5,30.0,6000.0,180000,5e-05,6666.66667
0.9,0.5,30.0,20000.0,600000,2e-05,22222.22222
0.9,0.5,120.0,2000.0,240000,4e-05,8888.88889
0.9,0.5,120.0,6000.0,720000,1e-05,26666.66667
0.9,0.5,120.0,20000.0,2400000,0.0,88888.88889
0.95,0.25,0.2,2000.0,400,0.0475,4.21053
0.95,0.25,0.2,6000.0,1200,0.01583,12.63158
0.95,0.25,0.2,20000.0,4000,0.00475,42.10526
0.95,0.25,1.0,2000.0,2000,0.0095,21.05263
0.95,0.25,1.0,6000.0,6000,0.00317,63.15789
0.95,0.25,1.0,20000.0,20000,0.00095,210.52632
0.95,0.25,3.0,2000.0,6000,0.00317,63.15789
0.95,0.25,3.0,6000.0,18000,0.00106,189.47368
0.95,0.25,3.0,20000.0,60000,0.00032,631.57895
0.95,0.25,10.0,2000.0,20000,0.00095,210.52632
0.95,0.25,10.0,6000.0,60000,0.00032,631.57895
0.95,0.25,10.0,20000.0,200000,9e-05,2105.26316
0.95,0.25,30.0,2000.0,60000,0.00032,631.57895
0.95,0.25,30.0,6000.0,180000,0.00011,1894.73684
0.95,0.25,30.0,20000.0,600000,3e-05,6315.78947
0.95,0.25,120.0,2000.0,240000,8e-05,2526.31579
0.95,0.25,120.0,6000.0,720000,3e-05,7578.94737
0.95,0.25,120.0,20000.0,2400000,1e-05,25263.15789
0.95,0.5,0.2,2000.0,400,0.0475,7.01754
0.95,0.5,0.2,6000.0,1200,0.01583,21.05263
0.95,0.5,0.2,20000.0,4000,0.00475,70.17544
0.95,0.5,1.0,2000.0,2000,0.0095,35.08772
0.95,0.5,1.0,6000.0,6000,0.00317,105.26316
0.95,0.5,1.0,20000.0,20000,0.00095,350.87719
0.95,0.5,3.0,2000.0,6000,0.00317,105.26316
0.95,0.5,3.0,6000.0,18000,0.00106,315.78947
0.95,0.5,3.0,20000.0,60000,0.00032,1052.63158
0.95,0.5,10.0,2000.0,20000,0.00095,350.87719
0.95,0.5,10.0,6000.0,60000,0.00032,1052.63158
0.95,0.5,10.0,20000.0,200000,9e-05,3508.77193
0.95,0.5,30.0,2000.0,60000,0.00032,1052.63158
0.95,0.5,30.0,6000.0,180000,0.00011,3157.89474
0.95,0.5,30.0,20000.0,600000,3e-05,10526.31579
0.95,0.5,120.0,2000.0,240000,8e-05,4210.52632
0.95,0.5,120.0,6000.0,720000,3e-05,12631.57895
0.95,0.5,120.0,20000.0,2400000,1e-05,42105.26316
