class,next_tool,count,share
other,mcp__plugin_meta_mux__three_pai_external_web_search,51,0.4513
other,Bash:cat,7,0.0619
other,Bash:ls,6,0.0531
other,Read,6,0.0531
other,Bash:#,5,0.0442
other,(END),4,0.0354
other,WebSearch,3,0.0265
other,Bash:grep,3,0.0265
other,ToolSearch,2,0.0177
other,Bash:gh,2,0.0177
other,Bash:search_arxiv.sh,2,0.0177
other,Write,2,0.0177
other,Bash:npx,2,0.0177
other,Bash:kill,2,0.0177
other,WebFetch,1,0.0088
other,Bash:&&,1,0.0088
other,Bash:echo,1,0.0088
other,Bash:sleep,1,0.0088
other,Bash:command,1,0.0088
other,Bash:mkdir,1,0.0088
other,Bash:'eyJ1c2VyIjp7ImlkIjoiMTAwMDM2MjQ4NzkyODgyIiwibmFtZSI6IjEwMDAzNjI0ODc5Mjg4MiIsInBpY3R1cmUiOm51bGx9LCJleHAiOjE3NzY4MTE4NDUsImFjY2Vzc1Rva2VuIjoiZjAxYWNiNjRiMDMzMDAxZjVmZmE3N2RiOjMxZDFmMzM2YTczNjg3YTViMzk2ZTAxODk1ZmIzNzBhNzg2NmVhYzI1NDgzODJhYTFiMTZjODg5NDNhNzA5ZGZjZGJiNzdiNTVkNTNkODU5NDY0Y2M4ZTI0MTdhMmFlMDFjNTRiOWU0ZTllMGM5ZWZlNDUyYzA0NWFmNGU5Yjg1YTlhYWE5ZDg0YzFlMGIyYzU3NjA0YjU1OGU4ZDNlNThjZDFlZGQwYjcwY2EzODJlMDE2OTgzYzZkMzAyMGY5MjM4MjMwNjdjNGU4OTk0ZDg1M2MwZjNkMzdlMTlkZTVhYzliY2VhNmRjZWI4OTBkZTBjZTExYmFkYjk2OGQyZGI4MTI0NzZlZTc4Y2U5MWY4OTZhOGNhZDI5ZThhNWI1ZDBlZGRlOGYzZGQ1YWQ4ODBiMzhiODY3OGYyM2QwY2VlNDhkODYyM2QzMzYwNTBjMTY5OTE2YzdiMTc1MTJhZmUxODY1ZThhZDA1MmM4YmFmNDhhMDFkNmRkMGYxNTgyMjQwN2JmMzBiZjQ3OGI1N2M2ZjYxYzcwYTA0OmQ5ZjVlMzRmMTBmOTAxZGVkM2I5Y2Q1ODYxMTFkMjY3In0',1,0.0088
other,Bash:rm,1,0.0088
other,Bash:unset,1,0.0088
other,Bash:find,1,0.0088
other,Bash:node,1,0.0088
other,Bash:curl,1,0.0088
other,Bash:ps,1,0.0088
other,Bash:stat,1,0.0088
other,Bash:launchctl,1,0.0088
other,Bash:head,1,0.0088
policy.web_disabled,WebSearch,44,0.4037
policy.web_disabled,WebFetch,22,0.2018
policy.web_disabled,ToolSearch,18,0.1651
policy.web_disabled,mcp__plugin_meta_mux__three_pai_external_web_search,15,0.1376
policy.web_disabled,Bash:curl,3,0.0275
policy.web_disabled,Bash:which,2,0.0183
policy.web_disabled,Bash:"$(find,2,0.0183
policy.web_disabled,Read,2,0.0183
policy.web_disabled,(END),1,0.0092
cancelled,mcp__plugin_meta_mux__three_pai_external_web_search,22,0.3729
cancelled,WebSearch,12,0.2034
cancelled,Bash:&&,7,0.1186
cancelled,Bash:curl,4,0.0678
cancelled,Bash:search_arxiv.sh,4,0.0678
cancelled,Read,2,0.0339
cancelled,Bash:sleep,1,0.0169
cancelled,Bash:"$(find,1,0.0169
cancelled,Bash:find,1,0.0169
cancelled,Bash:cat,1,0.0169
cancelled,Bash:ps,1,0.0169
cancelled,Bash:ls,1,0.0169
cancelled,Bash:stat,1,0.0169
cancelled,Bash:echo,1,0.0169
policy.perm_denied,mcp__plugin_meta_mux__three_pai_external_web_search,16,0.5333
policy.perm_denied,Bash:curl,4,0.1333
policy.perm_denied,Bash:gh,3,0.1000
policy.perm_denied,WebFetch,2,0.0667
policy.perm_denied,Bash:search_arxiv.sh,1,0.0333
policy.perm_denied,Bash:"$(find,1,0.0333
policy.perm_denied,(END),1,0.0333
policy.perm_denied,Bash:&&,1,0.0333
policy.perm_denied,Bash:python3,1,0.0333
fs.notfound,Bash:ls,7,0.3500
fs.notfound,Bash:meta,4,0.2000
fs.notfound,Glob,3,0.1500
fs.notfound,Bash:CLAIM-0006-2026-05-31,1,0.0500
fs.notfound,Bash:CLAIM-0006,1,0.0500
fs.notfound,Read,1,0.0500
fs.notfound,Bash:find,1,0.0500
fs.notfound,Bash:"$(find,1,0.0500
fs.notfound,Bash:openssl,1,0.0500
proc.exit_nodetail,mcp__plugin_meta_mux__three_pai_external_web_search,6,0.4286
proc.exit_nodetail,Bash:curl,3,0.2143
proc.exit_nodetail,Bash:sleep,2,0.1429
proc.exit_nodetail,Bash:search_arxiv.sh,1,0.0714
proc.exit_nodetail,Bash:build,1,0.0714
proc.exit_nodetail,Bash:ls,1,0.0714
ssh.auth,Bash:ls,2,0.3333
ssh.auth,Bash:dig,1,0.1667
ssh.auth,Bash:pkill,1,0.1667
ssh.auth,Bash:grep,1,0.1667
ssh.auth,Bash:ssh,1,0.1667
edit.other,Read,2,0.4000
edit.other,Bash:axon-export-v2,1,0.2000
edit.other,Bash:grep,1,0.2000
edit.other,Bash:cat,1,0.2000
code.build,mcp__plugin_meta_mux__three_pai_external_web_search,1,0.2500
code.build,Bash:gh,1,0.2500
code.build,Bash:export,1,0.2500
code.build,Bash:node,1,0.2500
proc.timeout,Bash:#,1,0.2500
proc.timeout,Read,1,0.2500
proc.timeout,Bash:curl,1,0.2500
proc.timeout,Write,1,0.2500
policy.input_filter,mcp__plugin_meta_mux__knowledge_load,1,0.5000
policy.input_filter,mcp__plugin_meta_mux__three_pai_external_web_search,1,0.5000
net.http,Bash:npx,1,0.5000
net.http,mcp__plugin_meta_mux__knowledge_load,1,0.5000
read.too_large,Read,1,1.0000
net.dns,Bash:curl,1,1.0000
net.conn,Bash:curl,1,1.0000
code.test,Bash:cat,1,1.0000
fs.perm,Bash:npx,1,1.0000
