class,n_fail,entropy_bits,norm_entropy,top1_route_share,recovery_rate,modal_route,modal_n,modal_route_recovery
other,113,3.4478,0.7026,0.4513,0.5929,mcp__plugin_meta_mux__three_pai_external_web_search,51,0.6275
policy.web_disabled,109,2.3394,0.7380,0.4037,0.6055,WebSearch,44,0.4545
cancelled,59,2.8525,0.7492,0.3729,0.5763,mcp__plugin_meta_mux__three_pai_external_web_search,22,0.8636
policy.perm_denied,30,2.2817,0.7198,0.5333,0.4667,mcp__plugin_meta_mux__three_pai_external_web_search,16,0.5625
fs.notfound,20,2.7016,0.8523,0.3500,0.8000,Bash:ls,7,0.8571
proc.exit_nodetail,14,2.2170,0.8577,0.4286,0.8571,mcp__plugin_meta_mux__three_pai_external_web_search,6,0.8333
ssh.auth,6,2.2516,0.9697,0.3333,0.8333,Bash:ls,2,1.0000
edit.other,5,1.9219,0.9610,0.4000,0.8000,Read,2,1.0000
code.build,4,2.0000,1.0000,0.2500,1.0000,mcp__plugin_meta_mux__three_pai_external_web_search,1,1.0000
proc.timeout,4,2.0000,1.0000,0.2500,0.7500,Bash:#,1,1.0000
policy.input_filter,2,1.0000,1.0000,0.5000,1.0000,mcp__plugin_meta_mux__knowledge_load,1,1.0000
net.http,2,1.0000,1.0000,0.5000,1.0000,Bash:npx,1,1.0000
read.too_large,1,0.0000,0.0000,1.0000,1.0000,Read,1,1.0000
net.dns,1,0.0000,0.0000,1.0000,1.0000,Bash:curl,1,1.0000
net.conn,1,0.0000,0.0000,1.0000,1.0000,Bash:curl,1,1.0000
code.test,1,0.0000,0.0000,1.0000,1.0000,Bash:cat,1,1.0000
fs.perm,1,0.0000,0.0000,1.0000,0.0000,Bash:npx,1,0.0000
