class,n_fail,terminal,terminal_rate,term_lo,term_hi,recovered,recovery_rate,redirect,same_tool,last_call,no_success_after,rep_ge3,pole_label
other,113,46,0.4071,0.3210,0.4993,67,0.5929,23,44,4,9,29,SAME-TOOL
policy.web_disabled,109,43,0.3945,0.3078,0.4883,66,0.6055,66,0,1,1,43,REDIRECTABLE
cancelled,59,25,0.4237,0.3061,0.5507,34,0.5763,5,29,0,0,23,SAME-TOOL
policy.perm_denied,30,16,0.5333,0.3614,0.6977,14,0.4667,0,14,1,2,14,SAME-TOOL
fs.notfound,20,4,0.2000,0.0807,0.4160,16,0.8000,5,11,0,0,1,SAME-TOOL
proc.exit_nodetail,14,2,0.1429,0.0401,0.3994,12,0.8571,8,4,0,0,0,REDIRECTABLE
ssh.auth,6,1,0.1667,0.0301,0.5635,5,0.8333,3,2,0,0,2,small-n
edit.other,5,1,0.2000,0.0362,0.6245,4,0.8000,0,4,0,0,0,small-n
code.build,4,0,0.0000,0.0000,0.4899,4,1.0000,1,3,0,0,0,small-n
proc.timeout,4,1,0.2500,0.0456,0.6994,3,0.7500,2,1,0,0,0,small-n
policy.input_filter,2,0,0.0000,0.0000,0.6576,2,1.0000,2,0,0,0,0,small-n
net.http,2,0,0.0000,0.0000,0.6576,2,1.0000,1,1,0,0,0,small-n
read.too_large,1,0,0.0000,0.0000,0.7935,1,1.0000,1,0,0,0,0,small-n
net.dns,1,0,0.0000,0.0000,0.7935,1,1.0000,1,0,0,0,0,small-n
net.conn,1,0,0.0000,0.0000,0.7935,1,1.0000,0,1,0,0,0,small-n
code.test,1,0,0.0000,0.0000,0.7935,1,1.0000,0,1,0,0,0,small-n
fs.perm,1,1,1.0000,0.2065,1.0000,0,0.0000,0,0,0,0,0,small-n
# sessions=78,total_tool_calls=3544,failures=373,K_WINDOW=6
# global_terminal=140(0.3753),last_call=6,no_success_after=12
# cleanly_terminal_n>=10=[],near_terminal_n>=10=[]
