seq,inj,scenario,kernel_ratio,cdc_ms,pic_ms,e2e_ratio
4k,0.1%,best_for_cdc,1.256,0.0611,0.4639,7.5938
4k,0.1%,nominal,1.256,0.2111,0.2852,1.3512
4k,0.1%,worst_for_cdc,1.256,0.6111,0.6126,1.0024
4k,1%,best_for_cdc,1.329,0.1609,0.5974,3.7122
4k,1%,nominal,1.329,0.3109,0.4104,1.3199
4k,1%,worst_for_cdc,1.329,0.7109,0.7228,1.0167
4k,5%,best_for_cdc,1.205,0.6047,1.1184,1.8495
4k,5%,nominal,1.205,0.7547,0.9123,1.2088
4k,5%,worst_for_cdc,1.205,1.1547,1.1888,1.0296
4k,25%,best_for_cdc,1.364,2.8234,4.233,1.4992
4k,25%,nominal,1.364,2.9734,3.8051,1.2797
4k,25%,worst_for_cdc,1.364,3.3734,3.698,1.0962
32k,0.1%,best_for_cdc,2.627,0.76,2.3152,3.0463
32k,0.1%,nominal,2.627,0.91,1.8513,2.0344
32k,0.1%,worst_for_cdc,2.627,1.31,1.6712,1.2757
32k,1%,best_for_cdc,1.129,7.15,8.4659,1.184
32k,1%,nominal,1.129,7.3,8.0612,1.1043
32k,1%,worst_for_cdc,1.129,7.7,7.9914,1.0378
32k,5%,best_for_cdc,1.354,35.55,48.517,1.3648
32k,5%,nominal,1.354,35.7,45.2287,1.2669
32k,5%,worst_for_cdc,1.354,36.1,40.0425,1.1092
32k,25%,best_for_cdc,1.282,177.55,228.005,1.2842
32k,25%,nominal,1.282,177.7,215.4384,1.2124
32k,25%,worst_for_cdc,1.282,178.1,193.4934,1.0864
