section,key,value
Q1coarse,theilU_full,0.3806
Q1coarse,theilU_full_lo,0.3098
Q1coarse,theilU_full_hi,0.4718
Q1coarse,theilU_drop_webdisabled,0.0343
Q1coarse,theilU_drop_wd_lo,0.0030
Q1coarse,theilU_drop_wd_hi,0.0912
Q1coarse,theilU_drop_redir,0.0118
Q1coarse,theilU_drop_redir_hi,0.0637
Q1gate_REDIRECTABLE,n,68
Q1gate_REDIRECTABLE,modal_share,1.0000
Q1gate_REDIRECTABLE,modal_share_lo,1.0000
Q1gate_REDIRECTABLE,modal_share_hi,1.0000
Q1gate_REDIRECTABLE,modality_normH,0.0000
Q1gate_GRANT_REQUIRED,n,19
Q1gate_GRANT_REQUIRED,modal_share,0.8421
Q1gate_GRANT_REQUIRED,modal_share_lo,0.6842
Q1gate_GRANT_REQUIRED,modal_share_hi,1.0000
Q1gate_GRANT_REQUIRED,modality_normH,0.6292
Q1gate_TRANSIENT,n,146
Q1gate_TRANSIENT,modal_share,0.6781
Q1gate_TRANSIENT,modal_share_lo,0.6027
Q1gate_TRANSIENT,modal_share_hi,0.7534
Q1gate_TRANSIENT,modality_normH,0.9065
Q2fine_REDIRECTABLE,n,111
Q2fine_REDIRECTABLE,modal_base_loso_acc,0.3964
Q2fine_REDIRECTABLE,ctx_loso_acc,0.5225
Q2fine_REDIRECTABLE,ctx_acc_lo,0.4324
Q2fine_REDIRECTABLE,ctx_acc_hi,0.6126
Q2fine_REDIRECTABLE,lift,0.1261
Q2fine_REDIRECTABLE,residual_normH_floor,0.6081
Q2fine_REDIRECTABLE,residual_floor_lo,0.5426
Q2fine_REDIRECTABLE,residual_floor_hi,0.7175
Q2fine_REDIRECTABLE,residual_bits,1.6438
Q2fine_GRANT_REQUIRED,n,37
Q2fine_GRANT_REQUIRED,modal_base_loso_acc,0.4324
Q2fine_GRANT_REQUIRED,ctx_loso_acc,0.5135
Q2fine_GRANT_REQUIRED,ctx_acc_lo,0.3514
Q2fine_GRANT_REQUIRED,ctx_acc_hi,0.6757
Q2fine_GRANT_REQUIRED,lift,0.0811
Q2fine_GRANT_REQUIRED,residual_normH_floor,0.6759
Q2fine_GRANT_REQUIRED,residual_floor_lo,0.4900
Q2fine_GRANT_REQUIRED,residual_floor_hi,0.7981
Q2fine_GRANT_REQUIRED,residual_bits,1.9419
Q2fine_TRANSIENT,n,236
Q2fine_TRANSIENT,modal_base_loso_acc,0.3559
Q2fine_TRANSIENT,ctx_loso_acc,0.3856
Q2fine_TRANSIENT,ctx_acc_lo,0.3220
Q2fine_TRANSIENT,ctx_acc_hi,0.4492
Q2fine_TRANSIENT,lift,0.0297
Q2fine_TRANSIENT,residual_normH_floor,0.7400
Q2fine_TRANSIENT,residual_floor_lo,0.6842
Q2fine_TRANSIENT,residual_floor_hi,0.7894
Q2fine_TRANSIENT,residual_bits,3.3250
Q3,coarse_full_U_lo,0.3098
Q3,coarse_full_U_hi,0.4718
Q3,coarse_resid_U_after_wd_lo,0.0030
Q3,coarse_resid_U_after_wd_hi,0.0912
Q3,fine_lift_significant,True
Q3,fine_floor_nontrivial,True
Q3,reframe_verdict,DEFENSIBLE-REFRAME (coarse-partial[honestly web_disabled-carried] + fine-context-conditioned w/ quantified residual floor)
