test,harness,bucket,n,reactive,preempt,abandon,reactive_share,preempt_share
T1_generic,CC,named,0,0,0,0,,
T1_generic,CC,unnamed,388,8,359,21,0.0206,0.9253
T1_generic,CODEX,named,0,0,0,0,,
T1_generic,CODEX,unnamed,248,20,198,30,0.0806,0.7984
T1_generic,GEMINI,named,9,2,7,0,0.2222,0.7778
T1_generic,GEMINI,unnamed,51,8,25,18,0.1569,0.4902
T2_canon_all,CC,all,43,5,34,4,0.1163,0.7907
T2_canon_unnamed,CC,unnamed,43,5,34,4,0.1163,0.7907
T2_canon_all,CODEX,all,152,0,152,0,0.0000,1.0000
T2_canon_unnamed,CODEX,unnamed,152,0,152,0,0.0000,1.0000
T2_canon_all,GEMINI,all,9,2,7,0,0.2222,0.7778
T2_canon_named,GEMINI,named,9,2,7,0,0.2222,0.7778
