harness,variant,session,n,fails,analytic_z,perm_z,p_clustered
claude_code,base,11cdbf8b-7add-4c2a-9c39-af88db2bc604.jsonl,67,10,-1.976,-1.953,0.043
claude_code,base,955cf06b-d1ef-4f58-8dbf-42c06e996d46.jsonl,150,14,-3.624,-3.722,0.0035
claude_code,base,81fd751e-7227-4dc6-a599-d2b2178cad0a.jsonl,21,5,0.87,0.867,0.8506
claude_code,base,1c2df215-5397-4f4e-8125-bc712a452295.jsonl,862,45,-6.333,-6.305,0.0005
claude_code,base,a69fef11-0bba-41fb-8028-8cc4ee37bbe4.jsonl,18,1,0.354,0.356,1.0
claude_code,base,0cd33eda-749c-418a-a007-3ce08986add7.jsonl,28,6,-0.25,-0.234,0.4813
claude_code,base,a3619869-4d32-482b-a8c4-5569d7251560.jsonl,10,8,-0.226,-0.199,0.5527
claude_code,base,7c2993ef-a3aa-4ec3-bb4e-a42b0b2f620d.jsonl,11,1,-2.121,-2.183,0.1739
claude_code,base,08e2cc31-d520-4fdb-832e-77ee373cdb00.jsonl,10,1,0.5,0.498,1.0
claude_code,base,ebf61815-972e-43cd-9d3d-bbe7a427ef54.jsonl,13,5,-0.095,-0.07,0.5867
claude_code,base,5011357d-80a6-4e56-8ace-5b277796e3ff.jsonl,12,2,-1.586,-1.542,0.1944
claude_code,base,c6efb681-7016-45b1-85c2-281fdd61bf18.jsonl,15,3,-0.701,-0.71,0.3993
claude_code,base,87d057fc-13e0-4c60-b5b9-4afeaadb2ac9.jsonl,13,4,-1.063,-1.081,0.2309
claude_code,base,2211fb84-4810-4822-8be4-0bb8c44b37d1.jsonl,22,1,0.316,0.328,1.0
claude_code,base,b329c147-d6ef-4fa9-810f-8434b0980adf.jsonl,15,1,0.392,0.382,1.0
claude_code,base,87cf9be9-6053-4e69-a3a4-0d4d24c3a20e.jsonl,9,3,-0.816,-0.818,0.3393
claude_code,base,196a4f90-2537-4403-a28c-9dccb85733fa.jsonl,15,5,-0.406,-0.379,0.4673
codex,base,rollout-2026-05-29T06-35-27-019e73f2-6b9d-7990-85dc-5940fc49c982.jsonl,15,1,0.392,0.378,1.0
codex,base,rollout-2026-05-29T02-38-54-019e7319-d885-7c70-a22d-17745c4da630.jsonl,24,2,0.511,0.512,1.0
codex,base,rollout-2026-05-29T06-07-47-019e73d9-14e0-7991-be43-daeda6168e66.jsonl,27,4,-0.66,-0.621,0.4178
codex,base,rollout-2026-05-29T19-28-27-019e76b6-209a-7071-94df-d3a9cc3123bc.jsonl,24,3,-3.3,-3.408,0.0135
codex,base,rollout-2026-05-29T02-27-49-019e730f-b305-7f13-8be7-193200434069.jsonl,21,1,0.324,0.319,1.0
codex,base,rollout-2026-05-29T02-36-10-019e7317-5a6e-7fb1-9c7f-9eca8621346e.jsonl,21,1,0.324,0.32,1.0
codex,base,rollout-2026-05-29T04-26-37-019e737c-78ab-7d11-a712-2b129cf8ae18.jsonl,21,1,0.324,0.326,1.0
codex,base,rollout-2026-05-29T22-09-58-019e7749-fce4-76a2-bec0-cd28fb5db49a.jsonl,25,3,-1.319,-1.323,0.2429
codex,base,rollout-2026-05-29T05-05-03-019e739f-a8ab-79e0-a3d4-0eb241370dd9.jsonl,44,3,-2.059,-2.004,0.1384
codex,base,rollout-2026-05-29T09-40-28-019e749b-cef4-7323-98d3-9f400d2f923d.jsonl,32,3,-3.896,-3.917,0.0085
codex,base,rollout-2026-05-29T09-24-33-019e748d-3b49-7b81-9e2a-d35d8872cf18.jsonl,43,5,-3.767,-3.758,0.005
codex,base,rollout-2026-05-29T02-32-46-019e7314-3c04-7771-942a-6e5080438114.jsonl,27,1,0.283,0.291,1.0
codex,base,rollout-2026-05-29T13-45-13-019e757b-e306-7463-b5d8-7ea3eb90a3f5.jsonl,28,1,-3.606,-3.824,0.0645
codex,base,rollout-2026-05-29T22-49-53-019e776e-88cb-7271-8013-a469c7a27977.jsonl,15,2,0.682,0.7,1.0
codex,base,rollout-2026-05-29T07-01-00-019e7409-d080-7992-9146-8c05f267bc2c.jsonl,57,4,0.607,0.629,1.0
codex,base,rollout-2026-05-29T21-20-43-019e771c-e6a4-7c02-b81a-923a213fb8d0.jsonl,49,2,0.343,0.362,1.0
codex,base,rollout-2026-05-31T08-45-19-019e7eb6-0946-7171-b5b1-1c7b85bae870.jsonl,45,3,-0.784,-0.823,0.2399
codex,base,rollout-2026-05-31T09-29-27-019e7ede-6ed6-7251-8f05-974d9705e08e.jsonl,49,1,-4.848,-5.29,0.035
codex,base,rollout-2026-05-31T11-46-31-019e7f5b-ecc3-7851-9f06-aa7b08ea9221.jsonl,35,3,-5.273,-4.966,0.001
codex,base,rollout-2026-05-31T07-03-01-019e7e58-5de9-7fd1-84e9-80d386b9d407.jsonl,37,2,-5.146,-5.212,0.003
codex,base,rollout-2026-05-31T13-14-23-019e7fac-6048-7183-8e01-2d17c70000ff.jsonl,32,2,-1.3,-1.264,0.1904
codex,base,rollout-2026-05-31T12-43-50-019e7f90-6745-7aa3-912f-bba6e0678fa8.jsonl,56,2,-1.915,-1.802,0.1144
codex,base,rollout-2026-05-31T14-45-38-019e7fff-ea92-7920-bddd-fead427a6536.jsonl,31,1,-3.808,-3.84,0.064
codex,base,rollout-2026-05-31T06-47-24-019e7e4a-1231-7722-8a33-b132e86e9386.jsonl,42,1,-4.472,-4.106,0.0565
codex,base,rollout-2026-05-31T07-02-59-019e7e58-595e-7e50-b7dd-f548a9193e7e.jsonl,72,2,-2.235,-2.204,0.085
codex,base,rollout-2026-05-31T12-32-28-019e7f85-fca6-7630-954f-7dd1505eb474.jsonl,20,1,-3.0,-3.008,0.1
codex,base,rollout-2026-05-31T06-47-24-019e7e4a-1281-7ea1-90a9-535dfd632ef4.jsonl,43,1,-4.528,-4.292,0.052
codex,base,rollout-2026-05-31T08-29-58-019e7ea7-fa73-7b41-997c-fffb8f8b5e58.jsonl,33,2,-4.846,-4.89,0.0045
codex,base,rollout-2026-05-31T04-26-52-019e7dc9-6875-7621-8a59-3dfa3f3b0adf.jsonl,47,7,-2.923,-2.933,0.0055
codex,base,rollout-2026-05-31T04-26-52-019e7dc9-6895-7552-938f-2248db3fe381.jsonl,42,5,-4.485,-4.599,0.0005
codex,base,rollout-2026-05-31T13-20-27-019e7fb1-ee34-7f80-9e43-f97f654c552f.jsonl,41,1,-4.416,-4.607,0.0455
codex,base,rollout-2026-05-31T11-18-59-019e7f42-b7d7-7183-bd53-fe3402db4a8c.jsonl,29,1,-3.674,-3.808,0.065
codex,base,rollout-2026-05-31T14-04-36-019e7fda-586e-7502-a587-8183eb43bf09.jsonl,65,2,-2.101,-2.253,0.0905
codex,base,rollout-2026-05-31T07-14-26-019e7e62-d4cb-7b90-a19e-1033d9b2d47f.jsonl,42,2,-1.584,-1.524,0.1424
codex,base,rollout-2026-05-31T09-06-41-019e7ec9-9880-78c3-a0b6-39c5e076930b.jsonl,39,2,-1.505,-1.559,0.1454
codex,base,rollout-2026-05-31T08-36-29-019e7ead-f1e1-7be1-a618-1dc6843b65ec.jsonl,28,3,-4.686,-4.749,0.0005
codex,base,rollout-2026-05-30T05-22-43-019e78d6-3097-7752-9143-98b3815605e0.jsonl,19,6,-3.976,-3.928,0.0005
codex,base,rollout-2026-05-30T02-34-08-019e783b-d88b-7f20-95d0-f5c5b14476b8.jsonl,18,3,0.0,-0.002,0.5502
codex,base,rollout-2026-05-30T02-00-49-019e781d-5606-7df2-a247-cf6860ba30df.jsonl,59,2,-4.268,-4.33,0.0355
codex,base,rollout-2026-05-30T03-23-23-019e7868-ee82-78a0-9c4b-68bb88de9069.jsonl,22,2,-0.942,-0.995,0.2474
codex,base,rollout-2026-05-30T01-00-44-019e77e6-541a-7360-b36c-b537bcba8365.jsonl,11,2,-2.635,-2.729,0.028
codex,base,rollout-2026-05-30T01-38-05-019e7808-860f-7c72-a4ef-2655f430c171.jsonl,10,1,-2.0,-1.966,0.2059
codex,base,rollout-2026-05-08T19-09-51-019e0a7f-8b6b-7b71-b7ae-b519b5421c67.jsonl,11,2,-2.635,-2.591,0.0425
gemini,base,session-2026-05-29T20-45-fe0058c9.json,18,10,-1.422,-1.438,0.1129
gemini,base,session-2026-05-30T08-38-b7bb1627.json,10,7,-0.164,-0.162,0.5887
gemini,base,session-2026-05-30T00-23-20219dbe.json,16,8,-1.035,-1.033,0.2169
gemini,base,session-2026-05-30T10-23-82afe041.json,23,8,-4.46,-4.545,0.0005
gemini,base,session-2026-05-29T08-12-33b244e8.json,12,2,-0.396,-0.414,0.4648
gemini,base,session-2026-05-29T08-42-31b8cc36.json,8,4,0.0,-0.001,0.6227
gemini,base,session-2026-05-30T09-07-1e4c64dc.json,23,3,-1.217,-1.289,0.2414
gemini,base,session-2026-05-31T15-26-9ee13164.json,14,6,-3.332,-3.333,0.0015
gemini,base,session-2026-05-30T04-20-074e9cd6.json,17,2,0.63,0.614,1.0
gemini,base,session-2026-05-30T05-10-0828ee4c.json,18,2,-0.76,-0.733,0.3118
