harness,session,n,fails,analytic_z,z_whole_perm,z_tool_strat,z_strat_overctrl,strat_shufflable,n_collapsed_06,fails_collapsed_06,z_whole_coll_06
claude_code,11cdbf8b-7add-4c2a-9c39-af88db2bc604.jsonl,67,10,-1.976,-1.95,-1.883,-1.878,True,65,9,-1.354
claude_code,955cf06b-d1ef-4f58-8dbf-42c06e996d46.jsonl,150,14,-3.624,-3.444,-3.589,-3.429,True,150,14,-3.654
claude_code,81fd751e-7227-4dc6-a599-d2b2178cad0a.jsonl,21,5,0.87,0.85,0.85,0.918,True,21,5,0.896
claude_code,1c2df215-5397-4f4e-8125-bc712a452295.jsonl,862,45,-6.333,-6.117,-6.264,-6.345,True,857,41,-4.846
claude_code,a69fef11-0bba-41fb-8028-8cc4ee37bbe4.jsonl,18,1,0.354,0.357,0.0,0.0,False,18,1,0.357
claude_code,0cd33eda-749c-418a-a007-3ce08986add7.jsonl,28,6,-0.25,-0.257,-0.229,-0.294,True,28,6,-0.285
claude_code,a3619869-4d32-482b-a8c4-5569d7251560.jsonl,10,8,-0.226,-0.249,0.0,0.0,False,10,8,-0.24
claude_code,7c2993ef-a3aa-4ec3-bb4e-a42b0b2f620d.jsonl,11,1,-2.121,-2.126,-1.935,-2.062,True,11,1,-2.031
claude_code,08e2cc31-d520-4fdb-832e-77ee373cdb00.jsonl,10,1,0.5,0.494,0.447,0.444,True,10,1,0.507
claude_code,ebf61815-972e-43cd-9d3d-bbe7a427ef54.jsonl,13,5,-0.095,-0.08,0.773,0.782,True,13,5,-0.091
claude_code,5011357d-80a6-4e56-8ace-5b277796e3ff.jsonl,12,2,-1.586,-1.523,0.0,0.0,False,12,2,-1.613
claude_code,c6efb681-7016-45b1-85c2-281fdd61bf18.jsonl,15,3,-0.701,-0.664,0.513,0.491,True,15,3,-0.75
claude_code,87d057fc-13e0-4c60-b5b9-4afeaadb2ac9.jsonl,13,4,-1.063,-1.086,0.0,0.0,False,13,4,-1.061
claude_code,2211fb84-4810-4822-8be4-0bb8c44b37d1.jsonl,22,1,0.316,0.314,0.269,0.268,True,22,1,0.31
claude_code,b329c147-d6ef-4fa9-810f-8434b0980adf.jsonl,15,1,0.392,0.398,0.0,0.0,False,15,1,0.384
