dropped,n_left,stouffer_unw,stouffer_wt,dropped_z,dropped_w
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,18,-0.891,-2.402,-6.395,29.36
955cf06b-d1ef-4f58-8dbf-42c06e996d46.jsonl,18,-1.579,-5.75,-3.476,12.247
7c2993ef-a3aa-4ec3-bb4e-a42b0b2f620d.jsonl,18,-1.932,-6.432,-1.975,3.317
11cdbf8b-7add-4c2a-9c39-af88db2bc604.jsonl,18,-1.954,-6.324,-1.883,8.185
0cd33eda-749c-418a-a007-3ce08986add7.jsonl,18,-2.33,-6.614,-0.286,5.292
a69fef11-0bba-41fb-8028-8cc4ee37bbe4.jsonl,18,-2.398,-6.631,0.0,4.243
a3619869-4d32-482b-a8c4-5569d7251560.jsonl,18,-2.398,-6.611,0.0,3.162
5011357d-80a6-4e56-8ace-5b277796e3ff.jsonl,18,-2.398,-6.616,0.0,3.464
2b73972c-1cf7-410a-843d-d3a371d5462b.jsonl,18,-2.398,-6.613,0.0,3.317
87d057fc-13e0-4c60-b5b9-4afeaadb2ac9.jsonl,18,-2.398,-6.618,0.0,3.606
b329c147-d6ef-4fa9-810f-8434b0980adf.jsonl,18,-2.398,-6.623,0.0,3.873
27a61a53-694f-496d-85dd-648535b01f0a.jsonl,18,-2.398,-6.623,0.0,3.873
2211fb84-4810-4822-8be4-0bb8c44b37d1.jsonl,18,-2.467,-6.679,0.293,4.69
08e2cc31-d520-4fdb-832e-77ee373cdb00.jsonl,18,-2.506,-6.651,0.459,3.162
87cf9be9-6053-4e69-a3a4-0d4d24c3a20e.jsonl,18,-2.506,-6.646,0.459,3.0
196a4f90-2537-4403-a28c-9dccb85733fa.jsonl,18,-2.512,-6.675,0.483,3.873
c6efb681-7016-45b1-85c2-281fdd61bf18.jsonl,18,-2.515,-6.677,0.497,3.873
ebf61815-972e-43cd-9d3d-bbe7a427ef54.jsonl,18,-2.581,-6.696,0.775,3.606
81fd751e-7227-4dc6-a599-d2b2178cad0a.jsonl,18,-2.604,-6.75,0.874,4.583
