session,n,fails,n_tools,strat_shufflable,z_whole_perm,z_tool_strat,p_tool_strat
11cdbf8b-7add-4c2a-9c39-af88db2bc604.jsonl,67,10,5,True,-1.95,-1.883,0.0564
955cf06b-d1ef-4f58-8dbf-42c06e996d46.jsonl,150,14,4,True,-3.615,-3.476,0.0044
81fd751e-7227-4dc6-a599-d2b2178cad0a.jsonl,21,5,1,True,0.884,0.874,0.8477
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,862,45,10,True,-6.308,-6.395,0.0004
a69fef11-0bba-41fb-8028-8cc4ee37bbe4.jsonl,18,1,2,False,0.341,0.0,1.0
0cd33eda-749c-418a-a007-3ce08986add7.jsonl,28,6,2,True,-0.248,-0.286,0.4362
a3619869-4d32-482b-a8c4-5569d7251560.jsonl,10,8,3,False,-0.227,0.0,1.0
7c2993ef-a3aa-4ec3-bb4e-a42b0b2f620d.jsonl,11,1,2,True,-2.123,-1.975,0.2043
08e2cc31-d520-4fdb-832e-77ee373cdb00.jsonl,10,1,3,True,0.51,0.459,1.0
ebf61815-972e-43cd-9d3d-bbe7a427ef54.jsonl,13,5,4,True,-0.094,0.775,1.0
5011357d-80a6-4e56-8ace-5b277796e3ff.jsonl,12,2,4,False,-1.613,0.0,1.0
2b73972c-1cf7-410a-843d-d3a371d5462b.jsonl,11,4,4,False,-1.412,0.0,1.0
c6efb681-7016-45b1-85c2-281fdd61bf18.jsonl,15,3,4,True,-0.727,0.497,1.0
87d057fc-13e0-4c60-b5b9-4afeaadb2ac9.jsonl,13,4,5,False,-1.067,0.0,1.0
2211fb84-4810-4822-8be4-0bb8c44b37d1.jsonl,22,1,2,True,0.311,0.293,1.0
b329c147-d6ef-4fa9-810f-8434b0980adf.jsonl,15,1,5,False,0.393,0.0,1.0
87cf9be9-6053-4e69-a3a4-0d4d24c3a20e.jsonl,9,3,3,True,-0.82,0.459,1.0
27a61a53-694f-496d-85dd-648535b01f0a.jsonl,15,4,5,False,-1.334,0.0,1.0
196a4f90-2537-4403-a28c-9dccb85733fa.jsonl,15,5,4,True,-0.449,0.483,1.0
