harness,tool,basis,snippet
cc,Bash,is_error=true,Exit code 68 ping: cannot resolve 104485.od.fbinfra.net: Unknown host
cc,Bash,is_error=true,Exit code 35 HTTP 000 from ::1:10054
cc,Bash,is_error=true,"Exit code 255 Warning: Permanently added '104485.od.fbinfra.net' (RSA) to the list of known hosts. ** WARNING: connection is not using a post-quantum key exchange algorithm. ** This session may be v"
cc,Bash,is_error=true,Exit code 1
cc,Bash,is_error=true,Exit code 1 secrets_tool not found
cc,Bash,is_error=true,"Exit code 255 Warning: Permanently added '84151.od.fbinfra.net' (RSA) to the list of known hosts. ** WARNING: connection is not using a post-quantum key exchange algorithm. ** This session may be vu"
cc,Bash,is_error=true,Exit code 1 ✗ Local file not found: /tmp/meta-ghtml-weave-setup.html. Run `export` first.  Debug: https://www.internalfb.com/logview/opes/f8f492614d5fb68dcd415c29546c058d/sample/opes%3Af8f492614d5fb68
cc,Bash,is_error=true,Exit code 1 ✗ File not found: /tmp/meta-ghtml-weave-setup.html  Debug: https://www.internalfb.com/logview/opes/636f79b406549a3468698438742ca91d/sample/opes%3A636f79b406549a3468698438742ca91d%3A8731745
cc,Bash,is_error=true,Exit code 1 ✗ File not found: ~/weave-dev/weave-setup.html  Debug: https://www.internalfb.com/logview/opes/636f79b406549a3468698438742ca91d/sample/opes%3A636f79b406549a3468698438742ca91d%3A8731745df85
cc,Bash,is_error=true,Exit code 1 ✗ File not found: /Users/dengcchi/weave-dev/weave-setup.html  Debug: https://www.internalfb.com/logview/opes/636f79b406549a3468698438742ca91d/sample/opes%3A636f79b406549a3468698438742ca91d
cc,Bash,is_error=true,Exit code 1 SSH_AUTH_SOCK=/var/run/com.apple.launchd.gJRuh8EtuC/Listeners SSH_SK_PROVIDER= The agent has no identities.
cc,Bash,is_error=true,"<tool_use_error>Cancelled: parallel tool call Bash(echo ""SSH_AUTH_SOCK=$SSH_AUTH_SOCK"" && e…) errored</tool_use_error>"
cc,Bash,is_error=true,"<tool_use_error>Cancelled: parallel tool call Bash(echo ""SSH_AUTH_SOCK=$SSH_AUTH_SOCK"" && e…) errored</tool_use_error>"
cc,Bash,is_error=true,Exit code 2 Error connecting to agent: Operation not permitted
cc,Bash,is_error=true,"Exit code 1 Error: unable to open database ""/Users/dengcchi/Library/Application Support/com.apple.TCC/TCC.db"": authorization denied"
cc,Bash,is_error=true,<tool_use_error>Cancelled: parallel tool call Bash(sqlite3 ~/Library/Application\ Support/c…) errored</tool_use_error>
cc,Bash,is_error=true,<tool_use_error>Cancelled: parallel tool call Bash(sqlite3 ~/Library/Application\ Support/c…) errored</tool_use_error>
cc,Bash,is_error=true,Exit code 1 _LSOpenURLsWithCompletionHandler() failed with error -54 for the URL x-apple.systempreferences:com.apple.preference.security?Privacy_AllFiles.
cc,Bash,is_error=true,"<tool_use_error>Cancelled: parallel tool call Bash(open ""x-apple.systempreferences:com.appl…) errored</tool_use_error>"
cc,Bash,is_error=true,Exit code 1 _LSOpenURLsWithCompletionHandler() failed with error -54 for the URL x-apple.systempreferences:com.apple.settings.PrivacySecurity.extension?Privacy_AllFiles. _LSOpenURLsWithCompletionHandl
cc,Bash,is_error=true,Exit code 5 Bootstrap failed: 5: Input/output error Try re-running the command as root for richer errors.
cc,Bash,is_error=true,Exit code 127 (eval):2: operation not permitted: sudo
cc,Bash,is_error=true,Exit code 2 Usage: codesign -s identity [-fv*] [-o flags] [-r reqs] [-i ident] path ... # sign        codesign -v [-v*] [-R=<req string>|-R <req file path>] path|[+]pid ... # verify        codesign -d
cc,Bash,is_error=true,Exit code 5 Bootstrap failed: 5: Input/output error Try re-running the command as root for richer errors.
cc,Bash,is_error=true,"Exit code 255 Warning: Permanently added '84151.od.fbinfra.net' (RSA) to the list of known hosts. ** WARNING: connection is not using a post-quantum key exchange algorithm. ** This session may be vu"
cc,Bash,is_error=true,"Exit code 255 Warning: Permanently added '84151.od.fbinfra.net' (RSA) to the list of known hosts. ** WARNING: connection is not using a post-quantum key exchange algorithm. ** This session may be vu"
cc,Bash,is_error=true,"Exit code 255 Warning: Permanently added '84151.od.fbinfra.net' (RSA) to the list of known hosts. ** WARNING: connection is not using a post-quantum key exchange algorithm. ** This session may be vu"
