dropped,dropped_n,dropped_fails,dropped_zs,n_sessions_left,n_calls_left,dBIC,hawkes_alpha,hawkes_beta,stouffer_strat,stouffer_strat_p,stouffer_whole,stouffer_whole_p
rollout-2026-05-30T05-22-43-019e78d6-3097-7752-9143-98b3815605e0.jsonl,19,6,-3.92,45,1562,17.6,3.9,1.2,-13.613,0.0,-16.517,0.0
rollout-2026-05-31T04-26-52-019e7dc9-6895-7552-938f-2248db3fe381.jsonl,42,5,-3.645,45,1539,21.86,3.75,1.15,-13.654,0.0,-16.456,0.0
rollout-2026-05-29T09-24-33-019e748d-3b49-7b81-9e2a-d35d8872cf18.jsonl,43,5,-3.127,45,1538,22.81,3.85,1.15,-13.732,0.0,-16.563,0.0
rollout-2026-05-29T09-40-28-019e749b-cef4-7323-98d3-9f400d2f923d.jsonl,32,3,-1.733,45,1549,22.96,3.6,1.1,-13.939,0.0,-16.537,0.0
rollout-2026-05-31T15-40-02-019e8031-b838-74b1-813c-a4bb4bfa24d5.jsonl,59,4,-3.775,45,1522,23.54,3.6,1.1,-13.635,0.0,-16.378,0.0
rollout-2026-05-29T19-28-27-019e76b6-209a-7071-94df-d3a9cc3123bc.jsonl,24,3,-3.301,45,1557,23.87,3.6,1.1,-13.706,0.0,-16.635,0.0
rollout-2026-05-31T04-26-52-019e7dc9-6875-7621-8a59-3dfa3f3b0adf.jsonl,47,7,-2.437,45,1534,24.5,4.7,1.3,-13.834,0.0,-16.674,0.0
rollout-2026-05-31T11-46-31-019e7f5b-ecc3-7851-9f06-aa7b08ea9221.jsonl,35,3,-4.35,45,1546,24.83,4.2,1.2,-13.549,0.0,-16.332,0.0
rollout-2026-05-31T08-36-29-019e7ead-f1e1-7be1-a618-1dc6843b65ec.jsonl,28,3,-3.669,45,1553,25.01,4.2,1.2,-13.651,0.0,-16.42,0.0
rollout-2026-05-30T02-00-49-019e781d-5606-7df2-a247-cf6860ba30df.jsonl,59,2,-3.453,45,1522,25.31,3.85,1.15,-13.683,0.0,-16.505,0.0
rollout-2026-05-31T21-34-35-019e8176-4f07-71d2-9d2a-df9b9f660bc8.jsonl,36,2,-4.319,45,1545,26.85,4.3,1.2,-13.554,0.0,-16.31,0.0
rollout-2026-05-31T07-03-01-019e7e58-5de9-7fd1-84e9-80d386b9d407.jsonl,37,2,-4.158,45,1544,26.92,4.3,1.2,-13.578,0.0,-16.333,0.0
rollout-2026-05-31T08-29-58-019e7ea7-fa73-7b41-997c-fffb8f8b5e58.jsonl,33,2,-3.826,45,1548,27.0,4.3,1.2,-13.627,0.0,-16.424,0.0
rollout-2026-05-29T05-05-03-019e739f-a8ab-79e0-a3d4-0eb241370dd9.jsonl,44,3,-1.524,45,1537,27.13,4.45,1.25,-13.97,0.0,-16.813,0.0
rollout-2026-05-30T01-00-44-019e77e6-541a-7360-b36c-b537bcba8365.jsonl,11,2,-2.616,45,1570,27.49,4.3,1.2,-13.808,0.0,-16.731,0.0
rollout-2026-05-08T19-09-51-019e0a7f-8b6b-7b71-b7ae-b519b5421c67.jsonl,11,2,-2.787,45,1570,27.52,4.3,1.2,-13.782,0.0,-16.727,0.0
rollout-2026-05-31T06-47-24-019e7e4a-1281-7ea1-90a9-535dfd632ef4.jsonl,43,1,-3.702,45,1538,27.56,4.2,1.2,-13.646,0.0,-16.398,0.0
rollout-2026-05-29T21-20-43-019e771c-e6a4-7c02-b81a-923a213fb8d0.jsonl,49,2,0.197,45,1532,27.57,4.45,1.25,-14.227,0.0,-17.174,0.0
rollout-2026-05-29T06-07-47-019e73d9-14e0-7991-be43-daeda6168e66.jsonl,27,4,-0.605,45,1554,27.62,4.3,1.2,-14.107,0.0,-17.029,0.0
rollout-2026-05-31T09-29-27-019e7ede-6ed6-7251-8f05-974d9705e08e.jsonl,49,1,-3.75,45,1532,27.64,4.2,1.2,-13.639,0.0,-16.371,0.0
rollout-2026-05-31T07-02-59-019e7e58-595e-7e50-b7dd-f548a9193e7e.jsonl,72,2,-1.736,45,1509,27.65,4.2,1.2,-13.939,0.0,-16.799,0.0
rollout-2026-05-29T22-09-58-019e7749-fce4-76a2-bec0-cd28fb5db49a.jsonl,25,3,-1.331,45,1556,27.71,4.2,1.2,-13.999,0.0,-16.919,0.0
rollout-2026-05-31T13-20-27-019e7fb1-ee34-7f80-9e43-f97f654c552f.jsonl,41,1,-5.363,45,1540,27.76,4.2,1.2,-13.398,0.0,-16.448,0.0
rollout-2026-05-29T13-45-13-019e757b-e306-7463-b5d8-7ea3eb90a3f5.jsonl,28,1,-3.487,45,1553,27.81,4.2,1.2,-13.678,0.0,-16.576,0.0
rollout-2026-05-29T04-26-37-019e737c-78ab-7d11-a712-2b129cf8ae18.jsonl,21,1,0.0,45,1560,27.82,4.2,1.2,-14.198,0.0,-17.172,0.0
rollout-2026-05-31T14-04-36-019e7fda-586e-7502-a587-8183eb43bf09.jsonl,65,2,-1.743,45,1516,27.94,4.2,1.2,-13.938,0.0,-16.816,0.0
rollout-2026-05-29T02-32-46-019e7314-3c04-7771-942a-6e5080438114.jsonl,27,1,0.291,45,1554,28.29,4.3,1.2,-14.241,0.0,-17.169,0.0
rollout-2026-05-31T06-47-24-019e7e4a-1231-7722-8a33-b132e86e9386.jsonl,42,1,-3.203,45,1539,28.29,4.45,1.25,-13.72,0.0,-16.429,0.0
rollout-2026-05-31T16-06-48-019e804a-3a50-7f61-bde5-4e156ab0eb74.jsonl,35,1,-2.194,45,1546,28.33,4.45,1.25,-13.871,0.0,-16.482,0.0
rollout-2026-05-31T09-06-41-019e7ec9-9880-78c3-a0b6-39c5e076930b.jsonl,39,2,-2.555,45,1542,28.36,4.3,1.2,-13.817,0.0,-16.891,0.0
rollout-2026-05-31T14-45-38-019e7fff-ea92-7920-bddd-fead427a6536.jsonl,31,1,-3.027,45,1550,28.37,4.45,1.25,-13.746,0.0,-16.529,0.0
rollout-2026-05-31T12-43-50-019e7f90-6745-7aa3-912f-bba6e0678fa8.jsonl,56,2,-1.542,45,1525,28.41,4.3,1.2,-13.968,0.0,-16.818,0.0
rollout-2026-05-31T11-18-59-019e7f42-b7d7-7183-bd53-fe3402db4a8c.jsonl,29,1,-2.777,45,1552,28.5,4.3,1.2,-13.784,0.0,-16.541,0.0
rollout-2026-05-29T02-27-49-019e730f-b305-7f13-8be7-193200434069.jsonl,21,1,0.0,45,1560,28.56,4.3,1.2,-14.198,0.0,-17.173,0.0
rollout-2026-05-31T12-32-28-019e7f85-fca6-7630-954f-7dd1505eb474.jsonl,20,1,-2.2,45,1561,28.72,4.3,1.2,-13.87,0.0,-16.645,0.0
rollout-2026-05-30T01-38-05-019e7808-860f-7c72-a4ef-2655f430c171.jsonl,10,1,-1.998,45,1571,28.86,4.3,1.2,-13.9,0.0,-16.833,0.0
rollout-2026-05-29T06-35-27-019e73f2-6b9d-7990-85dc-5940fc49c982.jsonl,15,1,0.0,45,1566,28.89,4.3,1.2,-14.198,0.0,-17.177,0.0
rollout-2026-05-31T07-14-26-019e7e62-d4cb-7b90-a19e-1033d9b2d47f.jsonl,42,2,-1.248,45,1539,28.94,4.2,1.2,-14.012,0.0,-16.872,0.0
rollout-2026-05-29T22-49-53-019e776e-88cb-7271-8013-a469c7a27977.jsonl,15,2,0.685,45,1566,28.98,4.3,1.2,-14.3,0.0,-17.22,0.0
rollout-2026-05-29T02-36-10-019e7317-5a6e-7fb1-9c7f-9eca8621346e.jsonl,21,1,0.0,45,1560,28.99,4.3,1.2,-14.198,0.0,-17.171,0.0
rollout-2026-05-30T03-23-23-019e7868-ee82-78a0-9c4b-68bb88de9069.jsonl,22,2,-0.894,45,1559,29.16,4.2,1.2,-14.064,0.0,-16.98,0.0
rollout-2026-05-31T13-14-23-019e7fac-6048-7183-8e01-2d17c70000ff.jsonl,32,2,-0.8,45,1549,29.27,4.2,1.2,-14.078,0.0,-16.935,0.0
rollout-2026-05-29T02-38-54-019e7319-d885-7c70-a22d-17745c4da630.jsonl,24,2,0.405,45,1557,29.35,4.2,1.2,-14.258,0.0,-17.194,0.0
rollout-2026-05-31T08-45-19-019e7eb6-0946-7171-b5b1-1c7b85bae870.jsonl,45,3,-0.731,45,1536,29.83,4.3,1.2,-14.089,0.0,-17.002,0.0
rollout-2026-05-30T02-34-08-019e783b-d88b-7f20-95d0-f5c5b14476b8.jsonl,18,3,0.014,45,1563,30.21,4.3,1.2,-14.2,0.0,-17.115,0.0
rollout-2026-05-29T07-01-00-019e7409-d080-7992-9146-8c05f267bc2c.jsonl,57,4,0.694,45,1524,30.67,4.4,1.2,-14.301,0.0,-17.21,0.0
