file,len,naive,realized_raw,realized_canon,realized_df,shortfall_raw,shortfall_canon,drift_cost
0343981b-20f4-433d-8fb4-674e79d993c9.jsonl,3107,1179,32,576,576,1147,630,544
039cedeb-f83f-46e9-a722-bad235a0ceea.jsonl,1730,1085,64,576,576,1021,535,512
10cb78dc-2b60-4b93-8f9f-f18c9a55b8ae.jsonl,2775,1173,64,576,576,1109,622,512
1b85cdcc-4a03-42dc-a304-c0af23e077c2.jsonl,716,668,64,576,576,604,119,512
204d7bc2-7724-445d-b256-0adc20d783b4.jsonl,1691,1073,64,576,576,1009,523,512
272bec2d-2f3e-4682-b519-6369251a3678.jsonl,1646,1223,64,576,576,1159,673,512
295b026b-91fd-48fd-a2a0-77232a882c11.jsonl,2761,1160,32,576,576,1128,613,544
29a4aadf-99cc-4786-bcd9-33bc889b36b1.jsonl,3404,1164,32,576,576,1132,614,544
2ae59eeb-efb4-42a4-bf2e-afbf2bf7ef38.jsonl,716,669,64,576,576,605,119,512
2bd0e907-971e-4fd8-b466-ce2ff17b26ef.jsonl,1746,1072,64,576,576,1008,523,512
30d60f53-1d33-4e07-a809-094235872fd7.jsonl,2771,1178,64,576,576,1114,627,512
319ce978-0bea-424a-a028-b638f3a5c9c3.jsonl,1690,1050,64,576,576,986,500,512
3ebed5de-2437-4347-8b21-eb0c87ef5319.jsonl,2834,1186,32,576,576,1154,637,544
438ec9b5-0225-4237-9d36-f8e6b5eeace8.jsonl,1691,1050,64,576,576,986,498,512
44592788-aecd-4420-a8ea-8ddcd117170d.jsonl,1614,1054,64,576,576,990,508,512
5011f8dc-1e00-4b56-a82c-9f2a36131ccd.jsonl,3508,1363,32,576,576,1331,813,544
53e1a101-3487-47d9-b23b-5da3aef23faf.jsonl,1342,790,64,576,576,726,240,512
58896037-77e3-422c-b7cc-372045be6790.jsonl,1616,1060,64,576,576,996,510,512
5a6a5519-1033-4b73-9d4e-13c5af9d716f.jsonl,1666,1062,64,576,576,998,512,512
694bde6d-70af-4eb1-8f8d-ec90f5d765fa.jsonl,1604,1051,64,576,576,987,502,512
6c3afbac-c044-476a-8b76-6db26b954f1a.jsonl,2370,1208,32,576,576,1176,658,544
71ce5cfa-6a2d-4783-b319-8d6d60c55ad0.jsonl,2735,1184,32,576,576,1152,634,544
74900e5c-6e29-4604-9cd4-d0da987a43a1.jsonl,4863,1402,32,576,576,1370,852,544
76a1dec0-75b5-4ca8-ac84-0992abd7f080.jsonl,3443,1207,32,576,576,1175,659,544
91591bc7-cc9a-43f6-8a15-793424458b6d.jsonl,2190,1175,32,576,576,1143,625,544
9a0224ae-8c69-4163-9e33-865e77eba1e7.jsonl,2425,1178,32,576,576,1146,627,544
9e8e1608-82e7-47d9-9515-9969b7cbe6cd.jsonl,1512,1002,64,576,576,938,452,512
9fddeec9-d273-4ac1-8ac0-9c35bc98eeb0.jsonl,2371,1161,32,576,576,1129,611,544
b088e9e2-1711-40d4-9487-fd0454dee352.jsonl,1685,1066,64,576,576,1002,517,512
c1a97951-b6a9-4beb-a83b-3858ca8495ad.jsonl,1343,789,64,576,576,725,239,512
c6147084-4e86-43ef-b2f4-161728ed5505.jsonl,1649,1089,64,576,576,1025,540,512
cb47392d-5073-4009-860d-d93809e8d411.jsonl,2761,1159,32,576,576,1127,611,544
cec95df3-5463-4f72-9182-e4b329b6cb57.jsonl,1689,1050,64,576,576,986,501,512
d2483181-f31e-49f2-9ce4-1e002c47beca.jsonl,1689,1048,64,576,576,984,499,512
f5745228-405d-4da6-b9e7-61a379ca4164.jsonl,1509,1001,64,576,576,937,451,512
f884dff6-1878-44d7-8a52-0717ea8444e4.jsonl,1491,1001,64,576,576,937,451,512
f8e07b7b-ffe1-4c88-b55d-4b69865db5ac.jsonl,3894,1401,32,576,576,1369,852,544
