file,len,naive,realized_raw,realized_canon,realized_df,shortfall_raw,shortfall_canon,drift_cost
rollout-2026-05-08T19-09-51-019e0a7f-8b6b-7b71-b7ae-b519b5421c67.jsonl,6368,6152,4704,4704,4704,1448,1498,0
rollout-2026-05-28T22-12-30-019e7225-f3ef-7480-8b44-65fb2ce86ea2.jsonl,6717,6469,5120,5056,5056,1349,1463,-64
rollout-2026-05-28T22-15-29-019e7228-b11e-7ff2-af1a-946fa17ea991.jsonl,6718,6469,5120,5056,5056,1349,1463,-64
rollout-2026-05-28T22-18-00-019e722a-ff15-7413-96ed-3a2c974caaab.jsonl,6397,6370,5120,5056,5056,1250,1357,-64
rollout-2026-05-28T23-51-17-019e7280-6444-7932-8e93-8ae576d13921.jsonl,6803,6790,6768,6816,6528,22,21,48
rollout-2026-05-28T23-58-19-019e7286-d3c5-72b2-a976-e1d4f7eae144.jsonl,6809,6796,6768,6816,6528,28,27,48
rollout-2026-05-29T00-49-25-019e72b5-9cd0-7960-826f-b55a799c9dbd.jsonl,6807,6795,6768,6816,6528,27,26,48
rollout-2026-05-29T01-09-28-019e72c7-f9b0-7b73-a758-9e5f16b2df51.jsonl,6809,6794,6768,6816,6528,26,25,48
rollout-2026-05-29T01-11-47-019e72ca-15f0-7ef1-ba9f-072358a5b72a.jsonl,6807,6791,6768,6816,6528,23,22,48
rollout-2026-05-29T01-32-14-019e72dc-d028-70b2-b406-4d5aeb1dcb59.jsonl,6806,6790,6768,6816,6528,22,21,48
rollout-2026-05-29T01-32-14-019e72dc-d028-71c3-9caa-03c3d1333c8a.jsonl,6807,6792,6768,6816,6528,24,23,48
rollout-2026-05-29T01-34-42-019e72df-119b-7fc1-8ffa-f2bfa11cca9a.jsonl,6806,6793,6768,6816,6528,25,24,48
rollout-2026-05-29T01-34-58-019e72df-4fac-7393-8477-0aa7bc317650.jsonl,6802,6790,6768,6816,6528,22,21,48
rollout-2026-05-29T01-37-26-019e72e1-92fe-7641-8faf-6d3d7b46abd0.jsonl,6808,6793,6768,6816,6528,25,24,48
rollout-2026-05-29T01-45-52-019e72e9-4bcb-7732-bc36-9693111de76a.jsonl,6804,6793,6768,6816,6528,25,24,48
rollout-2026-05-29T01-54-04-019e72f0-cd81-7801-83f2-e178650508a0.jsonl,6805,6794,6768,6816,6528,26,25,48
rollout-2026-05-29T01-54-20-019e72f1-0d5a-7843-95d7-9a682930ed68.jsonl,6807,6792,6768,6816,6528,24,23,48
rollout-2026-05-29T02-13-40-019e7302-bfd8-7871-888a-5902c653104a.jsonl,6803,6792,6768,6816,6528,24,23,48
rollout-2026-05-29T02-15-57-019e7304-d857-7ab0-8ef3-d9b0dc20635c.jsonl,6807,6792,6768,6816,6528,24,23,48
rollout-2026-05-29T02-16-36-019e7305-6e1c-7243-8f7d-ac60fb7460f0.jsonl,6807,6795,6768,6816,6528,27,26,48
rollout-2026-05-29T02-27-28-019e730f-6110-7122-8dc5-7e41061a0cbe.jsonl,6805,6794,6768,6816,6528,26,25,48
rollout-2026-05-29T02-27-49-019e730f-b305-7f13-8be7-193200434069.jsonl,6803,6790,6768,6816,6528,22,21,48
rollout-2026-05-29T02-28-41-019e7310-7ded-7bb1-b208-96bf3c8db90e.jsonl,6805,6793,6768,6816,6528,25,24,48
rollout-2026-05-29T02-32-46-019e7314-3c04-7771-942a-6e5080438114.jsonl,6804,6793,6768,6816,6528,25,24,48
rollout-2026-05-29T02-33-52-019e7315-3c2e-79f3-97f4-f43c10b2f0ec.jsonl,6809,6794,6768,6816,6528,26,25,48
rollout-2026-05-29T02-36-10-019e7317-5a6e-7fb1-9c7f-9eca8621346e.jsonl,6807,6793,6768,6816,6528,25,24,48
rollout-2026-05-29T02-37-06-019e7318-31fb-7ed3-9271-41e54479d688.jsonl,6803,6790,6768,6816,6528,22,21,48
rollout-2026-05-29T02-38-54-019e7319-d885-7c70-a22d-17745c4da630.jsonl,6804,6790,6768,6816,6528,22,21,48
rollout-2026-05-29T02-39-55-019e731a-c8ff-7d41-b5ba-15e1b3c15427.jsonl,6808,6793,6768,6816,6528,25,24,48
rollout-2026-05-29T02-41-19-019e731c-1001-78d2-9f46-6faa182bcdcd.jsonl,6805,6792,6768,6816,6528,24,23,48
rollout-2026-05-29T02-42-27-019e731d-191a-7f91-ac48-d73f7508c73b.jsonl,6806,6793,6768,6816,6528,25,24,48
rollout-2026-05-29T03-02-25-019e732f-61e7-79d2-b137-4cd2e0c093bd.jsonl,6808,6795,6768,6816,6528,27,26,48
rollout-2026-05-29T04-08-07-019e736b-8851-7371-ae72-c5ca16868b49.jsonl,6803,6789,6768,6816,6528,21,20,48
rollout-2026-05-29T04-26-37-019e737c-78ab-7d11-a712-2b129cf8ae18.jsonl,6805,6793,6768,6816,6528,25,24,48
rollout-2026-05-29T04-43-34-019e738b-fc00-7c43-b044-02e253bc2990.jsonl,6804,6790,6768,6816,6528,22,21,48
rollout-2026-05-29T05-05-03-019e739f-a8ab-79e0-a3d4-0eb241370dd9.jsonl,6808,6794,6768,6816,6528,26,25,48
rollout-2026-05-29T05-19-49-019e73ad-2b8c-7d22-a4ce-7af1eead7567.jsonl,6807,6793,6768,6816,6528,25,24,48
rollout-2026-05-29T05-28-55-019e73b5-8105-7360-ab2e-731c844b80e8.jsonl,6807,6794,6768,6816,6528,26,25,48
rollout-2026-05-29T05-34-44-019e73ba-d60c-7ec1-9384-0978e3dbcd90.jsonl,6805,6794,6768,6816,6528,26,25,48
rollout-2026-05-29T05-41-15-019e73c0-caf5-7021-bc43-462e5a2a41af.jsonl,6806,6793,6768,6816,6528,25,24,48
rollout-2026-05-29T05-49-24-019e73c8-4359-7962-b36f-d4986d4a058f.jsonl,6807,6793,6768,6816,6528,25,24,48
rollout-2026-05-29T05-55-38-019e73cd-f823-7120-a3e7-550ff2f0b8a9.jsonl,6808,6795,6768,6816,6528,27,26,48
rollout-2026-05-29T06-07-47-019e73d9-14e0-7991-be43-daeda6168e66.jsonl,6804,6791,6768,6816,6528,23,22,48
rollout-2026-05-29T06-35-27-019e73f2-6b9d-7990-85dc-5940fc49c982.jsonl,6806,6791,6768,6816,6528,23,22,48
rollout-2026-05-29T07-01-00-019e7409-d080-7992-9146-8c05f267bc2c.jsonl,6804,6792,6768,6816,6528,24,23,48
rollout-2026-05-29T07-08-14-019e7410-6f32-7812-b976-7639a65ceb3e.jsonl,6806,6794,6768,6816,6528,26,25,48
rollout-2026-05-29T09-24-33-019e748d-3b49-7b81-9e2a-d35d8872cf18.jsonl,6807,6792,6768,6816,6528,24,23,48
rollout-2026-05-29T09-40-28-019e749b-cef4-7323-98d3-9f400d2f923d.jsonl,6808,6791,6768,6816,6528,23,22,48
rollout-2026-05-29T09-54-59-019e74a9-1996-7cb1-b8d6-3a4bb6140c4c.jsonl,6808,6792,6768,6816,6528,24,23,48
rollout-2026-05-29T10-02-40-019e74b0-21e3-7c62-a484-f708a41f32ec.jsonl,6806,6794,6768,6816,6528,26,25,48
rollout-2026-05-29T10-09-00-019e74b5-ee8d-7572-8c89-c86b2ed821ca.jsonl,6807,6791,6768,6816,6528,23,22,48
rollout-2026-05-29T11-05-41-019e74e9-d1ea-74b3-9c56-08575457b43e.jsonl,6806,6792,6768,6816,6528,24,23,48
rollout-2026-05-29T11-23-56-019e74fa-8711-71c0-927a-44e315464f90.jsonl,6805,6795,6768,6816,6528,27,26,48
