session,tool,gap_tok,det_class,result_equiv,non_recoverable,footprint_tok
2211fb84-4810-4822-8be4-0bb8c44b37d1.jsonl,Read,3071.8,DETERMINISTIC,False,True,52.5
6e9561ab-7e69-403c-a104-42668c869d2d.jsonl,WebFetch,229.5,VOLATILE,True,True,171.2
d728e031-3751-45d3-bee3-e877895519c1.jsonl,Read,255.0,DETERMINISTIC,False,True,75.0
11cdbf8b-7add-4c2a-9c39-af88db2bc604.jsonl,Bash,1428.5,VOLATILE,False,True,93.8
11cdbf8b-7add-4c2a-9c39-af88db2bc604.jsonl,Read,3745.0,INVALIDATED,True,True,506.5
11cdbf8b-7add-4c2a-9c39-af88db2bc604.jsonl,Edit,4358.0,MUTATING,True,True,77.0
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Write,12738.2,MUTATING,True,True,191.5
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Read,1085.8,DETERMINISTIC,False,True,52.8
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,782.0,VOLATILE,False,True,103.5
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Read,7431.0,INVALIDATED,True,True,49.8
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,1053.2,VOLATILE,False,True,103.5
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Read,2270.8,INVALIDATED,False,True,150.0
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Read,13418.5,INVALIDATED,False,True,782.5
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,13323.5,VOLATILE,True,True,58.5
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Write,12455.0,MUTATING,False,True,194.0
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,12557.5,VOLATILE,False,True,91.5
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,1014.8,VOLATILE,True,True,58.5
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Write,876.8,MUTATING,False,True,191.5
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,984.5,VOLATILE,False,True,91.5
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,1037.5,VOLATILE,False,True,21.2
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,31793.2,VOLATILE,True,True,58.5
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,31581.8,VOLATILE,True,True,82.2
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Write,31660.2,MUTATING,True,True,191.5
