session,tool,gap_tok,det_class,result_equiv,non_recoverable,footprint_tok
rollout-2026-05-29T02-38-54-019e7319-d885-7c70-a22d-17745c4da630.jsonl,write_stdin,257.5,MUTATING,False,True,49.5
rollout-2026-05-29T06-07-47-019e73d9-14e0-7991-be43-daeda6168e66.jsonl,write_stdin,285.8,MUTATING,False,True,88.5
rollout-2026-05-29T06-07-47-019e73d9-14e0-7991-be43-daeda6168e66.jsonl,write_stdin,278.8,MUTATING,False,True,85.5
rollout-2026-05-31T06-47-24-019e7e4a-1231-7722-8a33-b132e86e9386.jsonl,write_stdin,252.5,MUTATING,False,True,420.5
rollout-2026-05-31T07-02-59-019e7e58-595e-7e50-b7dd-f548a9193e7e.jsonl,write_stdin,579.8,MUTATING,False,True,59.5
rollout-2026-05-31T07-02-59-019e7e58-595e-7e50-b7dd-f548a9193e7e.jsonl,write_stdin,336.8,MUTATING,False,True,46.8
rollout-2026-05-31T07-02-59-019e7e58-595e-7e50-b7dd-f548a9193e7e.jsonl,write_stdin,362.2,MUTATING,False,True,46.5
rollout-2026-05-31T07-02-59-019e7e58-595e-7e50-b7dd-f548a9193e7e.jsonl,write_stdin,304.0,MUTATING,False,True,49.2
rollout-2026-05-31T07-02-59-019e7e58-595e-7e50-b7dd-f548a9193e7e.jsonl,write_stdin,257.5,MUTATING,False,True,46.5
rollout-2026-05-31T07-14-26-019e7e62-d4cb-7b90-a19e-1033d9b2d47f.jsonl,write_stdin,579.8,MUTATING,False,True,838.8
rollout-2026-05-31T07-14-26-019e7e62-d4cb-7b90-a19e-1033d9b2d47f.jsonl,write_stdin,11411.2,MUTATING,False,True,4836.2
rollout-2026-05-31T07-14-26-019e7e62-d4cb-7b90-a19e-1033d9b2d47f.jsonl,write_stdin,5473.2,MUTATING,False,True,49.2
rollout-2026-05-31T07-14-26-019e7e62-d4cb-7b90-a19e-1033d9b2d47f.jsonl,write_stdin,616.8,MUTATING,False,True,1312.8
rollout-2026-05-31T08-45-19-019e7eb6-0946-7171-b5b1-1c7b85bae870.jsonl,write_stdin,20019.8,MUTATING,False,True,79.8
rollout-2026-05-31T09-29-27-019e7ede-6ed6-7251-8f05-974d9705e08e.jsonl,write_stdin,590.8,MUTATING,False,True,49.2
rollout-2026-05-31T14-04-36-019e7fda-586e-7502-a587-8183eb43bf09.jsonl,write_stdin,257.5,MUTATING,False,True,251.5
rollout-2026-05-31T15-40-02-019e8031-b838-74b1-813c-a4bb4bfa24d5.jsonl,write_stdin,729.5,MUTATING,False,True,49.5
rollout-2026-05-31T15-40-02-019e8031-b838-74b1-813c-a4bb4bfa24d5.jsonl,write_stdin,722.5,MUTATING,False,True,49.5
rollout-2026-05-31T15-40-02-019e8031-b838-74b1-813c-a4bb4bfa24d5.jsonl,write_stdin,715.5,MUTATING,False,True,49.5
rollout-2026-05-31T15-40-02-019e8031-b838-74b1-813c-a4bb4bfa24d5.jsonl,write_stdin,1023.0,MUTATING,False,True,65.0
rollout-2026-05-31T15-40-02-019e8031-b838-74b1-813c-a4bb4bfa24d5.jsonl,write_stdin,1016.0,MUTATING,False,True,62.0
rollout-2026-05-31T15-40-02-019e8031-b838-74b1-813c-a4bb4bfa24d5.jsonl,write_stdin,1009.0,MUTATING,False,True,62.0
rollout-2026-05-31T16-06-48-019e804a-3a50-7f61-bde5-4e156ab0eb74.jsonl,write_stdin,1166.8,MUTATING,False,True,49.2
rollout-2026-05-31T22-38-27-019e81b0-c94e-72f2-95b6-1a8a33b26217.jsonl,write_stdin,573.8,MUTATING,False,True,49.2
rollout-2026-05-31T22-38-27-019e81b0-c94e-72f2-95b6-1a8a33b26217.jsonl,write_stdin,2904.0,MUTATING,False,True,893.0
rollout-2026-05-31T22-38-27-019e81b0-c94e-72f2-95b6-1a8a33b26217.jsonl,write_stdin,321.5,MUTATING,False,True,49.2
rollout-2026-05-31T22-38-27-019e81b0-c94e-72f2-95b6-1a8a33b26217.jsonl,write_stdin,252.5,MUTATING,False,True,940.8
rollout-2026-06-01T04-37-54-019e82f9-e14c-7cc0-a1c4-4c4cef35679a.jsonl,write_stdin,2866.0,MUTATING,False,True,901.0
rollout-2026-06-01T04-37-54-019e82f9-e14c-7cc0-a1c4-4c4cef35679a.jsonl,write_stdin,1135.0,MUTATING,False,True,49.2
rollout-2026-06-01T04-37-54-019e82f9-e14c-7cc0-a1c4-4c4cef35679a.jsonl,write_stdin,571.2,MUTATING,False,True,692.5
rollout-2026-06-01T04-37-54-019e82f9-e14c-7cc0-a1c4-4c4cef35679a.jsonl,write_stdin,283.8,MUTATING,False,True,306.8
rollout-2026-06-01T05-14-22-019e831b-419e-7372-85e6-50c2402e452c.jsonl,write_stdin,1671.2,MUTATING,False,True,79.8
rollout-2026-06-01T06-51-21-019e8374-0d04-7a12-bf97-ecf157c56555.jsonl,write_stdin,280.8,MUTATING,False,True,968.2
rollout-2026-06-01T06-51-21-019e8374-0d04-7a12-bf97-ecf157c56555.jsonl,write_stdin,273.8,MUTATING,False,True,49.5
rollout-2026-06-01T09-42-00-019e8410-4ac8-7202-83f8-634f87fabf63.jsonl,write_stdin,1227.2,MUTATING,False,True,49.2
rollout-2026-06-01T09-42-00-019e8410-4ac8-7202-83f8-634f87fabf63.jsonl,write_stdin,35770.5,MUTATING,False,True,79.8
