session,n_calls,n_err,first_err_idx,ns_frac,tot_foot_tok
rollout-2026-05-08T19-09-51-019e0a7f-8b6b-7b71-b7ae-b519b5421c67.jsonl,11,2,0,0.9905,19309.0
rollout-2026-05-29T00-49-25-019e72b5-9cd0-7960-826f-b55a799c9dbd.jsonl,30,0,,0.8487,9438.8
rollout-2026-05-29T01-09-28-019e72c7-f9b0-7b73-a758-9e5f16b2df51.jsonl,36,0,,0.9784,10392.0
rollout-2026-05-29T01-32-14-019e72dc-d028-70b2-b406-4d5aeb1dcb59.jsonl,34,0,,1.0,7845.2
rollout-2026-05-29T01-32-14-019e72dc-d028-71c3-9caa-03c3d1333c8a.jsonl,29,0,,1.0,3567.8
rollout-2026-05-29T01-34-58-019e72df-4fac-7393-8477-0aa7bc317650.jsonl,27,0,,1.0,12383.5
rollout-2026-05-29T01-54-20-019e72f1-0d5a-7843-95d7-9a682930ed68.jsonl,12,0,,1.0,1901.0
rollout-2026-05-29T02-27-49-019e730f-b305-7f13-8be7-193200434069.jsonl,21,1,2,1.0,24131.2
rollout-2026-05-29T02-32-46-019e7314-3c04-7771-942a-6e5080438114.jsonl,27,1,18,0.9928,16569.8
rollout-2026-05-29T02-36-10-019e7317-5a6e-7fb1-9c7f-9eca8621346e.jsonl,21,1,8,1.0,4591.2
rollout-2026-05-29T02-38-54-019e7319-d885-7c70-a22d-17745c4da630.jsonl,24,2,7,0.8771,11615.2
rollout-2026-05-29T02-41-19-019e731c-1001-78d2-9f46-6faa182bcdcd.jsonl,11,0,,1.0,4020.2
rollout-2026-05-29T03-02-25-019e732f-61e7-79d2-b137-4cd2e0c093bd.jsonl,32,0,,0.9101,17089.8
rollout-2026-05-29T04-08-07-019e736b-8851-7371-ae72-c5ca16868b49.jsonl,34,0,,1.0,25058.0
rollout-2026-05-29T04-26-37-019e737c-78ab-7d11-a712-2b129cf8ae18.jsonl,21,1,10,1.0,7993.2
rollout-2026-05-29T04-43-34-019e738b-fc00-7c43-b044-02e253bc2990.jsonl,13,0,,0.4749,2674.0
rollout-2026-05-29T05-05-03-019e739f-a8ab-79e0-a3d4-0eb241370dd9.jsonl,44,3,19,0.9464,24348.0
