session,n_calls,R_tok,A_tok,TX_tok,TH_tok,U_tok,O_tok,S_tok,D1_tok,result_share_D1
063f380b-26c5-4380-b928-a19b75cb1311.jsonl,13,22878.2,511.0,2170.5,0.0,2864.8,0.0,2864.8,28424.5,0.8049
08e2cc31-d520-4fdb-832e-77ee373cdb00.jsonl,10,11644.2,621.2,1684.2,0.0,946.2,0.0,946.2,14896.0,0.7817
093e2ba7-0e39-4715-8b72-566f550091fc.jsonl,21,22793.0,13709.2,805.2,0.0,1398.0,0.0,1398.0,38705.5,0.5889
19676d4a-54a8-4529-a7c2-78cba129977e.jsonl,10,1545.0,420.5,1600.0,0.0,2336.2,0.0,2336.2,5901.8,0.2618
196a4f90-2537-4403-a28c-9dccb85733fa.jsonl,15,5855.2,723.2,1678.5,0.0,1332.8,0.0,1332.8,9589.8,0.6106
1d601434-2a3d-4bab-8cea-ef9d2121a5f9.jsonl,68,29227.0,31488.5,2860.2,0.0,2074.0,0.0,2074.0,65649.8,0.4452
2211fb84-4810-4822-8be4-0bb8c44b37d1.jsonl,22,5912.5,500.8,2154.2,2903.5,2277.5,0.0,2277.5,13748.5,0.4300
272fe457-b244-4c9c-af0d-8d9594c0baf9.jsonl,66,24925.5,23002.5,1892.0,0.0,2933.2,0.0,2933.2,52753.2,0.4725
27535b3e-57ac-4b08-bb2e-995e17e21227.jsonl,46,23220.2,15776.8,1673.2,0.0,2317.5,0.0,2317.5,42987.8,0.5402
27a61a53-694f-496d-85dd-648535b01f0a.jsonl,15,5214.0,589.5,1553.5,0.0,1439.5,0.0,1316.8,8796.5,0.5927
2b73972c-1cf7-410a-843d-d3a371d5462b.jsonl,11,5691.0,453.5,1660.8,0.0,1326.8,0.0,1326.8,9132.0,0.6232
2ed37a4f-e17e-470b-b5a2-3e5e8faf6473.jsonl,34,17880.5,15403.2,1127.8,0.0,1941.0,0.0,1941.0,36352.5,0.4919
423d3617-d099-4f24-8d82-60602a80b09a.jsonl,13,5199.5,6050.5,566.0,0.0,1104.8,0.0,1104.8,12920.8,0.4024
466ccb85-ef87-4b8e-b6a1-52a7536936f1.jsonl,15,6038.5,658.2,1542.0,0.0,1899.2,0.0,1899.2,10138.0,0.5956
495dab99-1d37-463f-bc02-df454483f182.jsonl,11,1561.8,449.0,1394.8,0.0,2171.8,0.0,2171.8,5577.2,0.2800
4b31dff2-b96a-4f41-ac04-43e208bdc0e1.jsonl,12,2455.0,496.8,2247.0,0.0,3129.2,0.0,3129.2,8328.0,0.2948
4f43bd1f-66b6-4011-bbe9-8924023019b8.jsonl,15,12878.8,338.2,2288.0,1143.8,1270.2,0.0,1270.2,17919.0,0.7187
5011357d-80a6-4e56-8ace-5b277796e3ff.jsonl,12,5680.0,682.8,1638.2,0.0,1315.8,0.0,1315.8,9316.8,0.6097
5686df7e-ae1e-4910-ae6e-f3276078f585.jsonl,20,8159.5,355.5,2411.2,65.5,2277.5,0.0,2277.5,13269.2,0.6149
58e1312a-d2d2-43ed-a27e-c5019289f33e.jsonl,35,11027.0,18535.0,1283.5,0.0,2013.8,0.0,2013.8,32859.2,0.3356
5b8625ec-2b22-4e69-9ed4-3099c4810161.jsonl,8,142.8,252.8,1076.5,0.0,1802.2,0.0,1802.2,3274.2,0.0436
67a0db82-2ebb-406a-9580-448826949a96.jsonl,9,7028.2,355.2,1289.5,0.0,3933.0,0.0,3933.0,12606.0,0.5575
685bf378-dd6a-4754-9710-e84979021197.jsonl,18,9305.8,5611.0,938.5,0.0,1954.8,0.0,1954.8,17810.0,0.5225
6e9561ab-7e69-403c-a104-42668c869d2d.jsonl,25,5838.8,1660.2,1361.0,0.0,2680.5,0.0,2680.5,11540.5,0.5059
77534588-8290-4e30-9a91-43b2b5a498c0.jsonl,12,1408.8,497.5,1228.2,0.0,2750.5,0.0,2750.5,5885.0,0.2394
7f2a3d48-093e-4381-b66c-5fae5b9e292e.jsonl,20,10266.5,12419.5,1143.8,0.0,1259.0,0.0,1259.0,25088.8,0.4092
8714eb94-2dfe-4cd0-b9c0-244d8db986b9.jsonl,15,14672.8,544.5,2486.5,702.8,1052.0,0.0,1052.0,19458.5,0.7541
87cf9be9-6053-4e69-a3a4-0d4d24c3a20e.jsonl,9,4706.8,468.0,2079.0,0.0,1315.8,0.0,1315.8,8569.5,0.5492
87d057fc-13e0-4c60-b5b9-4afeaadb2ac9.jsonl,13,14976.0,387.5,1691.0,0.0,1184.0,0.0,1184.0,18238.5,0.8211
913a8ae2-9837-4c2d-b349-a12314b9680e.jsonl,55,21766.0,21959.8,1718.8,0.0,2740.8,0.0,2740.8,48185.2,0.4517
9165fd62-9ff4-44f8-bb7f-98c5a08f58a8.jsonl,43,23889.8,8177.5,1716.2,0.0,1583.2,0.0,1583.2,35366.8,0.6755
942809b8-83e6-4954-ad73-14956fc3313b.jsonl,15,8310.0,709.2,1642.0,0.0,2276.8,0.0,2276.8,12938.0,0.6423
95f7cd31-76dc-4667-ad33-e26ad6d32a76.jsonl,29,22039.5,12213.0,400.5,0.0,1370.2,0.0,1370.2,36023.2,0.6118
9b6eaab6-389d-4d5e-86ef-d1d2bb4f84ba.jsonl,34,23204.2,19214.2,1939.0,0.0,2251.8,0.0,2251.8,46609.2,0.4978
a04a9791-068a-482e-8c2a-b91edb4213a3.jsonl,31,24258.5,17391.8,1296.8,0.0,1532.0,0.0,1532.0,44479.0,0.5454
a4cbd974-3e9f-483a-ad30-2364edaea515.jsonl,14,8125.8,655.0,1769.8,0.0,3084.5,0.0,3084.5,13635.0,0.5959
a878166a-423c-4729-ab62-39bb3327ccc3.jsonl,10,2258.5,379.5,1407.5,0.0,1884.2,0.0,1884.2,5929.8,0.3809
ace3db91-2c61-409f-a21e-c8a4ee97ebc5.jsonl,14,5452.2,740.5,1805.0,0.0,2454.2,0.0,2454.2,10452.0,0.5216
b329c147-d6ef-4fa9-810f-8434b0980adf.jsonl,15,7538.5,611.8,1695.0,0.0,946.2,0.0,946.2,10791.5,0.6986
b5a0b37b-d36f-4a12-93b3-dd7558f16c15.jsonl,35,22552.8,15067.0,1297.2,0.0,1897.2,0.0,1897.2,40814.2,0.5526
c6efb681-7016-45b1-85c2-281fdd61bf18.jsonl,15,5977.0,560.5,1738.2,0.0,1164.5,0.0,1164.5,9440.2,0.6331
c95e4832-d6b9-450c-8b15-676987d46ed6.jsonl,15,11205.8,301.2,2769.5,1712.5,1270.2,0.0,1270.2,17259.2,0.6493
cc63d0a2-b537-48fb-a755-af8e314662dd.jsonl,8,3666.0,336.5,1477.0,0.0,1768.5,0.0,1768.5,7248.0,0.5058
ccb2e083-13c3-45e8-a285-641c5427d7e4.jsonl,18,16318.8,461.0,2988.0,957.8,1052.0,0.0,1052.0,21777.5,0.7493
d1d2033c-425b-4f7a-9502-9805a81d6b80.jsonl,9,172.5,229.2,1334.8,0.0,3186.2,0.0,3186.2,4922.8,0.0350
d4f02a29-9a7c-4def-9567-906112f07129.jsonl,62,22316.2,16746.5,1571.2,0.0,2213.8,0.0,2213.8,42847.8,0.5208
d728e031-3751-45d3-bee3-e877895519c1.jsonl,81,23520.8,17198.2,1440.0,1272.2,1680.8,0.0,1680.8,45112.0,0.5214
d7deca49-c607-4b87-8a49-bcb224a0fa79.jsonl,8,11044.2,529.8,1981.2,0.0,1365.0,0.0,1365.0,14920.2,0.7402
d99f4060-2b7e-4e49-853e-6f39867e9c61.jsonl,8,10436.5,459.5,1826.5,0.0,1164.5,0.0,1164.5,13887.0,0.7515
e52c1060-5498-465b-870e-f0226a83652a.jsonl,10,2723.0,401.0,1403.8,0.0,2171.8,0.0,2171.8,6699.5,0.4064
ebf61815-972e-43cd-9d3d-bbe7a427ef54.jsonl,13,5937.2,603.8,2006.8,0.0,1348.5,0.0,1348.5,9896.2,0.5999
ef216294-2619-4e67-a171-caaff888b60f.jsonl,11,9838.8,412.2,1681.2,0.0,2833.8,0.0,2833.8,14766.0,0.6663
f6744391-b1eb-4a32-9a45-cecce497b87c.jsonl,9,1395.2,109.5,2200.0,75.0,6768.8,0.0,6768.8,10548.5,0.1323
ff757f76-b031-4fcc-ac3d-5ea9004fdf0b.jsonl,18,7126.8,1102.0,1925.2,0.0,2681.8,0.0,2681.8,12835.8,0.5552
87d647b7-03d8-4802-92b5-779466bd48f2.jsonl,22,34784.2,526.2,4815.2,3076.0,1437.0,0.0,1437.0,44638.8,0.7792
21d6457a-f066-4ed7-aaef-e087d803b8ad.jsonl,23,44474.2,555.0,5746.5,2814.8,1442.2,0.0,1442.2,55032.8,0.8081
658751a9-c64e-45cb-8f3e-09cb9da13479.jsonl,14,59504.2,326.0,2463.5,758.2,543.0,0.0,543.0,63595.0,0.9357
996a4fcf-d0f2-4c9e-90c0-e48641d4fcd7.jsonl,31,24016.5,1667.2,5118.5,4783.5,1231.8,0.0,1231.8,36817.5,0.6523
db13f4cf-8acd-44a0-b9bd-7ebed5c37e1b.jsonl,27,22397.5,691.0,5616.5,5355.8,1231.8,0.0,1231.8,35292.5,0.6346
2b8f9813-3094-4066-98a6-71f8ff229fe2.jsonl,12,40298.0,354.8,2862.2,68.0,464.0,0.0,464.0,44047.0,0.9149
b0ff47a7-392b-4972-9a32-947fad9ba493.jsonl,12,26654.0,308.5,6652.2,0.0,721.2,0.0,721.2,34336.0,0.7763
f84c1013-8074-4aad-99c3-3b0ef84999da.jsonl,26,48355.0,779.0,3577.0,1374.2,709.0,0.0,709.0,54794.2,0.8825
6265043c-ddbd-445a-bb61-a237efaabcd1.jsonl,18,41633.2,573.5,4468.5,1666.5,661.2,0.0,661.2,49003.0,0.8496
7c2993ef-a3aa-4ec3-bb4e-a42b0b2f620d.jsonl,11,43937.0,344.2,2887.0,1599.0,595.8,0.0,595.8,49363.0,0.8901
7c1c7f01-2ae7-4b5d-9749-cf8ed0600223.jsonl,9,5647.0,9545.0,860.0,2564.2,8328.8,0.0,898.2,26945.0,0.2096
977a7d06-b4cf-47bb-b2f9-6d526104c70e.jsonl,13,29765.0,402.5,110.2,3604.2,970.0,0.0,970.0,34852.0,0.8540
d36c3aab-b1cd-4bcc-81fa-ce2af125eb7a.jsonl,34,3284.0,1018.0,5976.8,866.2,980.8,0.0,980.8,12125.8,0.2708
0cd33eda-749c-418a-a007-3ce08986add7.jsonl,28,1513.5,2167.5,3217.0,848.5,3484.8,0.0,718.0,11231.2,0.1348
11cdbf8b-7add-4c2a-9c39-af88db2bc604.jsonl,67,6886.8,4676.5,2728.8,1355.2,5882.0,0.0,550.2,21529.2,0.3199
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,862,698631.8,84368.5,48964.5,2530.2,96513.0,0.0,791.5,931008.0,0.7504
81fd751e-7227-4dc6-a599-d2b2178cad0a.jsonl,21,1505.2,923.2,961.8,1461.2,2218.5,0.0,2139.8,7070.0,0.2129
955cf06b-d1ef-4f58-8dbf-42c06e996d46.jsonl,150,22436.8,8449.8,10272.8,12221.0,8890.2,0.0,36.5,62270.5,0.3603
a69fef11-0bba-41fb-8028-8cc4ee37bbe4.jsonl,18,8215.2,1305.8,518.0,216.5,206.2,0.0,132.8,10461.8,0.7853
a3619869-4d32-482b-a8c4-5569d7251560.jsonl,10,411.5,217.5,685.8,1314.0,772.0,0.0,772.0,3400.8,0.1210
