session,n_calls,R_tok,A_tok,TX_tok,TH_tok,U_tok,O_tok,S_tok,D1_tok,result_share_D1
rollout-2026-05-08T19-09-51-019e0a7f-8b6b-7b71-b7ae-b519b5421c67.jsonl,11,18846.5,606.5,201.0,1216.0,59.0,0.0,7073.0,20929.0,0.9005
rollout-2026-05-29T00-49-25-019e72b5-9cd0-7960-826f-b55a799c9dbd.jsonl,30,8562.0,876.8,2493.5,3319.0,953.8,0.0,7359.0,16205.0,0.5284
rollout-2026-05-29T01-09-28-019e72c7-f9b0-7b73-a758-9e5f16b2df51.jsonl,36,9096.0,1296.0,2701.8,4341.0,962.2,0.0,7359.0,18397.0,0.4944
rollout-2026-05-29T01-32-14-019e72dc-d028-70b2-b406-4d5aeb1dcb59.jsonl,34,6566.5,1278.8,2859.0,4851.0,952.8,0.0,7359.0,16508.0,0.3978
rollout-2026-05-29T01-32-14-019e72dc-d028-71c3-9caa-03c3d1333c8a.jsonl,29,2685.5,882.2,2668.2,4355.0,964.0,0.0,7359.0,11555.0,0.2324
rollout-2026-05-29T01-34-58-019e72df-4fac-7393-8477-0aa7bc317650.jsonl,27,11156.2,1227.2,3032.5,3346.0,961.2,0.0,7359.0,19723.2,0.5656
rollout-2026-05-29T01-54-20-019e72f1-0d5a-7843-95d7-9a682930ed68.jsonl,12,1634.2,266.8,2600.0,1618.0,1067.2,0.0,7359.0,7186.2,0.2274
rollout-2026-05-29T02-27-49-019e730f-b305-7f13-8be7-193200434069.jsonl,21,23074.5,1056.8,787.5,4091.0,2033.0,0.0,7359.0,31042.8,0.7433
rollout-2026-05-29T02-32-46-019e7314-3c04-7771-942a-6e5080438114.jsonl,27,15278.8,1291.0,537.2,5753.0,2033.0,0.0,7359.0,24893.0,0.6138
rollout-2026-05-29T02-36-10-019e7317-5a6e-7fb1-9c7f-9eca8621346e.jsonl,21,3643.8,947.5,703.8,4600.0,2033.0,0.0,7359.0,11928.0,0.3055
rollout-2026-05-29T02-38-54-019e7319-d885-7c70-a22d-17745c4da630.jsonl,24,10634.2,981.0,785.0,4944.0,2033.0,0.0,7359.0,19377.2,0.5488
rollout-2026-05-29T02-41-19-019e731c-1001-78d2-9f46-6faa182bcdcd.jsonl,11,3279.2,741.0,685.2,3514.0,2033.0,0.0,7359.0,10252.5,0.3198
rollout-2026-05-29T03-02-25-019e732f-61e7-79d2-b137-4cd2e0c093bd.jsonl,32,15638.5,1451.2,424.5,6183.0,2436.0,0.0,7359.0,26133.2,0.5984
rollout-2026-05-29T04-08-07-019e736b-8851-7371-ae72-c5ca16868b49.jsonl,34,23637.8,1420.2,498.8,4676.0,2670.5,0.0,7359.0,32903.2,0.7184
rollout-2026-05-29T04-26-37-019e737c-78ab-7d11-a712-2b129cf8ae18.jsonl,21,7166.0,827.2,676.8,3407.0,1595.8,0.0,7359.0,13672.8,0.5241
rollout-2026-05-29T04-43-34-019e738b-fc00-7c43-b044-02e253bc2990.jsonl,13,2368.2,305.8,117.8,1256.0,1107.8,0.0,7359.0,5155.5,0.4594
rollout-2026-05-29T05-05-03-019e739f-a8ab-79e0-a3d4-0eb241370dd9.jsonl,44,22709.8,1638.2,819.8,4988.0,766.8,0.0,7359.0,30922.5,0.7344
rollout-2026-05-29T05-19-49-019e73ad-2b8c-7d22-a4ce-7af1eead7567.jsonl,29,20175.5,1184.8,911.8,3310.0,2463.5,0.0,7359.0,28045.5,0.7194
rollout-2026-05-29T06-07-47-019e73d9-14e0-7991-be43-daeda6168e66.jsonl,27,14107.5,1082.5,741.8,5294.0,1453.0,0.0,7359.0,22678.8,0.6221
rollout-2026-05-29T06-35-27-019e73f2-6b9d-7990-85dc-5940fc49c982.jsonl,15,15000.2,692.0,536.0,2827.0,688.0,0.0,7359.0,19743.2,0.7598
rollout-2026-05-29T07-01-00-019e7409-d080-7992-9146-8c05f267bc2c.jsonl,57,27047.5,2320.0,749.0,7259.0,728.0,0.0,7359.0,38103.5,0.7098
rollout-2026-05-29T07-08-14-019e7410-6f32-7812-b976-7639a65ceb3e.jsonl,23,10772.8,938.5,489.8,4778.0,774.2,0.0,7359.0,17753.2,0.6068
rollout-2026-05-29T09-24-33-019e748d-3b49-7b81-9e2a-d35d8872cf18.jsonl,43,15174.2,2091.2,536.0,7501.0,758.0,0.0,7359.0,26060.5,0.5823
rollout-2026-05-29T09-40-28-019e749b-cef4-7323-98d3-9f400d2f923d.jsonl,32,34777.0,1069.5,851.2,2902.0,1201.0,0.0,7359.0,40800.8,0.8524
rollout-2026-05-29T09-54-59-019e74a9-1996-7cb1-b8d6-3a4bb6140c4c.jsonl,14,21207.2,635.2,691.2,3565.0,1377.5,0.0,7359.0,27476.2,0.7718
rollout-2026-05-29T10-09-00-019e74b5-ee8d-7572-8c89-c86b2ed821ca.jsonl,8,10235.5,278.0,638.0,2546.0,1922.0,0.0,7359.0,15619.5,0.6553
rollout-2026-05-29T11-23-56-019e74fa-8711-71c0-927a-44e315464f90.jsonl,28,10465.0,1343.2,5841.5,4719.0,1215.8,0.0,7359.0,23584.5,0.4437
rollout-2026-05-29T13-45-13-019e757b-e306-7463-b5d8-7ea3eb90a3f5.jsonl,28,40193.8,1714.8,4864.8,5287.0,1336.2,0.0,7359.0,53396.5,0.7527
rollout-2026-05-29T17-22-53-019e7643-27d1-7493-ab23-55d34e85067e.jsonl,25,38868.0,1528.8,4026.0,3707.0,1543.0,0.0,7359.0,49672.8,0.7825
rollout-2026-05-29T19-28-27-019e76b6-209a-7071-94df-d3a9cc3123bc.jsonl,24,56821.8,1448.0,4566.8,3028.0,1548.2,0.0,7359.0,67412.8,0.8429
rollout-2026-05-29T20-23-38-019e76e8-a3db-7860-ac42-2c36f150fa0e.jsonl,14,25829.8,743.0,1212.0,2293.0,649.0,0.0,7359.0,30726.8,0.8406
rollout-2026-05-29T21-20-43-019e771c-e6a4-7c02-b81a-923a213fb8d0.jsonl,49,83957.5,3064.0,3189.5,8162.0,817.0,0.0,7359.0,99190.0,0.8464
rollout-2026-05-29T22-09-58-019e7749-fce4-76a2-bec0-cd28fb5db49a.jsonl,25,57930.2,1407.2,3252.0,2666.0,770.2,0.0,7359.0,66025.8,0.8774
rollout-2026-05-29T22-49-53-019e776e-88cb-7271-8013-a469c7a27977.jsonl,15,24984.8,879.8,3226.2,2735.0,705.8,0.0,7359.0,32531.5,0.7680
rollout-2026-05-29T23-38-48-019e779b-51e4-7312-9664-57dfb07a77ca.jsonl,21,35926.8,1065.2,748.8,2303.0,572.5,0.0,7359.0,40616.2,0.8845
rollout-2026-05-30T01-00-44-019e77e6-541a-7360-b36c-b537bcba8365.jsonl,11,23025.8,593.2,1297.8,4557.0,858.2,0.0,7359.0,30332.0,0.7591
rollout-2026-05-30T01-38-05-019e7808-860f-7c72-a4ef-2655f430c171.jsonl,10,15247.8,460.8,3064.8,2665.0,833.8,0.0,7359.0,22272.0,0.6846
rollout-2026-05-30T02-00-49-019e781d-5606-7df2-a247-cf6860ba30df.jsonl,59,106817.2,3889.5,3840.2,7214.0,878.0,19219.5,7359.0,141858.5,0.7530
rollout-2026-05-30T02-34-08-019e783b-d88b-7f20-95d0-f5c5b14476b8.jsonl,18,21662.2,919.5,2686.0,2122.0,977.8,0.0,7423.5,28367.5,0.7636
rollout-2026-05-30T03-23-23-019e7868-ee82-78a0-9c4b-68bb88de9069.jsonl,22,38514.5,1225.5,1725.2,4787.0,351.2,0.0,7353.8,46603.5,0.8264
rollout-2026-05-30T05-22-43-019e78d6-3097-7752-9143-98b3815605e0.jsonl,19,9753.5,932.0,1468.0,2292.0,976.0,0.0,7353.8,15421.5,0.6325
rollout-2026-05-31T04-26-52-019e7dc9-6875-7621-8a59-3dfa3f3b0adf.jsonl,47,33906.0,1744.8,1072.2,5612.0,1741.2,0.0,7921.2,44076.2,0.7693
rollout-2026-05-31T04-26-52-019e7dc9-6895-7552-938f-2248db3fe381.jsonl,42,47162.2,1856.5,1104.5,5094.0,1741.2,0.0,7921.2,56958.5,0.8280
rollout-2026-05-31T06-47-24-019e7e4a-1231-7722-8a33-b132e86e9386.jsonl,42,17599.8,2482.8,782.8,6346.0,2225.2,0.0,7359.0,29436.5,0.5979
rollout-2026-05-31T06-47-24-019e7e4a-1281-7ea1-90a9-535dfd632ef4.jsonl,43,56728.2,2036.2,706.2,5178.0,2225.2,0.0,7359.0,66874.0,0.8483
rollout-2026-05-31T07-02-59-019e7e58-595e-7e50-b7dd-f548a9193e7e.jsonl,72,101748.5,3502.0,1166.8,8898.0,999.8,0.0,7359.0,116315.0,0.8748
rollout-2026-05-31T07-03-01-019e7e58-5de9-7fd1-84e9-80d386b9d407.jsonl,37,65197.2,1648.8,948.0,3775.0,999.8,0.0,7359.0,72568.8,0.8984
rollout-2026-05-31T07-14-26-019e7e62-d4cb-7b90-a19e-1033d9b2d47f.jsonl,42,33566.8,1877.0,1076.8,6259.0,1218.0,0.0,7359.0,43997.5,0.7629
rollout-2026-05-31T08-29-58-019e7ea7-fa73-7b41-997c-fffb8f8b5e58.jsonl,33,56661.2,1493.5,905.5,2619.0,1369.2,0.0,7359.0,63048.5,0.8987
rollout-2026-05-31T08-36-29-019e7ead-f1e1-7be1-a618-1dc6843b65ec.jsonl,28,42923.0,1251.0,1165.0,3478.0,1369.2,0.0,7359.0,50186.2,0.8553
rollout-2026-05-31T08-45-19-019e7eb6-0946-7171-b5b1-1c7b85bae870.jsonl,45,25699.5,2069.2,1000.2,5463.0,1369.2,0.0,7359.0,35601.2,0.7219
rollout-2026-05-31T09-06-41-019e7ec9-9880-78c3-a0b6-39c5e076930b.jsonl,39,20325.0,1792.5,937.0,5643.0,1402.0,0.0,7359.0,30099.5,0.6753
rollout-2026-05-31T09-29-27-019e7ede-6ed6-7251-8f05-974d9705e08e.jsonl,49,30619.0,2221.0,978.0,5250.0,1418.5,0.0,7359.0,40486.5,0.7563
rollout-2026-05-31T11-18-59-019e7f42-b7d7-7183-bd53-fe3402db4a8c.jsonl,29,38686.0,1412.0,862.2,3965.0,1323.5,0.0,7359.0,46248.8,0.8365
rollout-2026-05-31T11-46-31-019e7f5b-ecc3-7851-9f06-aa7b08ea9221.jsonl,35,15647.2,2271.5,787.2,5186.0,1398.8,0.0,7359.0,25290.8,0.6187
rollout-2026-05-31T12-32-28-019e7f85-fca6-7630-954f-7dd1505eb474.jsonl,20,19050.5,797.2,921.2,2769.0,1320.2,0.0,7359.0,24858.2,0.7664
rollout-2026-05-31T12-43-50-019e7f90-6745-7aa3-912f-bba6e0678fa8.jsonl,56,70495.2,2424.5,963.8,6062.0,1237.5,0.0,7359.0,81183.0,0.8683
rollout-2026-05-31T13-14-23-019e7fac-6048-7183-8e01-2d17c70000ff.jsonl,32,37055.8,1349.2,850.2,3399.0,1367.0,0.0,7359.0,44021.2,0.8418
rollout-2026-05-31T13-20-27-019e7fb1-ee34-7f80-9e43-f97f654c552f.jsonl,41,41635.2,1921.8,935.5,4357.0,1388.2,0.0,7359.0,50237.8,0.8288
rollout-2026-05-31T14-04-36-019e7fda-586e-7502-a587-8183eb43bf09.jsonl,65,61434.2,2872.0,986.0,8437.0,1386.2,0.0,7359.0,75115.5,0.8179
rollout-2026-05-31T14-45-38-019e7fff-ea92-7920-bddd-fead427a6536.jsonl,31,61849.2,1460.5,922.5,3983.0,1333.2,0.0,7359.0,69548.5,0.8893
rollout-2026-05-31T15-40-02-019e8031-b838-74b1-813c-a4bb4bfa24d5.jsonl,59,33817.0,2060.0,880.5,6000.0,1370.2,0.0,7359.0,44127.8,0.7663
rollout-2026-05-31T16-06-48-019e804a-3a50-7f61-bde5-4e156ab0eb74.jsonl,35,10437.2,1287.8,809.0,4573.0,1380.2,0.0,7359.0,18487.2,0.5646
rollout-2026-05-31T21-34-35-019e8176-4f07-71d2-9d2a-df9b9f660bc8.jsonl,36,21365.5,1540.5,735.0,4860.0,3138.0,0.0,7359.0,31639.0,0.6753
rollout-2026-05-31T22-27-54-019e81a7-2046-77a0-938f-d29e232e032e.jsonl,35,23433.2,1559.0,617.8,4264.0,2804.0,0.0,7359.0,32678.0,0.7171
rollout-2026-05-31T22-38-27-019e81b0-c94e-72f2-95b6-1a8a33b26217.jsonl,51,33069.2,2010.8,1079.8,6957.0,3986.5,0.0,7359.0,47103.2,0.7021
rollout-2026-06-01T04-10-13-019e82e0-879f-7c52-84dd-c5af12dfa32b.jsonl,49,61162.5,2618.8,951.0,6703.0,2734.0,0.0,7359.0,74169.2,0.8246
rollout-2026-06-01T04-37-54-019e82f9-e14c-7cc0-a1c4-4c4cef35679a.jsonl,55,55270.8,2200.0,1108.8,5043.0,1952.8,0.0,7359.0,65575.2,0.8429
rollout-2026-06-01T04-39-10-019e82fb-09e5-7ec0-b273-9a2d3ffe9a56.jsonl,38,18268.0,2368.0,965.8,4339.0,2887.2,0.0,7359.0,28828.0,0.6337
rollout-2026-06-01T05-02-46-019e8310-a41a-7943-aeb3-6d793a895058.jsonl,40,21786.0,2495.5,760.5,5207.0,1822.0,0.0,7359.0,32071.0,0.6793
rollout-2026-06-01T05-14-22-019e831b-419e-7372-85e6-50c2402e452c.jsonl,47,30954.0,2067.5,885.0,4666.0,2330.2,0.0,7359.0,40902.8,0.7568
