seed,cap_frac,capacity,distinct_hot,policy,hit_rate,recomputed_tokens,total_prompt_tokens,evictions
11,0.25,344,1376,lru,0.5065,505344,1024000,31240
11,0.25,344,1376,tba,0.511,500736,1024000,30952
11,0.5,688,1376,lru,0.558,452608,1024000,27600
11,0.5,688,1376,tba,0.55325,457472,1024000,27904
11,0.75,1032,1376,lru,0.58825,421632,1024000,25320
11,0.75,1032,1376,tba,0.59425,415488,1024000,24936
11,1.0,1376,1376,lru,0.6345,374272,1024000,22016
11,1.0,1376,1376,tba,0.628,380928,1024000,22432
11,1.5,2064,1376,lru,0.7225,284160,1024000,15696
11,1.5,2064,1376,tba,0.70175,305408,1024000,17024
23,0.25,344,1376,lru,0.507,504832,1024000,31208
23,0.25,344,1376,tba,0.514,497664,1024000,30760
23,0.5,688,1376,lru,0.55825,452352,1024000,27584
23,0.5,688,1376,tba,0.56075,449792,1024000,27424
23,0.75,1032,1376,lru,0.609,400384,1024000,23992
23,0.75,1032,1376,tba,0.5985,411136,1024000,24664
23,1.0,1376,1376,lru,0.64975,358656,1024000,21040
23,1.0,1376,1376,tba,0.62925,379648,1024000,22228
23,1.5,2064,1376,lru,0.7315,274944,1024000,15120
23,1.5,2064,1376,tba,0.7205,286208,1024000,15824
47,0.25,344,1376,lru,0.5,512000,1024000,31656
47,0.25,344,1376,tba,0.50975,502016,1024000,31032
47,0.5,688,1376,lru,0.5505,460288,1024000,28080
47,0.5,688,1376,tba,0.557,453632,1024000,27664
47,0.75,1032,1376,lru,0.59,419840,1024000,25208
47,0.75,1032,1376,tba,0.59425,415488,1024000,24936
47,1.0,1376,1376,lru,0.6395,369152,1024000,21696
47,1.0,1376,1376,tba,0.624,385024,1024000,22564
47,1.5,2064,1376,lru,0.7275,279040,1024000,15376
47,1.5,2064,1376,tba,0.7075,299520,1024000,16656
