seed,cap_frac,shared_frac,capacity,distinct_hot,policy,hit_rate,recomputed_tokens,total_prompt_tokens,evictions
11,0.25,0.25,968,3872,lru,0.31976744186046513,599040,880640,36472
11,0.25,0.25,968,3872,pin_shared_prefix,0.31976744186046513,599040,880640,36472
11,0.25,0.25,968,3872,naive2,0.32151162790697674,597504,880640,36376
11,0.25,0.25,968,3872,adaptive3,0.3247093023255814,594688,880640,36200
11,0.5,0.25,1936,3872,lru,0.4427325581395349,490752,880640,28736
11,0.5,0.25,1936,3872,pin_shared_prefix,0.4427325581395349,490752,880640,28736
11,0.5,0.25,1936,3872,naive2,0.4635174418604651,472448,880640,27592
11,0.5,0.25,1936,3872,adaptive3,0.4476744186046512,486400,880640,28464
11,0.75,0.25,2904,3872,lru,0.5828488372093024,367360,880640,20056
11,0.75,0.25,2904,3872,pin_shared_prefix,0.5828488372093024,367360,880640,20056
11,0.75,0.25,2904,3872,naive2,0.5777616279069767,371840,880640,20336
11,0.75,0.25,2904,3872,adaptive3,0.6155523255813954,338560,880640,18113
11,1.0,0.25,3872,3872,lru,0.6787790697674418,282880,880640,13808
11,1.0,0.25,3872,3872,pin_shared_prefix,0.6787790697674418,282880,880640,13808
11,1.0,0.25,3872,3872,naive2,0.6953488372093023,268288,880640,12896
11,1.0,0.25,3872,3872,adaptive3,0.7078488372093024,257280,880640,12208
11,1.5,0.25,5808,3872,lru,0.8024709302325581,173952,880640,5064
11,1.5,0.25,5808,3872,pin_shared_prefix,0.8024709302325581,173952,880640,5064
11,1.5,0.25,5808,3872,naive2,0.8212209302325582,157440,880640,4032
11,1.5,0.25,5808,3872,adaptive3,0.8340116279069767,146176,880640,3328
11,0.25,0.5,656,2624,lru,0.4444767441860465,489216,880640,29920
11,0.25,0.5,656,2624,pin_shared_prefix,0.4444767441860465,489216,880640,29920
11,0.25,0.5,656,2624,naive2,0.4558139534883721,479232,880640,29296
11,0.25,0.5,656,2624,adaptive3,0.4502906976744186,484096,880640,29600
11,0.5,0.5,1312,2624,lru,0.5340116279069768,410368,880640,24336
11,0.5,0.5,1312,2624,pin_shared_prefix,0.5340116279069768,410368,880640,24336
11,0.5,0.5,1312,2624,naive2,0.5515988372093024,394880,880640,23368
11,0.5,0.5,1312,2624,adaptive3,0.55,396288,880640,23361
11,0.75,0.5,1968,2624,lru,0.6145348837209302,339456,880640,19248
11,0.75,0.5,1968,2624,pin_shared_prefix,0.6145348837209302,339456,880640,19248
11,0.75,0.5,1968,2624,naive2,0.6293604651162791,326400,880640,18432
11,0.75,0.5,1968,2624,adaptive3,0.6296511627906977,326144,880640,18313
11,1.0,0.5,2624,2624,lru,0.6856104651162791,276864,880640,14680
11,1.0,0.5,2624,2624,pin_shared_prefix,0.6856104651162791,276864,880640,14680
11,1.0,0.5,2624,2624,naive2,0.7013081395348837,263040,880640,13564
11,1.0,0.5,2624,2624,adaptive3,0.7036337209302326,260992,880640,13514
11,1.5,0.5,3936,2624,lru,0.7998546511627908,176256,880640,7080
11,1.5,0.5,3936,2624,pin_shared_prefix,0.7998546511627908,176256,880640,7080
11,1.5,0.5,3936,2624,naive2,0.8133720930232559,164352,880640,6336
11,1.5,0.5,3936,2624,adaptive3,0.8300872093023256,149632,880640,5416
11,0.25,0.75,344,1376,lru,0.5847383720930233,365696,880640,22512
11,0.25,0.75,344,1376,pin_shared_prefix,0.5847383720930233,365696,880640,22512
11,0.25,0.75,344,1376,naive2,0.5867732558139535,363904,880640,22400
11,0.25,0.75,344,1376,adaptive3,0.5861918604651163,364416,880640,22345
11,0.5,0.75,688,1376,lru,0.6191860465116279,335360,880640,20272
11,0.5,0.75,688,1376,pin_shared_prefix,0.6191860465116279,335360,880640,20272
11,0.5,0.75,688,1376,naive2,0.6340116279069767,322304,880640,19456
11,0.5,0.75,688,1376,adaptive3,0.6244186046511628,330752,880640,19866
11,0.75,0.75,1032,1376,lru,0.6604651162790698,299008,880640,17656
11,0.75,0.75,1032,1376,pin_shared_prefix,0.6604651162790698,299008,880640,17656
11,0.75,0.75,1032,1376,naive2,0.6893895348837209,273536,880640,16064
11,0.75,0.75,1032,1376,adaptive3,0.6779069767441861,283648,880640,16649
11,1.0,0.75,1376,1376,lru,0.6950581395348837,268544,880640,15408
11,1.0,0.75,1376,1376,pin_shared_prefix,0.6950581395348837,268544,880640,15408
11,1.0,0.75,1376,1376,naive2,0.7210755813953489,245632,880640,13821
11,1.0,0.75,1376,1376,adaptive3,0.7100290697674418,255360,880640,14529
11,1.5,0.75,2064,1376,lru,0.7761627906976745,197120,880640,10256
11,1.5,0.75,2064,1376,pin_shared_prefix,0.7761627906976745,197120,880640,10256
11,1.5,0.75,2064,1376,naive2,0.7876453488372093,187008,880640,9624
11,1.5,0.75,2064,1376,adaptive3,0.8114825581395348,166016,880640,8257
11,0.25,0.9,159,635,lru,0.16844113372093023,732304,880640,45610
11,0.25,0.9,159,635,pin_shared_prefix,0.6678052325581395,292544,880640,18125
11,0.25,0.9,159,635,naive2,0.6740734011627907,287024,880640,17780
11,0.25,0.9,159,635,adaptive3,0.6678052325581395,292544,880640,18125
11,0.5,0.9,318,635,lru,0.6913699127906977,271792,880640,16669
11,0.5,0.9,318,635,pin_shared_prefix,0.6913699127906977,271792,880640,16669
11,0.5,0.9,318,635,naive2,0.7031795058139535,261392,880640,16019
11,0.5,0.9,318,635,adaptive3,0.696311773255814,267440,880640,16397
11,0.75,0.9,476,635,lru,0.7124818313953488,253200,880640,15349
11,0.75,0.9,476,635,pin_shared_prefix,0.7124818313953488,253200,880640,15349
11,0.75,0.9,476,635,naive2,0.7244912790697674,242624,880640,14688
11,0.75,0.9,476,635,adaptive3,0.7239643895348837,243088,880640,14717
11,1.0,0.9,635,635,lru,0.7371547965116279,231472,880640,13832
11,1.0,0.9,635,635,pin_shared_prefix,0.7371547965116279,231472,880640,13832
11,1.0,0.9,635,635,naive2,0.7375181686046511,231152,880640,13764
11,1.0,0.9,635,635,adaptive3,0.7528706395348838,217632,880640,12967
11,1.5,0.9,952,635,lru,0.7884084302325581,186336,880640,10694
11,1.5,0.9,952,635,pin_shared_prefix,0.7884084302325581,186336,880640,10694
11,1.5,0.9,952,635,naive2,0.7753815406976744,197808,880640,11411
11,1.5,0.9,952,635,adaptive3,0.808702761627907,168464,880640,9577
23,0.25,0.25,968,3872,lru,0.33909883720930234,582016,880640,35408
23,0.25,0.25,968,3872,pin_shared_prefix,0.33909883720930234,582016,880640,35408
23,0.25,0.25,968,3872,naive2,0.3372093023255814,583680,880640,35512
23,0.25,0.25,968,3872,adaptive3,0.34593023255813954,576000,880640,35032
23,0.5,0.25,1936,3872,lru,0.4625,473344,880640,27648
23,0.5,0.25,1936,3872,pin_shared_prefix,0.4625,473344,880640,27648
23,0.5,0.25,1936,3872,naive2,0.47921511627906976,458624,880640,26728
23,0.5,0.25,1936,3872,adaptive3,0.48938953488372094,449664,880640,25938
23,0.75,0.25,2904,3872,lru,0.6061046511627907,346880,880640,18776
23,0.75,0.25,2904,3872,pin_shared_prefix,0.6061046511627907,346880,880640,18776
23,0.75,0.25,2904,3872,naive2,0.5979651162790698,354048,880640,19224
23,0.75,0.25,2904,3872,adaptive3,0.6274709302325582,328064,880640,17600
23,1.0,0.25,3872,3872,lru,0.6803779069767442,281472,880640,13720
23,1.0,0.25,3872,3872,pin_shared_prefix,0.6803779069767442,281472,880640,13720
23,1.0,0.25,3872,3872,naive2,0.6920058139534884,271232,880640,12700
23,1.0,0.25,3872,3872,adaptive3,0.703343023255814,261248,880640,12456
23,1.5,0.25,5808,3872,lru,0.8007267441860465,175488,880640,5160
23,1.5,0.25,5808,3872,pin_shared_prefix,0.8007267441860465,175488,880640,5160
23,1.5,0.25,5808,3872,naive2,0.8200581395348837,158464,880640,4096
23,1.5,0.25,5808,3872,adaptive3,0.8340116279069767,146176,880640,3328
23,0.25,0.5,656,2624,lru,0.4188953488372093,511744,880640,31328
23,0.25,0.5,656,2624,pin_shared_prefix,0.4188953488372093,511744,880640,31328
23,0.25,0.5,656,2624,naive2,0.43953488372093025,493568,880640,30192
23,0.25,0.5,656,2624,adaptive3,0.42688953488372094,504704,880640,30801
23,0.5,0.5,1312,2624,lru,0.5007267441860465,439680,880640,26168
23,0.5,0.5,1312,2624,pin_shared_prefix,0.5007267441860465,439680,880640,26168
23,0.5,0.5,1312,2624,naive2,0.5425872093023256,402816,880640,23864
23,0.5,0.5,1312,2624,adaptive3,0.5218023255813954,421120,880640,25008
23,0.75,0.5,1968,2624,lru,0.6027616279069767,349824,880640,19896
23,0.75,0.5,1968,2624,pin_shared_prefix,0.6027616279069767,349824,880640,19896
23,0.75,0.5,1968,2624,naive2,0.6305232558139535,325376,880640,18368
