regime,gpu_util,ratio,n_reqs,wall_s,req_per_s,tok_per_s,in_tok,prefix_queries,prefix_hits,prefix_hit_rate,prompt_tokens_cached,recomputed_prefill_tokens,preemptions
committed,0.12,1:1,48,0.312,153.87,169159.5,52386,52386,38112,0.7275,38112,14274,0
committed,0.2,1:1,48,0.344,139.54,153406.6,52386,52386,38112,0.7275,38112,14274,0
committed,0.35,1:1,48,0.327,146.62,161188.9,52386,52386,38112,0.7275,38112,14274,0
committed,0.12,1:3,48,0.382,125.5,171356.4,65154,65154,46032,0.7065,46032,19122,0
committed,0.2,1:3,48,0.374,128.27,175140.7,65154,65154,46032,0.7065,46032,19122,0
committed,0.35,1:3,48,0.374,128.36,175253.5,65154,65154,46032,0.7065,46032,19122,0
ephemeral,0.12,1:1,48,0.264,181.56,107742.9,28100,28100,13920,0.4954,13920,14180,0
ephemeral,0.2,1:1,48,0.276,174.04,103278.4,28100,28100,13920,0.4954,13920,14180,0
ephemeral,0.35,1:1,48,0.33,145.65,86431.1,28100,28100,13920,0.4954,13920,14180,0
ephemeral,0.12,1:3,48,0.344,139.66,97020.1,32961,32961,13920,0.4223,13920,19041,0
ephemeral,0.2,1:3,48,0.346,138.64,96312.7,32961,32961,13920,0.4223,13920,19041,0
ephemeral,0.35,1:3,48,0.341,140.76,97784.9,32961,32961,13920,0.4223,13920,19041,0
