r,lead,w,pstar,S,P,feasible
0.25,0.3,0.5,0.3846,0.2,0.125,True
0.25,0.3,1.0,0.5556,0.2,0.25,True
0.25,0.5,0.5,0.3846,0.2,0.125,True
0.25,0.5,1.0,0.5556,0.2,0.25,True
0.25,0.7,0.5,0.3846,0.2,0.125,True
0.25,0.7,1.0,0.5556,0.2,0.25,True
0.5,0.3,0.5,0.3571,0.45,0.25,True
0.5,0.3,1.0,0.5263,0.45,0.5,True
0.5,0.5,0.5,0.3571,0.45,0.25,True
0.5,0.5,1.0,0.5263,0.45,0.5,True
0.5,0.7,0.5,0.5,0.25,0.25,True
0.5,0.7,1.0,0.6667,0.25,0.5,True
1.0,0.3,0.5,0.4348,0.65,0.5,True
1.0,0.3,1.0,0.6061,0.65,1.0,True
1.0,0.5,0.5,0.5263,0.45,0.5,True
1.0,0.5,1.0,0.6897,0.45,1.0,True
1.0,0.7,0.5,0.6667,0.25,0.5,True
1.0,0.7,1.0,0.8,0.25,1.0,True
2.0,0.3,0.5,0.6061,0.65,1.0,True
2.0,0.3,1.0,0.7547,0.65,2.0,True
2.0,0.5,0.5,0.6897,0.45,1.0,True
2.0,0.5,1.0,0.8163,0.45,2.0,True
2.0,0.7,0.5,0.8,0.25,1.0,True
2.0,0.7,1.0,0.8889,0.25,2.0,True
4.0,0.3,0.5,0.7547,0.65,2.0,True
4.0,0.3,1.0,0.8602,0.65,4.0,True
4.0,0.5,0.5,0.8163,0.45,2.0,True
4.0,0.5,1.0,0.8989,0.45,4.0,True
4.0,0.7,0.5,0.8889,0.25,2.0,True
4.0,0.7,1.0,0.9412,0.25,4.0,True
8.0,0.3,0.5,0.8602,0.65,4.0,True
8.0,0.3,1.0,0.9249,0.65,8.0,True
8.0,0.5,0.5,0.8989,0.45,4.0,True
8.0,0.5,1.0,0.9467,0.45,8.0,True
8.0,0.7,0.5,0.9412,0.25,4.0,True
8.0,0.7,1.0,0.9697,0.25,8.0,True
