r,lead,w,p,T_base,E_spec_analytic,mc_base_mean,mc_base_std,mc_spec_mean,mc_spec_std,pstar,wins,speedup,S,P
0.25,0.3,0.5,0.5,1.35,1.3125,1.3515,0.0023,1.3145,0.0015,0.3846,True,1.0286,0.2,0.125
0.25,0.3,0.5,0.6,1.35,1.28,1.3515,0.0023,1.2816,0.0026,0.3846,True,1.0547,0.2,0.125
0.25,0.3,0.5,0.7,1.35,1.2475,1.3515,0.0023,1.2492,0.0017,0.3846,True,1.0822,0.2,0.125
0.25,0.3,0.5,0.8,1.35,1.215,1.3515,0.0023,1.2177,0.0015,0.3846,True,1.1111,0.2,0.125
0.25,0.3,0.5,0.9,1.35,1.1825,1.3515,0.0023,1.1842,0.0017,0.3846,True,1.1416,0.2,0.125
0.25,0.3,0.5,0.95,1.35,1.1663,1.3515,0.0023,1.1682,0.0024,0.3846,True,1.1576,0.2,0.125
0.25,0.3,0.5,0.99,1.35,1.1533,1.3515,0.0023,1.1544,0.0023,0.3846,True,1.1706,0.2,0.125
0.25,0.3,1.0,0.5,1.35,1.375,1.3515,0.0023,1.3772,0.0019,0.5556,False,0.9818,0.2,0.25
0.25,0.3,1.0,0.6,1.35,1.33,1.3515,0.0023,1.3318,0.0034,0.5556,True,1.015,0.2,0.25
0.25,0.3,1.0,0.7,1.35,1.285,1.3515,0.0023,1.2869,0.0022,0.5556,True,1.0506,0.2,0.25
0.25,0.3,1.0,0.8,1.35,1.24,1.3515,0.0023,1.2433,0.0013,0.5556,True,1.0887,0.2,0.25
0.25,0.3,1.0,0.9,1.35,1.195,1.3515,0.0023,1.1969,0.0017,0.5556,True,1.1297,0.2,0.25
0.25,0.3,1.0,0.95,1.35,1.1725,1.3515,0.0023,1.1747,0.0025,0.5556,True,1.1514,0.2,0.25
0.25,0.3,1.0,0.99,1.35,1.1545,1.3515,0.0023,1.1556,0.0024,0.5556,True,1.1693,0.2,0.25
0.25,0.5,0.5,0.5,1.35,1.3125,1.3515,0.0023,1.3145,0.0015,0.3846,True,1.0286,0.2,0.125
0.25,0.5,0.5,0.6,1.35,1.28,1.3515,0.0023,1.2817,0.0026,0.3846,True,1.0547,0.2,0.125
0.25,0.5,0.5,0.7,1.35,1.2475,1.3515,0.0023,1.2492,0.0017,0.3846,True,1.0822,0.2,0.125
0.25,0.5,0.5,0.8,1.35,1.215,1.3515,0.0023,1.2177,0.0015,0.3846,True,1.1111,0.2,0.125
0.25,0.5,0.5,0.9,1.35,1.1825,1.3515,0.0023,1.1842,0.0017,0.3846,True,1.1416,0.2,0.125
0.25,0.5,0.5,0.95,1.35,1.1663,1.3515,0.0023,1.1682,0.0024,0.3846,True,1.1576,0.2,0.125
0.25,0.5,0.5,0.99,1.35,1.1533,1.3515,0.0023,1.1545,0.0023,0.3846,True,1.1706,0.2,0.125
0.25,0.5,1.0,0.5,1.35,1.375,1.3515,0.0023,1.3772,0.0019,0.5556,False,0.9818,0.2,0.25
0.25,0.5,1.0,0.6,1.35,1.33,1.3515,0.0023,1.3318,0.0034,0.5556,True,1.015,0.2,0.25
0.25,0.5,1.0,0.7,1.35,1.285,1.3515,0.0023,1.2869,0.0022,0.5556,True,1.0506,0.2,0.25
0.25,0.5,1.0,0.8,1.35,1.24,1.3515,0.0023,1.2433,0.0013,0.5556,True,1.0887,0.2,0.25
0.25,0.5,1.0,0.9,1.35,1.195,1.3515,0.0023,1.1969,0.0017,0.5556,True,1.1297,0.2,0.25
0.25,0.5,1.0,0.95,1.35,1.1725,1.3515,0.0023,1.1747,0.0025,0.5556,True,1.1514,0.2,0.25
0.25,0.5,1.0,0.99,1.35,1.1545,1.3515,0.0023,1.1557,0.0024,0.5556,True,1.1693,0.2,0.25
0.25,0.7,0.5,0.5,1.35,1.3125,1.3515,0.0023,1.3177,0.0016,0.3846,True,1.0286,0.2,0.125
0.25,0.7,0.5,0.6,1.35,1.28,1.3515,0.0023,1.2855,0.0027,0.3846,True,1.0547,0.2,0.125
0.25,0.7,0.5,0.7,1.35,1.2475,1.3515,0.0023,1.2537,0.0018,0.3846,True,1.0822,0.2,0.125
0.25,0.7,0.5,0.8,1.35,1.215,1.3515,0.0023,1.2228,0.0015,0.3846,True,1.1111,0.2,0.125
0.25,0.7,0.5,0.9,1.35,1.1825,1.3515,0.0023,1.19,0.0017,0.3846,True,1.1416,0.2,0.125
0.25,0.7,0.5,0.95,1.35,1.1663,1.3515,0.0023,1.1742,0.0023,0.3846,True,1.1576,0.2,0.125
0.25,0.7,0.5,0.99,1.35,1.1533,1.3515,0.0023,1.1607,0.0022,0.3846,True,1.1706,0.2,0.125
0.25,0.7,1.0,0.5,1.35,1.375,1.3515,0.0023,1.3805,0.0021,0.5556,False,0.9818,0.2,0.25
0.25,0.7,1.0,0.6,1.35,1.33,1.3515,0.0023,1.3357,0.0035,0.5556,True,1.015,0.2,0.25
0.25,0.7,1.0,0.7,1.35,1.285,1.3515,0.0023,1.2914,0.0023,0.5556,True,1.0506,0.2,0.25
0.25,0.7,1.0,0.8,1.35,1.24,1.3515,0.0023,1.2484,0.0014,0.5556,True,1.0887,0.2,0.25
0.25,0.7,1.0,0.9,1.35,1.195,1.3515,0.0023,1.2026,0.0017,0.5556,True,1.1297,0.2,0.25
