K,skew,lname,lam,B,regime,cap_blocks,W,fcfs_recomp_mean,fcfs_recomp_std,pfa_recomp_mean,pfa_recomp_std,delta_mean,ci_lo,ci_hi,fcfs_hit,pfa_hit,fcfs_p99,pfa_p99,fair_ratio,fcfs_mean_wait,pfa_mean_wait
2,0.0,light,2.4,4,one,128,1,5120,1024.0,5120,1024.0,0,0.0,0.0,0.9916666666666667,0.9916666666666667,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
2,0.0,light,2.4,4,one,128,2,5120,1024.0,5120,1024.0,0,0.0,0.0,0.9916666666666667,0.9916666666666667,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
2,0.0,light,2.4,4,one,128,4,5120,1024.0,5120,1024.0,0,0.0,0.0,0.9916666666666667,0.9916666666666667,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
2,0.0,light,2.4,4,one,128,8,5120,1024.0,5120,1024.0,0,0.0,0.0,0.9916666666666667,0.9916666666666667,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
2,0.0,light,2.4,4,one,128,32,5120,1024.0,5120,1024.0,0,0.0,0.0,0.9916666666666667,0.9916666666666667,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
2,0.0,light,2.4,4,one,128,1000000000,5120,1024.0,5120,1024.0,0,0.0,0.0,0.9916666666666667,0.9916666666666667,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
2,0.0,light,2.4,4,few,256,1,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
2,0.0,light,2.4,4,few,256,2,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
2,0.0,light,2.4,4,few,256,4,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
2,0.0,light,2.4,4,few,256,8,4096,0.0,4096,0.0,0,0.0,0.0,0.9933333333333333,0.9933333333333333,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
