p_constrained,p_prose,gap,f,r,best_fixed_k,tps_best_fixed,adapt_kc,adapt_kp,tps_adaptive,gain_pct,spd_fixed_vs_nospec,spd_adapt_vs_nospec
0.85,0.55,0.3,0.05,0.05,4,1.79738,10,4,1.80604,0.482,1.7974,1.806
0.85,0.55,0.3,0.05,0.1,3,1.58197,7,3,1.58919,0.456,1.582,1.5892
0.85,0.55,0.3,0.05,0.2,2,1.34199,5,2,1.34765,0.422,1.342,1.3477
0.85,0.55,0.3,0.05,0.35,1,1.15753,3,1,1.16335,0.503,1.1575,1.1634
0.85,0.55,0.3,0.1,0.05,4,1.83785,10,4,1.85605,0.99,1.8379,1.8561
0.85,0.55,0.3,0.1,0.1,3,1.61206,7,3,1.62712,0.935,1.6121,1.6271
0.85,0.55,0.3,0.1,0.2,2,1.36132,5,2,1.37301,0.859,1.3613,1.373
0.85,0.55,0.3,0.1,0.35,1,1.16707,3,1,1.17896,1.019,1.1671,1.179
0.85,0.55,0.3,0.2,0.05,4,1.92453,10,4,1.96488,2.097,1.9245,1.9649
0.85,0.55,0.3,0.2,0.1,3,1.6758,7,3,1.7087,1.963,1.6758,1.7087
0.85,0.55,0.3,0.2,0.2,2,1.40168,5,2,1.4267,1.785,1.4017,1.4267
0.85,0.55,0.3,0.2,0.35,1,1.18663,3,1,1.21148,2.094,1.1866,1.2115
0.85,0.55,0.3,0.35,0.05,5,2.07729,10,4,2.15434,3.709,2.0773,2.1543
0.85,0.55,0.3,0.35,0.1,3,1.78147,7,3,1.84765,3.715,1.7815,1.8476
0.85,0.55,0.3,0.35,0.2,2,1.46691,5,2,1.51559,3.319,1.4669,1.5156
0.85,0.55,0.3,0.35,0.35,1,1.21723,3,1,1.26376,3.822,1.2172,1.2638
0.85,0.55,0.3,0.5,0.05,5,2.27389,10,4,2.38425,4.853,2.2739,2.3843
0.85,0.55,0.3,0.5,0.1,4,1.92144,7,3,2.01119,4.671,1.9214,2.0112
0.85,0.55,0.3,0.5,0.2,3,1.54486,5,2,1.6163,4.625,1.5449,1.6163
0.85,0.55,0.3,0.5,0.35,2,1.26701,3,1,1.32076,4.242,1.267,1.3208
0.85,0.55,0.3,0.6,0.05,6,2.44008,10,4,2.56688,5.196,2.4401,2.5669
0.85,0.55,0.3,0.6,0.1,4,2.03313,7,3,2.13732,5.125,2.0331,2.1373
0.85,0.55,0.3,0.6,0.2,3,1.61742,5,2,1.69122,4.563,1.6174,1.6912
0.85,0.55,0.3,0.6,0.35,2,1.30963,3,1,1.3617,3.976,1.3096,1.3617
0.85,0.65,0.2,0.05,0.05,5,2.15248,10,5,2.15965,0.333,2.1525,2.1596
0.85,0.65,0.2,0.05,0.1,4,1.83326,7,3,1.83925,0.326,1.8333,1.8392
0.85,0.65,0.2,0.05,0.2,2,1.49488,5,2,1.50191,0.47,1.4949,1.5019
0.85,0.65,0.2,0.05,0.35,2,1.23108,3,1,1.23542,0.353,1.2311,1.2354
0.85,0.65,0.2,0.1,0.05,5,2.19312,10,5,2.20804,0.68,2.1931,2.208
0.85,0.65,0.2,0.1,0.1,4,1.86346,7,3,1.8743,0.581,1.8635,1.8743
0.85,0.65,0.2,0.1,0.2,2,1.5097,5,2,1.5241,0.953,1.5097,1.5241
0.85,0.65,0.2,0.1,0.35,2,1.24328,3,1,1.24891,0.453,1.2433,1.2489
0.85,0.65,0.2,0.2,0.05,5,2.27917,10,5,2.31164,1.425,2.2792,2.3116
0.85,0.65,0.2,0.2,0.1,4,1.92696,7,3,1.94857,1.122,1.927,1.9486
0.85,0.65,0.2,0.2,0.2,3,1.54854,5,2,1.5705,1.418,1.5485,1.5705
0.85,0.65,0.2,0.2,0.35,2,1.26842,3,1,1.2768,0.66,1.2684,1.2768
0.85,0.65,0.2,0.35,0.05,6,2.43044,10,5,2.48664,2.313,2.4304,2.4866
0.85,0.65,0.2,0.35,0.1,4,2.03074,7,3,2.07171,2.017,2.0307,2.0717
0.85,0.65,0.2,0.35,0.2,3,1.61595,5,2,1.64565,1.838,1.616,1.6456
0.85,0.65,0.2,0.35,0.35,2,1.3081,3,1,1.32104,0.989,1.3081,1.321
0.85,0.65,0.2,0.5,0.05,6,2.6128,10,5,2.69032,2.967,2.6128,2.6903
0.85,0.65,0.2,0.5,0.1,5,2.1527,7,3,2.21146,2.73,2.1527,2.2115
0.85,0.65,0.2,0.5,0.2,3,1.6895,5,2,1.72836,2.3,1.6895,1.7284
0.85,0.65,0.2,0.5,0.35,2,1.35035,3,1,1.36846,1.341,1.3503,1.3685
0.85,0.65,0.2,0.6,0.05,7,2.76069,10,5,2.84571,3.08,2.7607,2.8457
0.85,0.65,0.2,0.6,0.1,5,2.25288,7,3,2.3156,2.784,2.2529,2.3156
0.85,0.65,0.2,0.6,0.2,3,1.74236,5,2,1.78827,2.635,1.7424,1.7883
0.85,0.65,0.2,0.6,0.35,2,1.38006,3,1,1.40201,1.591,1.3801,1.402
0.85,0.75,0.1,0.05,0.05,7,2.70115,10,7,2.70412,0.11,2.7012,2.7041
0.85,0.75,0.1,0.05,0.1,5,2.21511,7,5,2.21775,0.119,2.2151,2.2177
0.85,0.75,0.1,0.05,0.2,3,1.7212,5,3,1.72423,0.176,1.7212,1.7242
0.85,0.75,0.1,0.05,0.35,2,1.3672,3,2,1.36884,0.12,1.3672,1.3688
0.85,0.75,0.1,0.1,0.05,7,2.7369,10,7,2.743,0.223,2.7369,2.743
0.85,0.75,0.1,0.1,0.1,5,2.23865,7,5,2.24404,0.241,2.2387,2.244
0.85,0.75,0.1,0.1,0.2,3,1.73359,5,3,1.73975,0.356,1.7336,1.7398
0.85,0.75,0.1,0.1,0.35,2,1.37418,3,2,1.3775,0.241,1.3742,1.3775
0.85,0.75,0.1,0.2,0.05,7,2.8113,10,7,2.82421,0.459,2.8113,2.8242
0.85,0.75,0.1,0.2,0.1,5,2.28727,7,5,2.29855,0.493,2.2873,2.2986
0.85,0.75,0.1,0.2,0.2,3,1.75891,5,3,1.77165,0.724,1.7589,1.7716
0.85,0.75,0.1,0.2,0.35,2,1.38836,3,2,1.39515,0.489,1.3884,1.3951
0.85,0.75,0.1,0.35,0.05,7,2.93082,10,7,2.95546,0.841,2.9308,2.9555
0.85,0.75,0.1,0.35,0.1,5,2.36429,7,5,2.38547,0.896,2.3643,2.3855
0.85,0.75,0.1,0.35,0.2,4,1.80707,5,3,1.82175,0.812,1.8071,1.8218
0.85,0.75,0.1,0.35,0.35,2,1.41018,3,2,1.42248,0.872,1.4102,1.4225
0.85,0.75,0.1,0.5,0.05,8,3.06883,10,7,3.09949,0.999,3.0688,3.0995
0.85,0.75,0.1,0.5,0.1,6,2.45441,7,5,2.47923,1.011,2.4544,2.4792
0.85,0.75,0.1,0.5,0.2,4,1.85983,5,3,1.87477,0.803,1.8598,1.8748
0.85,0.75,0.1,0.5,0.35,3,1.43572,3,2,1.45091,1.058,1.4357,1.4509
0.85,0.75,0.1,0.6,0.05,8,3.17112,10,7,3.20358,1.024,3.1711,3.2036
0.85,0.75,0.1,0.6,0.1,6,2.52148,7,5,2.54593,0.97,2.5215,2.5459
0.85,0.75,0.1,0.6,0.2,4,1.89675,5,3,1.91186,0.797,1.8967,1.9119
0.85,0.75,0.1,0.6,0.35,3,1.45799,3,2,1.4705,0.858,1.458,1.4705
0.9,0.55,0.35,0.05,0.05,4,1.80233,13,4,1.81526,0.718,1.8023,1.8153
0.9,0.55,0.35,0.05,0.1,3,1.58572,10,3,1.59668,0.691,1.5857,1.5967
0.9,0.55,0.35,0.05,0.2,2,1.34449,7,2,1.35315,0.644,1.3445,1.3531
0.9,0.55,0.35,0.05,0.35,1,1.15882,4,1,1.16724,0.726,1.1588,1.1672
0.9,0.55,0.35,0.1,0.05,4,1.84823,13,4,1.87564,1.483,1.8482,1.8756
0.9,0.55,0.35,0.1,0.1,3,1.61987,10,3,1.64291,1.422,1.6199,1.6429
0.9,0.55,0.35,0.1,0.2,2,1.36645,7,2,1.38446,1.318,1.3665,1.3845
0.9,0.55,0.35,0.1,0.35,1,1.1697,4,1,1.18698,1.477,1.1697,1.187
0.9,0.55,0.35,0.2,0.05,4,1.94742,13,4,2.00931,3.178,1.9474,2.0093
0.9,0.55,0.35,0.2,0.1,3,1.69279,10,3,1.74389,3.019,1.6928,1.7439
0.9,0.55,0.35,0.2,0.2,2,1.41261,7,2,1.45166,2.764,1.4126,1.4517
0.9,0.55,0.35,0.2,0.35,1,1.19207,4,1,1.22852,3.058,1.1921,1.2285
0.9,0.55,0.35,0.35,0.05,5,2.13036,13,4,2.24981,5.607,2.1304,2.2498
0.9,0.55,0.35,0.35,0.1,3,1.81536,10,3,1.921,5.819,1.8154,1.921
0.9,0.55,0.35,0.35,0.2,2,1.48801,7,2,1.56564,5.217,1.488,1.5656
0.9,0.55,0.35,0.35,0.35,1,1.22728,4,1,1.29659,5.648,1.2273,1.2966
0.9,0.55,0.35,0.5,0.05,6,2.37184,13,4,2.55571,7.752,2.3718,2.5557
0.9,0.55,0.35,0.5,0.1,4,1.98954,10,3,2.13815,7.47,1.9895,2.1382
0.9,0.55,0.35,0.5,0.2,3,1.59011,7,2,1.69904,6.85,1.5901,1.699
0.9,0.55,0.35,0.5,0.35,2,1.29451,4,1,1.37265,6.036,1.2945,1.3727
0.9,0.55,0.35,0.6,0.05,6,2.58313,13,4,2.81046,8.801,2.5831,2.8105
0.9,0.55,0.35,0.6,0.1,5,2.12872,10,3,2.31242,8.629,2.1287,2.3124
0.9,0.55,0.35,0.6,0.2,3,1.6774,7,2,1.80137,7.39,1.6774,1.8014
0.9,0.55,0.35,0.6,0.35,2,1.34507,4,1,1.42852,6.204,1.3451,1.4285
0.9,0.65,0.25,0.05,0.05,5,2.16045,13,5,2.17285,0.574,2.1604,2.1728
0.9,0.65,0.25,0.05,0.1,4,1.83927,10,3,1.84929,0.545,1.8393,1.8493
0.9,0.65,0.25,0.05,0.2,2,1.49798,7,2,1.50873,0.718,1.498,1.5087
0.9,0.65,0.25,0.05,0.35,2,1.23363,4,1,1.23981,0.501,1.2336,1.2398
0.9,0.65,0.25,0.1,0.05,5,2.20972,13,5,2.23582,1.181,2.2097,2.2358
0.9,0.65,0.25,0.1,0.1,4,1.87592,10,3,1.89527,1.032,1.8759,1.8953
0.9,0.65,0.25,0.1,0.2,2,1.51602,7,2,1.53822,1.464,1.516,1.5382
0.9,0.65,0.25,0.1,0.35,2,1.24849,4,1,1.25791,0.755,1.2485,1.2579
0.9,0.65,0.25,0.2,0.05,5,2.31532,13,5,2.37339,2.508,2.3153,2.3734
0.9,0.65,0.25,0.2,0.1,4,1.95378,10,3,1.99446,2.082,1.9538,1.9945
0.9,0.65,0.25,0.2,0.2,3,1.56642,7,2,1.60079,2.194,1.5664,1.6008
0.9,0.65,0.25,0.2,0.35,2,1.27931,4,1,1.29574,1.285,1.2793,1.2957
0.9,0.65,0.25,0.35,0.05,6,2.51124,13,5,2.61471,4.12,2.5112,2.6147
0.9,0.65,0.25,0.35,0.1,4,2.0835,10,3,2.16437,3.881,2.0835,2.1644
0.9,0.65,0.25,0.35,0.2,3,1.65035,7,2,1.70482,3.301,1.6503,1.7048
0.9,0.65,0.25,0.35,0.35,2,1.3285,4,1,1.35696,2.142,1.3285,1.357
0.9,0.65,0.25,0.5,0.05,7,2.75829,13,5,2.91065,5.524,2.7583,2.9107
0.9,0.65,0.25,0.5,0.1,5,2.25237,10,3,2.36593,5.042,2.2524,2.3659
0.9,0.65,0.25,0.5,0.2,3,1.74378,7,2,1.8233,4.561,1.7438,1.8233
0.9,0.65,0.25,0.5,0.35,2,1.38162,4,1,1.42425,3.085,1.3816,1.4242
0.9,0.65,0.25,0.6,0.05,8,2.96498,13,5,3.14821,6.18,2.965,3.1482
0.9,0.65,0.25,0.6,0.1,5,2.38545,10,3,2.52254,5.747,2.3854,2.5225
0.9,0.65,0.25,0.6,0.2,4,1.82213,7,2,1.91189,4.926,1.8221,1.9119
0.9,0.65,0.25,0.6,0.35,2,1.41947,4,1,1.47294,3.767,1.4195,1.4729
0.9,0.75,0.15,0.05,0.05,7,2.71631,13,7,2.72486,0.315,2.7163,2.7249
0.9,0.75,0.15,0.05,0.1,5,2.22524,10,5,2.23236,0.32,2.2252,2.2324
0.9,0.75,0.15,0.05,0.2,3,1.72667,7,3,1.73324,0.38,1.7267,1.7332
0.9,0.75,0.15,0.05,0.35,2,1.37034,4,2,1.37423,0.283,1.3703,1.3742
0.9,0.75,0.15,0.1,0.05,7,2.7682,13,7,2.78601,0.643,2.7682,2.786
0.9,0.75,0.15,0.1,0.1,5,2.25945,10,5,2.27418,0.652,2.2594,2.2742
0.9,0.75,0.15,0.1,0.2,3,1.74473,7,3,1.75818,0.771,1.7447,1.7582
0.9,0.75,0.15,0.1,0.35,2,1.38054,4,2,1.38845,0.573,1.3805,1.3884
0.9,0.75,0.15,0.2,0.05,7,2.87815,13,7,2.91693,1.347,2.8782,2.9169
0.9,0.75,0.15,0.2,0.1,5,2.33111,10,5,2.36269,1.355,2.3311,2.3627
0.9,0.75,0.15,0.2,0.2,4,1.78597,7,3,1.8103,1.362,1.786,1.8103
0.9,0.75,0.15,0.2,0.35,2,1.40141,4,2,1.41779,1.169,1.4014,1.4178
0.9,0.75,0.15,0.35,0.05,8,3.06788,13,7,3.13813,2.29,3.0679,3.1381
0.9,0.75,0.15,0.35,0.1,6,2.45463,10,5,2.50917,2.222,2.4546,2.5092
