K,skew,B,load,capfam,W,vs_greedy_dp99,vs_greedy_drc,vs_greedy_ci_p99,vs_greedy_ci_rc,vs_vtc_dp99,vs_vtc_drc,vs_vtc_ci_p99,vs_vtc_ci_rc,joint_dominates
8,1.5,4,0.7,5,1,0.72,6571,"[-0.12,1.90]","[2219,11093]",-4.23,-3669,"[-6.70,-2.55]","[-9557,512]",False
8,1.5,4,0.7,5,2,0.44,5035,"[-0.25,1.34]","[1451,8704]",-4.51,-5205,"[-6.99,-2.75]","[-11093,-853]",False
8,1.5,4,0.7,5,4,0.09,2816,"[-0.26,0.65]","[171,5205]",-4.85,-7424,"[-7.35,-2.90]","[-13483,-2645]",False
8,1.5,4,0.7,5,8,0.03,1451,"[-0.17,0.25]","[-512,3499]",-4.91,-8789,"[-7.66,-2.75]","[-15531,-3157]",False
8,1.5,4,0.7,5,16,0.00,-256,"[-0.07,0.11]","[-1280,0]",-4.94,-10496,"[-7.77,-2.69]","[-17152,-4608]",False
8,1.5,4,0.7,5,32,0.00,0,"[0.00,0.00]","[0,0]",-4.95,-10240,"[-7.77,-2.69]","[-16640,-4608]",False
8,1.5,4,0.7,6,1,0.20,2475,"[-0.10,0.65]","[341,4523]",-1.95,-1365,"[-3.03,-1.06]","[-2901,85]",False
8,1.5,4,0.7,6,2,0.13,2048,"[-0.13,0.58]","[256,4096]",-2.02,-1792,"[-3.03,-1.16]","[-4096,-171]",False
8,1.5,4,0.7,6,4,0.07,683,"[-0.10,0.30]","[-256,2219]",-2.09,-3157,"[-3.34,-1.16]","[-5291,-1536]",False
8,1.5,4,0.7,6,8,0.03,256,"[-0.09,0.16]","[-512,1792]",-2.13,-3584,"[-3.50,-1.07]","[-5803,-1621]",False
8,1.5,4,0.7,6,16,-0.00,171,"[-0.07,0.05]","[0,853]",-2.16,-3669,"[-3.44,-1.09]","[-6144,-1451]",False
8,1.5,4,0.7,6,32,0.00,0,"[0.00,0.00]","[0,0]",-2.16,-3840,"[-3.43,-1.08]","[-6485,-1451]",False
8,1.5,4,0.7,7,1,0.08,341,"[-0.21,0.33]","[0,939]",-0.83,256,"[-1.59,-0.29]","[-341,1109]",False
8,1.5,4,0.7,7,2,0.07,171,"[-0.19,0.28]","[0,768]",-0.83,85,"[-1.60,-0.28]","[-768,939]",False
8,1.5,4,0.7,7,4,0.05,171,"[-0.14,0.29]","[0,683]",-0.86,85,"[-1.67,-0.29]","[-939,1365]",False
8,1.5,4,0.7,7,8,0.06,171,"[-0.02,0.20]","[0,683]",-0.84,85,"[-1.68,-0.21]","[-853,1024]",False
8,1.5,4,0.7,7,16,-0.00,85,"[-0.07,0.06]","[0,427]",-0.91,0,"[-1.79,-0.23]","[-939,939]",False
8,1.5,4,0.7,7,32,0.00,0,"[0.00,0.00]","[0,0]",-0.91,-85,"[-1.78,-0.23]","[-1024,853]",False
8,1.5,4,1.0,5,1,4.39,29013,"[2.03,6.90]","[21589,37035]",-17.80,-4011,"[-27.67,-10.70]","[-11520,2475]",False
8,1.5,4,1.0,5,2,3.11,23979,"[1.53,4.54]","[18005,29696]",-19.09,-9045,"[-29.01,-11.71]","[-15189,-3840]",False
8,1.5,4,1.0,5,4,1.87,18091,"[0.49,3.18]","[12544,23637]",-20.33,-14933,"[-30.75,-12.69]","[-21163,-9472]",False
8,1.5,4,1.0,5,8,1.01,13568,"[-0.05,2.21]","[8960,18773]",-21.19,-19456,"[-31.66,-13.12]","[-25856,-13483]",False
8,1.5,4,1.0,5,16,-0.20,4523,"[-0.78,0.56]","[512,8192]",-22.39,-28501,"[-33.38,-14.60]","[-36267,-22613]",False
8,1.5,4,1.0,5,32,-0.04,1109,"[-0.29,0.23]","[0,2560]",-22.23,-31915,"[-32.90,-14.48]","[-40533,-25003]",False
8,1.5,4,1.0,6,1,0.46,12373,"[-0.60,1.73]","[6997,17408]",-6.19,-2389,"[-9.02,-3.88]","[-6656,1365]",False
8,1.5,4,1.0,6,2,0.30,11179,"[-0.63,1.31]","[6485,15957]",-6.36,-3584,"[-9.29,-4.08]","[-7936,256]",False
8,1.5,4,1.0,6,4,0.07,8192,"[-0.69,1.04]","[4523,11520]",-6.59,-6571,"[-9.65,-4.25]","[-11093,-2304]",False
8,1.5,4,1.0,6,8,-0.15,6144,"[-0.68,0.44]","[2816,9643]",-6.80,-8619,"[-10.07,-4.34]","[-13568,-3925]",False
8,1.5,4,1.0,6,16,-0.10,1536,"[-0.56,0.29]","[-512,4181]",-6.75,-13227,"[-10.23,-4.37]","[-19541,-7936]",False
8,1.5,4,1.0,6,32,-0.03,683,"[-0.33,0.17]","[-341,2219]",-6.69,-14080,"[-10.02,-4.16]","[-20139,-8533]",False
8,1.5,4,1.0,7,1,-0.39,2389,"[-1.03,0.11]","[683,4437]",-2.64,-597,"[-3.80,-1.51]","[-2219,597]",False
8,1.5,4,1.0,7,2,-0.39,2133,"[-0.94,0.09]","[427,4096]",-2.63,-853,"[-3.80,-1.54]","[-2475,427]",False
8,1.5,4,1.0,7,4,-0.30,2133,"[-0.83,0.10]","[512,4437]",-2.55,-853,"[-3.69,-1.49]","[-2133,171]",False
8,1.5,4,1.0,7,8,-0.25,1451,"[-0.84,0.10]","[85,3157]",-2.50,-1536,"[-3.53,-1.37]","[-3755,-171]",False
8,1.5,4,1.0,7,16,-0.05,512,"[-0.64,0.47]","[-341,2389]",-2.29,-2475,"[-3.33,-1.21]","[-5035,-939]",False
8,1.5,4,1.0,7,32,-0.12,85,"[-0.52,0.02]","[0,597]",-2.36,-2901,"[-3.44,-1.21]","[-6059,-939]",False
8,1.5,4,1.4,5,1,14.68,76203,"[10.00,18.59]","[66901,87296]",-31.10,-9813,"[-37.64,-25.34]","[-24661,1963]",False
8,1.5,4,1.4,5,2,11.88,68693,"[7.67,15.63]","[58795,79445]",-33.91,-17323,"[-40.10,-28.39]","[-31061,-6144]",False
8,1.5,4,1.4,5,4,7.74,57259,"[4.29,10.74]","[50091,65280]",-38.05,-28757,"[-46.07,-30.79]","[-47701,-14592]",False
8,1.5,4,1.4,5,8,3.66,44629,"[-0.44,7.01]","[36523,55040]",-42.12,-41387,"[-50.00,-35.81]","[-59051,-27051]",False
8,1.5,4,1.4,5,16,0.01,32000,"[-3.31,2.97]","[26965,37803]",-45.77,-54016,"[-53.68,-38.94]","[-71851,-37205]",False
8,1.5,4,1.4,5,32,-2.99,18432,"[-5.97,-0.87]","[12629,24235]",-48.78,-67584,"[-56.89,-41.14]","[-86528,-49835]",False
8,1.5,4,1.4,6,1,0.77,40021,"[-3.33,4.55]","[33109,46933]",-22.65,-6400,"[-29.26,-16.53]","[-14677,1792]",False
8,1.5,4,1.4,6,2,0.36,38571,"[-4.19,4.49]","[30635,46933]",-23.07,-7851,"[-29.63,-17.34]","[-18091,-341]",False
8,1.5,4,1.4,6,4,-1.01,33792,"[-5.14,2.53]","[27477,40192]",-24.44,-12629,"[-31.50,-18.39]","[-21248,-3413]",False
8,1.5,4,1.4,6,8,-1.95,30208,"[-6.28,1.73]","[24491,37205]",-25.38,-16213,"[-32.60,-19.30]","[-27136,-8533]",False
8,1.5,4,1.4,6,16,-2.79,25003,"[-7.34,0.92]","[19285,30379]",-26.22,-21419,"[-33.75,-19.73]","[-30805,-14080]",False
8,1.5,4,1.4,6,32,-4.88,13995,"[-9.63,-1.44]","[8619,20395]",-28.31,-32427,"[-35.66,-21.24]","[-40960,-23979]",False
8,1.5,4,1.4,7,1,-7.52,14336,"[-14.12,-2.67]","[8789,20480]",-8.20,-1365,"[-10.77,-5.78]","[-3499,1024]",False
8,1.5,4,1.4,7,2,-7.58,14080,"[-14.23,-2.59]","[8619,19285]",-8.26,-1621,"[-10.93,-5.61]","[-3925,939]",False
8,1.5,4,1.4,7,4,-7.16,14165,"[-14.15,-2.26]","[8960,18688]",-7.84,-1536,"[-10.49,-5.24]","[-4267,1621]",False
8,1.5,4,1.4,7,8,-6.92,14336,"[-13.13,-2.31]","[8960,20224]",-7.60,-1365,"[-10.50,-4.86]","[-3669,2048]",False
