K,skew,B,load,capfam,policy,W,p99_mean,p99_std,recomp_mean,recomp_std,hit_mean
8,1.5,4,0.7,5,bounded,1,3.412,1.340,121173,16359,0.8521
8,1.5,4,0.7,5,bounded,2,3.137,1.194,119637,15107,0.8540
8,1.5,4,0.7,5,bounded,4,2.788,0.864,117419,13810,0.8567
8,1.5,4,0.7,5,bounded,8,2.729,0.811,116053,12989,0.8583
8,1.5,4,0.7,5,bounded,16,2.699,0.705,114347,13670,0.8604
8,1.5,4,0.7,5,bounded,32,2.694,0.719,114603,13591,0.8601
8,1.5,4,0.7,5,greedy,0,2.694,0.719,114603,13591,0.8601
8,1.5,4,0.7,5,vtc,0,7.642,3.734,124843,15614,0.8476
8,1.5,4,0.7,6,bounded,1,2.097,0.977,74581,9604,0.9090
8,1.5,4,0.7,6,bounded,2,2.026,1.012,74155,9347,0.9095
8,1.5,4,0.7,6,bounded,4,1.961,0.914,72789,9310,0.9111
8,1.5,4,0.7,6,bounded,8,1.925,0.952,72363,9248,0.9117
8,1.5,4,0.7,6,bounded,16,1.889,0.847,72277,9014,0.9118
8,1.5,4,0.7,6,bounded,32,1.894,0.886,72107,8907,0.9120
8,1.5,4,0.7,6,greedy,0,1.894,0.886,72107,8907,0.9120
8,1.5,4,0.7,6,vtc,0,4.050,2.091,75947,10032,0.9073
8,1.5,4,0.7,7,bounded,1,1.617,1.058,39851,5320,0.9514
8,1.5,4,0.7,7,bounded,2,1.612,1.080,39680,5380,0.9516
8,1.5,4,0.7,7,bounded,4,1.586,1.093,39680,5380,0.9516
8,1.5,4,0.7,7,bounded,8,1.602,1.114,39680,5315,0.9516
8,1.5,4,0.7,7,bounded,16,1.536,0.993,39595,5244,0.9517
8,1.5,4,0.7,7,bounded,32,1.540,1.027,39509,5304,0.9518
8,1.5,4,0.7,7,greedy,0,1.540,1.027,39509,5304,0.9518
8,1.5,4,0.7,7,vtc,0,2.446,1.728,39595,5440,0.9517
8,1.5,4,1.0,5,bounded,1,9.919,4.116,117931,12554,0.8560
8,1.5,4,1.0,5,bounded,2,8.633,2.831,112896,9011,0.8622
8,1.5,4,1.0,5,bounded,4,7.394,2.413,107008,11330,0.8694
8,1.5,4,1.0,5,bounded,8,6.535,1.805,102485,9468,0.8749
8,1.5,4,1.0,5,bounded,16,5.329,1.099,93440,10082,0.8859
8,1.5,4,1.0,5,bounded,32,5.491,1.356,90027,10401,0.8901
8,1.5,4,1.0,5,greedy,0,5.527,1.404,88917,10491,0.8915
8,1.5,4,1.0,5,vtc,0,27.723,13.879,121941,13338,0.8511
8,1.5,4,1.0,6,bounded,1,4.615,1.815,76544,9960,0.9066
8,1.5,4,1.0,6,bounded,2,4.451,1.574,75349,9660,0.9080
8,1.5,4,1.0,6,bounded,4,4.221,1.468,72363,8960,0.9117
8,1.5,4,1.0,6,bounded,8,4.008,1.208,70315,8622,0.9142
8,1.5,4,1.0,6,bounded,16,4.060,1.191,65707,8504,0.9198
8,1.5,4,1.0,6,bounded,32,4.123,1.324,64853,7470,0.9208
8,1.5,4,1.0,6,greedy,0,4.156,1.477,64171,7836,0.9217
8,1.5,4,1.0,6,vtc,0,10.809,4.682,78933,12443,0.9036
8,1.5,4,1.0,7,bounded,1,3.037,1.195,39851,5187,0.9514
8,1.5,4,1.0,7,bounded,2,3.045,1.235,39595,5074,0.9517
8,1.5,4,1.0,7,bounded,4,3.128,1.315,39595,4899,0.9517
8,1.5,4,1.0,7,bounded,8,3.180,1.365,38912,4617,0.9525
8,1.5,4,1.0,7,bounded,16,3.381,1.463,37973,4221,0.9536
8,1.5,4,1.0,7,bounded,32,3.312,1.529,37547,4167,0.9542
8,1.5,4,1.0,7,greedy,0,3.430,1.763,37461,4159,0.9543
8,1.5,4,1.0,7,vtc,0,5.676,2.245,40448,5329,0.9506
8,1.5,4,1.4,5,bounded,1,32.261,5.748,116053,12881,0.8583
8,1.5,4,1.4,5,bounded,2,29.451,5.633,108544,12457,0.8675
8,1.5,4,1.4,5,bounded,4,25.315,4.132,97109,8807,0.8815
8,1.5,4,1.4,5,bounded,8,21.238,4.573,84480,8971,0.8969
8,1.5,4,1.4,5,bounded,16,17.590,3.058,71851,5575,0.9123
8,1.5,4,1.4,5,bounded,32,14.583,2.854,58283,4344,0.9289
8,1.5,4,1.4,5,greedy,0,17.576,5.650,39851,9120,0.9514
8,1.5,4,1.4,5,vtc,0,63.361,10.022,125867,24347,0.8464
8,1.5,4,1.4,6,bounded,1,17.211,4.355,73984,8451,0.9097
8,1.5,4,1.4,6,bounded,2,16.797,4.912,72533,10722,0.9115
8,1.5,4,1.4,6,bounded,4,15.421,4.107,67755,7382,0.9173
