K,skew,B,load,capfam,lam,cap_blocks,policy,W,p99_mean,p99_std,recomp_mean,recomp_std,hit_mean,p99_seeds,recomp_seeds
8,1.5,4,0.7,5,2.8,640,greedy,0,2.6943514187479725,0.7194068181956464,114602.66666666667,13591.057975333963,0.8601041666666667,2.3083;2.1099;3.0729;3.2097;2.8421;2.2772;1.9025;3.7921;2.1606;3.2823;2.7029;2.9401;1.7945;3.2408;2.4244;2.4802;2.3363;2.9897;2.7305;1.6374;3.2495;2.2703;1.9392;4.9711,94208;129024;133120;137216;116736;118784;106496;102400;102400;114688;106496;135168;100352;96256;137216;116736;106496;96256;118784;102400;126976;110592;110592;131072
8,1.5,4,0.7,5,2.8,640,vtc,0,7.6417595120767325,3.734229159158737,124842.66666666667,15613.668314083729,0.8476041666666667,7.4478;4.5546;7.6590;8.7656;4.8673;5.6274;7.2251;15.4043;6.3142;4.4025;11.7372;3.4934;6.0026;6.8760;7.6502;3.5749;5.2270;12.9929;8.0165;2.6049;7.3680;11.5117;6.0441;18.0350,106496;139264;147456;145408;126976;118784;126976;116736;112640;116736;122880;131072;108544;100352;167936;116736;114688;120832;135168;102400;139264;122880;116736;139264
8,1.5,4,0.7,5,2.8,640,bounded,1,3.412021549122078,1.3400105294196685,121173.33333333333,16359.092178017974,0.8520833333333333,3.3494;2.6010;3.4864;4.5324;2.5480;1.9014;2.0423;3.5948;3.8451;2.6210;5.1979;2.3882;4.5620;3.2728;2.7987;1.9550;2.0618;4.1293;4.9236;1.4693;3.9310;7.2127;2.3132;5.1511,108544;139264;147456;149504;120832;114688;110592;98304;108544;116736;116736;135168;104448;100352;157696;116736;112640;106496;129024;102400;135168;131072;110592;135168
8,1.5,4,0.7,5,2.8,640,bounded,2,3.1365514503102347,1.1936996726675546,119637.33333333333,15106.65136804168,0.8539583333333334,3.2928;2.0939;3.1544;3.0455;2.7714;2.1041;1.8738;3.4853;2.3088;2.6820;4.5387;2.2321;3.4935;3.4207;2.1243;1.9490;2.0564;4.2528;4.8789;1.2157;4.6595;5.8370;2.5036;5.3029,102400;137216;145408;143360;118784;114688;110592;102400;106496;118784;118784;135168;106496;100352;145408;116736;106496;104448;129024;100352;139264;126976;108544;133120
8,1.5,4,0.7,5,2.8,640,bounded,4,2.7883026099088877,0.8639678398379906,117418.66666666667,13810.297735948909,0.8566666666666667,3.1205;2.0126;3.0397;2.7944;1.9718;2.1635;1.8117;3.7401;2.1259;2.9648;2.4464;2.4888;2.2761;3.2091;2.2280;2.3841;2.1112;3.3699;3.3333;1.6374;3.0585;4.5304;2.6510;5.4499,100352;129024;139264;139264;120832;118784;106496;100352;106496;118784;108544;135168;106496;100352;143360;114688;108544;102400;118784;100352;133120;122880;110592;133120
8,1.5,4,0.7,5,2.8,640,bounded,8,2.728940924886764,0.8109783650618057,116053.33333333333,12988.619155074013,0.8583333333333333,3.1202;2.1099;2.9383;3.1844;2.0559;2.2772;1.8724;4.2506;2.2356;3.0220;2.8551;2.9401;1.7233;2.9609;2.1904;2.4802;2.5658;3.0518;3.0053;1.6374;3.3097;2.1677;2.1478;5.3926,98304;129024;133120;139264;120832;118784;106496;104448;106496;120832;104448;135168;100352;100352;137216;114688;110592;100352;118784;102400;133120;110592;112640;126976
8,1.5,4,0.7,5,2.8,640,bounded,16,2.698653740299538,0.7050898399508533,114346.66666666667,13670.38934664587,0.8604166666666666,2.3083;2.1099;3.0729;3.2097;2.8421;2.2772;1.9025;4.1421;2.1606;3.2823;2.7029;2.9401;1.7945;3.2408;2.4244;2.4802;2.3363;2.9897;2.8135;1.6374;3.2495;2.2703;1.9392;4.6413,94208;129024;133120;137216;116736;118784;106496;98304;102400;114688;106496;135168;100352;96256;137216;116736;106496;96256;118784;102400;126976;110592;110592;129024
8,1.5,4,0.7,5,2.8,640,bounded,32,2.6943514187479725,0.7194068181956464,114602.66666666667,13591.057975333963,0.8601041666666667,2.3083;2.1099;3.0729;3.2097;2.8421;2.2772;1.9025;3.7921;2.1606;3.2823;2.7029;2.9401;1.7945;3.2408;2.4244;2.4802;2.3363;2.9897;2.7305;1.6374;3.2495;2.2703;1.9392;4.9711,94208;129024;133120;137216;116736;118784;106496;102400;102400;114688;106496;135168;100352;96256;137216;116736;106496;96256;118784;102400;126976;110592;110592;131072
8,1.5,4,0.7,6,2.8,768,greedy,0,1.8944446700299342,0.8861044879936282,72106.66666666667,8907.01795714418,0.9119791666666667,1.2535;1.2012;1.2954;2.6534;1.1744;1.1464;1.1980;2.6177;2.1606;2.0573;1.8609;2.8915;0.8751;1.1749;1.5936;1.3700;2.0562;2.9643;2.5363;1.2998;1.6312;2.1887;1.2952;4.9711,55296;77824;86016;88064;65536;69632;67584;69632;71680;73728;65536;83968;57344;57344;86016;69632;69632;61440;79872;71680;77824;73728;75776;75776
8,1.5,4,0.7,6,2.8,768,vtc,0,4.050241405690072,2.0910408132827447,75946.66666666667,10031.658331945366,0.9072916666666667,4.4734;1.2773;3.2581;5.6591;2.0221;2.8333;1.7643;6.0479;6.0601;2.5050;5.6660;3.1281;1.9194;2.7901;2.6961;3.5126;3.4375;7.0863;4.9727;2.1550;4.8462;8.8482;1.8900;8.3570,61440;77824;88064;100352;67584;71680;69632;77824;75776;73728;67584;92160;63488;59392;88064;71680;69632;65536;81920;73728;86016;75776;77824;86016
8,1.5,4,0.7,6,2.8,768,bounded,1,2.097024139155586,0.9771983727382945,74581.33333333333,9604.455262475269,0.9089583333333333,2.3474;1.1708;1.2969;2.9966;1.0005;1.5899;1.0769;3.0700;1.7487;2.4275;2.5571;2.3882;0.7796;1.5156;1.3714;1.9358;1.8334;2.9467;3.0082;1.1785;2.2175;3.7793;1.1971;4.8948,61440;77824;86016;96256;67584;71680;65536;73728;73728;73728;67584;90112;59392;59392;88064;69632;67584;65536;79872;73728;81920;79872;75776;83968
8,1.5,4,0.7,6,2.8,768,bounded,2,2.025966481909287,1.0116837503915568,74154.66666666667,9347.40881504364,0.9094791666666666,1.7459;1.1708;1.3122;2.6754;0.8970;1.6457;1.1980;2.7778;1.9489;2.3486;2.4952;2.2321;0.8348;1.4022;1.1247;1.7008;1.6406;3.1648;3.0833;1.1696;1.8322;3.8218;1.2337;5.1672,59392;77824;86016;94208;67584;71680;67584;71680;73728;73728;67584;90112;59392;59392;86016;69632;67584;65536;81920;71680;77824;79872;75776;83968
8,1.5,4,0.7,6,2.8,768,bounded,4,1.9610670214973724,0.9139684856677216,72789.33333333333,9309.94097128918,0.9111458333333333,1.5795;1.2012;1.2578;2.5474;1.1744;1.8797;1.1980;2.7171;2.0559;2.0573;2.1997;2.3463;0.8751;1.3764;1.3439;1.3700;1.8283;2.8339;3.3333;1.2998;1.7801;2.2510;1.3383;5.2212,57344;77824;86016;92160;65536;69632;67584;69632;73728;73728;65536;83968;57344;59392;88064;69632;67584;61440;79872;71680;77824;73728;75776;81920
8,1.5,4,0.7,6,2.8,768,bounded,8,1.925108821531518,0.9516846366860777,72362.66666666667,9247.55093104235,0.9116666666666666,1.4139;1.2012;1.2954;2.5634;1.1744;1.1464;1.1980;2.5182;2.1606;2.0573;2.1666;2.8915;0.8751;1.1749;1.5936;1.3700;2.1112;2.8493;3.0053;1.2998;1.7003;1.7484;1.2952;5.3926,57344;77824;86016;90112;65536;69632;67584;69632;71680;73728;65536;83968;57344;57344;86016;69632;67584;59392;79872;71680;77824;73728;75776;81920
8,1.5,4,0.7,6,2.8,768,bounded,16,1.8894657114863813,0.8474862386755545,72277.33333333333,9014.286340150407,0.9117708333333333,1.2535;1.2012;1.2954;2.6534;1.1744;1.1464;1.1980;2.6177;2.1606;2.0573;1.8609;2.8915;0.8751;1.1749;1.5936;1.3700;2.0562;2.9643;2.7466;1.2998;1.6312;2.1887;1.2952;4.6413,55296;77824;86016;88064;65536;69632;67584;69632;71680;73728;65536;83968;57344;57344;86016;69632;69632;61440;79872;71680;77824;73728;75776;79872
8,1.5,4,0.7,6,2.8,768,bounded,32,1.8944446700299342,0.8861044879936282,72106.66666666667,8907.01795714418,0.9119791666666667,1.2535;1.2012;1.2954;2.6534;1.1744;1.1464;1.1980;2.6177;2.1606;2.0573;1.8609;2.8915;0.8751;1.1749;1.5936;1.3700;2.0562;2.9643;2.5363;1.2998;1.6312;2.1887;1.2952;4.9711,55296;77824;86016;88064;65536;69632;67584;69632;71680;73728;65536;83968;57344;57344;86016;69632;69632;61440;79872;71680;77824;73728;75776;75776
8,1.5,4,0.7,7,2.8,896,greedy,0,1.5403108634558766,1.0268614204235533,39509.333333333336,5303.725818286194,0.9517708333333333,0.9610;1.1708;0.5569;1.3146;0.7898;0.5330;0.6826;2.5091;1.5441;2.0573;1.8110;2.8915;0.6295;1.1143;1.3231;1.3700;1.7630;2.9643;2.5114;0.6318;1.6052;0.7679;0.4944;4.9711,38912;43008;43008;49152;36864;38912;32768;36864;45056;49152;43008;43008;36864;40960;49152;32768;28672;36864;38912;40960;38912;32768;36864;34816
8,1.5,4,0.7,7,2.8,896,vtc,0,2.4457880851218903,1.7284774789538138,39594.666666666664,5439.958169773816,0.9516666666666667,1.1235;0.9044;1.8264;1.7839;1.1859;0.5330;1.0980;5.4990;2.4972;2.5050;5.4201;2.4496;0.4136;1.0660;2.6234;3.5126;2.4310;4.7822;4.4724;0.9818;3.7977;0.9759;0.5126;6.3035,36864;43008;45056;51200;36864;38912;32768;38912;45056;49152;43008;43008;36864;40960;47104;32768;28672;36864;40960;40960;36864;32768;36864;34816
8,1.5,4,0.7,7,2.8,896,bounded,1,1.6173741679362519,1.0584976431395587,39850.666666666664,5320.175769861577,0.9513541666666666,1.0036;1.0510;1.1123;1.2190;0.8127;0.5330;0.6910;3.0700;1.4219;2.4275;2.5571;2.1109;0.6295;0.8441;0.8960;1.9358;1.8334;2.8247;3.0082;0.7910;1.9086;0.7503;0.4905;4.8948,38912;43008;45056;49152;36864;38912;32768;38912;45056;49152;43008;43008;36864;40960;49152;32768;28672;38912;40960;40960;38912;32768;36864;34816
8,1.5,4,0.7,7,2.8,896,bounded,2,1.6118534063600272,1.0803750890982187,39680,5380.06195751189,0.9515625,0.8924;1.0510;1.0518;1.2731;0.8127;0.5330;0.6910;2.7778;1.4938;2.3486;2.4952;2.1110;0.6295;1.1143;0.9593;1.7008;1.6406;3.0104;3.0833;0.7800;1.8322;0.7413;0.4944;5.1672,38912;43008;45056;49152;36864;38912;32768;36864;45056;49152;43008;43008;36864;40960;49152;32768;28672;36864;40960;40960;38912;32768;36864;34816
