slope,E,depth_gap,f,reason_global_flop,agentic_global_flop,agentic_struct_flop,agentic_global_savings_pp,reason_global_savings_pp,agentic_minus_reason_savings_pp,struct_extra_savings_pp
6.0,0.01,0.2,0.1,0.9933,0.9875,0.9838,1.25,0.67,0.58,0.37
6.0,0.01,0.2,0.2,0.9933,0.9817,0.9769,1.83,0.67,1.16,0.48
6.0,0.01,0.2,0.3,0.9933,0.9759,0.9699,2.41,0.67,1.74,0.6
6.0,0.01,0.2,0.4,0.9933,0.9701,0.963,2.99,0.67,2.32,0.71
6.0,0.01,0.2,0.5,0.9933,0.9643,0.956,3.57,0.67,2.9,0.83
6.0,0.02,0.2,0.1,0.9853,0.9731,0.9662,2.69,1.47,1.23,0.69
6.0,0.02,0.2,0.2,0.9853,0.9574,0.9503,4.26,1.47,2.79,0.72
6.0,0.02,0.2,0.3,0.9853,0.9392,0.9351,6.08,1.47,4.61,0.41
6.0,0.02,0.2,0.4,0.9853,0.9253,0.9174,7.47,1.47,6.0,0.79
6.0,0.02,0.2,0.5,0.9853,0.9107,0.9005,8.93,1.47,7.46,1.02
6.0,0.05,0.2,0.1,0.8294,0.8095,0.8051,19.05,17.06,1.99,0.44
6.0,0.05,0.2,0.2,0.8294,0.7895,0.7852,21.05,17.06,3.99,0.43
6.0,0.05,0.2,0.3,0.8294,0.7696,0.7663,23.04,17.06,5.98,0.33
6.0,0.05,0.2,0.4,0.8294,0.7496,0.7454,25.04,17.06,7.98,0.42
6.0,0.05,0.2,0.5,0.8294,0.7297,0.7299,27.03,17.06,9.97,-0.02
6.0,0.01,0.35,0.1,1.0,0.9935,0.9921,0.65,0.0,0.65,0.14
6.0,0.01,0.35,0.2,1.0,0.9871,0.9842,1.29,0.0,1.29,0.28
6.0,0.01,0.35,0.3,1.0,0.9806,0.9763,1.94,0.0,1.94,0.42
6.0,0.01,0.35,0.4,1.0,0.9741,0.9685,2.59,0.0,2.59,0.56
6.0,0.01,0.35,0.5,1.0,0.9677,0.9606,3.23,0.0,3.23,0.7
6.0,0.02,0.35,0.1,1.0,0.9935,0.9921,0.65,0.0,0.65,0.14
6.0,0.02,0.35,0.2,1.0,0.9871,0.9842,1.29,0.0,1.29,0.28
6.0,0.02,0.35,0.3,1.0,0.9806,0.9763,1.94,0.0,1.94,0.42
6.0,0.02,0.35,0.4,1.0,0.9741,0.9685,2.59,0.0,2.59,0.56
6.0,0.02,0.35,0.5,1.0,0.9677,0.9606,3.23,0.0,3.23,0.7
6.0,0.05,0.35,0.1,0.9706,0.9375,0.9355,6.25,2.94,3.31,0.2
6.0,0.05,0.35,0.2,0.9706,0.9045,0.9006,9.55,2.94,6.61,0.39
6.0,0.05,0.35,0.3,0.9706,0.8714,0.8662,12.86,2.94,9.92,0.51
6.0,0.05,0.35,0.4,0.9706,0.837,0.8319,16.3,2.94,13.36,0.5
6.0,0.05,0.35,0.5,0.9706,0.7992,0.7976,20.08,2.94,17.14,0.16
6.0,0.01,0.5,0.1,1.0,0.9935,0.9921,0.65,0.0,0.65,0.14
6.0,0.01,0.5,0.2,1.0,0.9871,0.9843,1.29,0.0,1.29,0.28
6.0,0.01,0.5,0.3,1.0,0.9806,0.9764,1.94,0.0,1.94,0.42
6.0,0.01,0.5,0.4,1.0,0.9741,0.9685,2.59,0.0,2.59,0.56
6.0,0.01,0.5,0.5,1.0,0.9677,0.9606,3.23,0.0,3.23,0.7
6.0,0.02,0.5,0.1,1.0,0.9935,0.9921,0.65,0.0,0.65,0.14
6.0,0.02,0.5,0.2,1.0,0.9871,0.9843,1.29,0.0,1.29,0.28
6.0,0.02,0.5,0.3,1.0,0.9806,0.9764,1.94,0.0,1.94,0.42
6.0,0.02,0.5,0.4,1.0,0.9741,0.9685,2.59,0.0,2.59,0.56
6.0,0.02,0.5,0.5,1.0,0.9677,0.9606,3.23,0.0,3.23,0.7
6.0,0.05,0.5,0.1,1.0,0.9935,0.9921,0.65,0.0,0.65,0.14
6.0,0.05,0.5,0.2,1.0,0.9871,0.9843,1.29,0.0,1.29,0.28
6.0,0.05,0.5,0.3,1.0,0.9806,0.9764,1.94,0.0,1.94,0.42
6.0,0.05,0.5,0.4,1.0,0.9741,0.9685,2.59,0.0,2.59,0.56
6.0,0.05,0.5,0.5,1.0,0.9677,0.9606,3.23,0.0,3.23,0.7
10.0,0.01,0.2,0.1,0.8915,0.875,0.8731,12.5,10.85,1.65,0.18
10.0,0.01,0.2,0.2,0.8915,0.8617,0.858,13.83,10.85,2.99,0.36
10.0,0.01,0.2,0.3,0.8915,0.8483,0.8507,15.17,10.85,4.32,-0.24
10.0,0.01,0.2,0.4,0.8915,0.835,0.8332,16.5,10.85,5.66,0.18
10.0,0.01,0.2,0.5,0.8915,0.8216,0.8156,17.84,10.85,6.99,0.6
10.0,0.02,0.2,0.1,0.804,0.7859,0.7812,21.41,19.6,1.81,0.47
10.0,0.02,0.2,0.2,0.804,0.7678,0.7604,23.22,19.6,3.63,0.73
10.0,0.02,0.2,0.3,0.804,0.7496,0.7447,25.04,19.6,5.44,0.5
10.0,0.02,0.2,0.4,0.804,0.7349,0.723,26.51,19.6,6.91,1.19
10.0,0.02,0.2,0.5,0.804,0.7169,0.7144,28.31,19.6,8.72,0.25
10.0,0.05,0.2,0.1,0.6773,0.6585,0.6549,34.15,32.27,1.89,0.36
10.0,0.05,0.2,0.2,0.6773,0.6385,0.6351,36.15,32.27,3.88,0.33
10.0,0.05,0.2,0.3,0.6773,0.6185,0.6149,38.15,32.27,5.88,0.36
10.0,0.05,0.2,0.4,0.6773,0.5985,0.595,40.15,32.27,7.88,0.36
10.0,0.05,0.2,0.5,0.6773,0.5785,0.5785,42.15,32.27,9.88,0.0
10.0,0.01,0.35,0.1,0.9823,0.9651,0.958,3.49,1.77,1.72,0.71
10.0,0.01,0.35,0.2,0.9823,0.9478,0.9384,5.22,1.77,3.44,0.94
10.0,0.01,0.35,0.3,0.9823,0.9306,0.9189,6.94,1.77,5.17,1.17
10.0,0.01,0.35,0.4,0.9823,0.9134,0.8994,8.66,1.77,6.89,1.4
10.0,0.01,0.35,0.5,0.9823,0.8867,0.8799,11.33,1.77,9.56,0.68
10.0,0.02,0.35,0.1,0.936,0.9054,0.8999,9.46,6.4,3.05,0.56
10.0,0.02,0.35,0.2,0.936,0.8749,0.8669,12.51,6.4,6.11,0.8
10.0,0.02,0.35,0.3,0.936,0.8443,0.8344,15.57,6.4,9.16,0.99
10.0,0.02,0.35,0.4,0.936,0.8138,0.8021,18.62,6.4,12.22,1.17
10.0,0.02,0.35,0.5,0.936,0.7832,0.768,21.68,6.4,15.27,1.52
10.0,0.05,0.35,0.1,0.8263,0.7923,0.7905,20.77,17.37,3.4,0.18
10.0,0.05,0.35,0.2,0.8263,0.7572,0.7553,24.28,17.37,6.91,0.19
10.0,0.05,0.35,0.3,0.8263,0.7221,0.7204,27.79,17.37,10.42,0.18
10.0,0.05,0.35,0.4,0.8263,0.6881,0.685,31.19,17.37,13.82,0.31
10.0,0.05,0.35,0.5,0.8263,0.653,0.6531,34.7,17.37,17.33,-0.0
10.0,0.01,0.5,0.1,1.0,0.981,0.9782,1.9,0.0,1.9,0.28
10.0,0.01,0.5,0.2,1.0,0.962,0.9564,3.8,0.0,3.8,0.56
10.0,0.01,0.5,0.3,1.0,0.943,0.9346,5.7,0.0,5.7,0.84
10.0,0.01,0.5,0.4,1.0,0.924,0.9129,7.6,0.0,7.6,1.12
10.0,0.01,0.5,0.5,1.0,0.905,0.8911,9.5,0.0,9.49,1.4
10.0,0.02,0.5,0.1,1.0,0.981,0.9782,1.9,0.0,1.9,0.28
10.0,0.02,0.5,0.2,1.0,0.962,0.9564,3.8,0.0,3.8,0.56
10.0,0.02,0.5,0.3,1.0,0.943,0.9346,5.7,0.0,5.7,0.84
10.0,0.02,0.5,0.4,1.0,0.924,0.9129,7.6,0.0,7.6,1.12
10.0,0.02,0.5,0.5,1.0,0.905,0.8911,9.5,0.0,9.49,1.4
10.0,0.05,0.5,0.1,0.9731,0.9237,0.9226,7.63,2.69,4.95,0.1
10.0,0.05,0.5,0.2,0.9731,0.8742,0.8741,12.58,2.69,9.89,0.01
10.0,0.05,0.5,0.3,0.9731,0.8248,0.8238,17.52,2.69,14.84,0.1
10.0,0.05,0.5,0.4,0.9731,0.7753,0.7745,22.47,2.69,19.78,0.09
10.0,0.05,0.5,0.5,0.9731,0.7259,0.7241,27.41,2.69,24.73,0.18
