slope,f,depth_gap,d_value,E,global_flop,global_flop_sd,struct_flop,struct_flop_sd,global_err,struct_err,delta_flop,delta_pp,global_savings_pp,struct_savings_pp
6.0,0.1,0.2,0.45,0.01,0.9875,0.0006,0.9838,0.0006,0.0178,0.0182,0.0037,0.37,1.25,1.62
6.0,0.1,0.2,0.45,0.02,0.9731,0.002,0.9662,0.0004,0.0195,0.0199,0.0069,0.69,2.69,3.38
6.0,0.1,0.2,0.45,0.05,0.8095,0.0006,0.8051,0.0007,0.0485,0.0497,0.0044,0.44,19.05,19.49
6.0,0.2,0.2,0.45,0.01,0.9817,0.0007,0.9769,0.0007,0.0169,0.0173,0.0048,0.48,1.83,2.31
6.0,0.2,0.2,0.45,0.02,0.9574,0.0008,0.9503,0.0024,0.0195,0.0198,0.0072,0.72,4.26,4.97
6.0,0.2,0.2,0.45,0.05,0.7895,0.0005,0.7852,0.0015,0.0485,0.0497,0.0043,0.43,21.05,21.48
6.0,0.3,0.2,0.45,0.01,0.9759,0.0008,0.9699,0.0009,0.016,0.0165,0.006,0.6,2.41,3.01
6.0,0.3,0.2,0.45,0.02,0.9392,0.0034,0.9351,0.0017,0.0197,0.0198,0.0041,0.41,6.08,6.49
6.0,0.3,0.2,0.45,0.05,0.7696,0.0004,0.7663,0.0003,0.0485,0.0494,0.0033,0.33,23.04,23.37
6.0,0.4,0.2,0.45,0.01,0.9701,0.0009,0.963,0.001,0.0151,0.0157,0.0071,0.71,2.99,3.7
6.0,0.4,0.2,0.45,0.02,0.9253,0.0009,0.9174,0.0012,0.0194,0.0198,0.0079,0.79,7.47,8.26
6.0,0.4,0.2,0.45,0.05,0.7496,0.0003,0.7454,0.0014,0.0485,0.0497,0.0042,0.42,25.04,25.46
6.0,0.5,0.2,0.45,0.01,0.9643,0.0011,0.956,0.0012,0.0142,0.0148,0.0083,0.83,3.57,4.4
6.0,0.5,0.2,0.45,0.02,0.9107,0.0044,0.9005,0.0009,0.0191,0.0198,0.0102,1.02,8.93,9.95
6.0,0.5,0.2,0.45,0.05,0.7297,0.0003,0.7299,0.0002,0.0485,0.0485,-0.0002,-0.02,27.03,27.01
6.0,0.1,0.35,0.6,0.01,0.9935,0.0002,0.9921,0.0002,0.0384,0.0385,0.0014,0.14,0.65,0.79
6.0,0.1,0.35,0.6,0.02,0.9935,0.0002,0.9921,0.0002,0.0384,0.0385,0.0014,0.14,0.65,0.79
6.0,0.1,0.35,0.6,0.05,0.9375,0.0005,0.9355,0.0004,0.0493,0.0498,0.002,0.2,6.25,6.45
6.0,0.2,0.35,0.6,0.01,0.9871,0.0004,0.9842,0.0004,0.0352,0.0354,0.0028,0.28,1.29,1.58
6.0,0.2,0.35,0.6,0.02,0.9871,0.0004,0.9842,0.0004,0.0352,0.0354,0.0028,0.28,1.29,1.58
6.0,0.2,0.35,0.6,0.05,0.9045,0.0004,0.9006,0.0004,0.0489,0.0499,0.0039,0.39,9.55,9.94
6.0,0.3,0.35,0.6,0.01,0.9806,0.0005,0.9763,0.0006,0.032,0.0323,0.0042,0.42,1.94,2.37
6.0,0.3,0.35,0.6,0.02,0.9806,0.0005,0.9763,0.0006,0.032,0.0323,0.0042,0.42,1.94,2.37
6.0,0.3,0.35,0.6,0.05,0.8714,0.0003,0.8662,0.0003,0.0486,0.0498,0.0051,0.51,12.86,13.38
6.0,0.4,0.35,0.6,0.01,0.9741,0.0007,0.9685,0.0008,0.0288,0.0292,0.0056,0.56,2.59,3.15
6.0,0.4,0.35,0.6,0.02,0.9741,0.0007,0.9685,0.0008,0.0288,0.0292,0.0056,0.56,2.59,3.15
6.0,0.4,0.35,0.6,0.05,0.837,0.0025,0.8319,0.0005,0.0486,0.0497,0.005,0.5,16.3,16.81
6.0,0.5,0.35,0.6,0.01,0.9677,0.0009,0.9606,0.001,0.0256,0.0261,0.007,0.7,3.23,3.94
6.0,0.5,0.35,0.6,0.02,0.9677,0.0009,0.9606,0.001,0.0256,0.0261,0.007,0.7,3.23,3.94
6.0,0.5,0.35,0.6,0.05,0.7992,0.0028,0.7976,0.0003,0.0495,0.0496,0.0016,0.16,20.08,20.24
6.0,0.1,0.5,0.75,0.01,0.9935,0.0002,0.9921,0.0002,0.0831,0.0832,0.0014,0.14,0.65,0.79
6.0,0.1,0.5,0.75,0.02,0.9935,0.0002,0.9921,0.0002,0.0831,0.0832,0.0014,0.14,0.65,0.79
6.0,0.1,0.5,0.75,0.05,0.9935,0.0002,0.9921,0.0002,0.0831,0.0832,0.0014,0.14,0.65,0.79
6.0,0.2,0.5,0.75,0.01,0.9871,0.0004,0.9843,0.0004,0.0749,0.0751,0.0028,0.28,1.29,1.57
6.0,0.2,0.5,0.75,0.02,0.9871,0.0004,0.9843,0.0004,0.0749,0.0751,0.0028,0.28,1.29,1.57
6.0,0.2,0.5,0.75,0.05,0.9871,0.0004,0.9843,0.0004,0.0749,0.0751,0.0028,0.28,1.29,1.57
6.0,0.3,0.5,0.75,0.01,0.9806,0.0005,0.9764,0.0006,0.0667,0.0671,0.0042,0.42,1.94,2.36
6.0,0.3,0.5,0.75,0.02,0.9806,0.0005,0.9764,0.0006,0.0667,0.0671,0.0042,0.42,1.94,2.36
6.0,0.3,0.5,0.75,0.05,0.9806,0.0005,0.9764,0.0006,0.0667,0.0671,0.0042,0.42,1.94,2.36
6.0,0.4,0.5,0.75,0.01,0.9741,0.0007,0.9685,0.0008,0.0586,0.059,0.0056,0.56,2.59,3.15
6.0,0.4,0.5,0.75,0.02,0.9741,0.0007,0.9685,0.0008,0.0586,0.059,0.0056,0.56,2.59,3.15
6.0,0.4,0.5,0.75,0.05,0.9741,0.0007,0.9685,0.0008,0.0586,0.059,0.0056,0.56,2.59,3.15
6.0,0.5,0.5,0.75,0.01,0.9677,0.0009,0.9606,0.001,0.0504,0.0509,0.007,0.7,3.23,3.94
6.0,0.5,0.5,0.75,0.02,0.9677,0.0009,0.9606,0.001,0.0504,0.0509,0.007,0.7,3.23,3.94
6.0,0.5,0.5,0.75,0.05,0.9677,0.0009,0.9606,0.001,0.0504,0.0509,0.007,0.7,3.23,3.94
10.0,0.1,0.2,0.45,0.01,0.875,0.0022,0.8731,0.0016,0.0097,0.0098,0.0018,0.18,12.5,12.69
10.0,0.1,0.2,0.45,0.02,0.7859,0.0064,0.7812,0.0009,0.0189,0.0197,0.0047,0.47,21.41,21.88
10.0,0.1,0.2,0.45,0.05,0.6585,0.0007,0.6549,0.0001,0.0482,0.0499,0.0036,0.36,34.15,34.51
10.0,0.2,0.2,0.45,0.01,0.8617,0.0016,0.858,0.0015,0.0097,0.0096,0.0036,0.36,13.83,14.2
10.0,0.2,0.2,0.45,0.02,0.7678,0.0069,0.7604,0.001,0.0189,0.0197,0.0073,0.73,23.22,23.96
10.0,0.2,0.2,0.45,0.05,0.6385,0.0006,0.6351,0.0005,0.0482,0.0497,0.0033,0.33,36.15,36.49
10.0,0.3,0.2,0.45,0.01,0.8483,0.001,0.8507,0.0008,0.0096,0.0092,-0.0024,-0.24,15.17,14.93
10.0,0.3,0.2,0.45,0.02,0.7496,0.0073,0.7447,0.0007,0.0189,0.0193,0.005,0.5,25.04,25.53
10.0,0.3,0.2,0.45,0.05,0.6185,0.0004,0.6149,0.0003,0.0482,0.0498,0.0036,0.36,38.15,38.51
10.0,0.4,0.2,0.45,0.01,0.835,0.0005,0.8332,0.0005,0.0096,0.0094,0.0018,0.18,16.5,16.68
10.0,0.4,0.2,0.45,0.02,0.7349,0.0063,0.723,0.0007,0.0185,0.0197,0.0119,1.19,26.51,27.7
10.0,0.4,0.2,0.45,0.05,0.5985,0.0003,0.595,0.001,0.0482,0.0497,0.0036,0.36,40.15,40.5
10.0,0.5,0.2,0.45,0.01,0.8216,0.0005,0.8156,0.0008,0.0095,0.0096,0.006,0.6,17.84,18.44
10.0,0.5,0.2,0.45,0.02,0.7169,0.0067,0.7144,0.0043,0.0184,0.0186,0.0025,0.25,28.31,28.56
10.0,0.5,0.2,0.45,0.05,0.5785,0.0003,0.5785,0.0003,0.0482,0.0482,0.0,0.0,42.15,42.15
10.0,0.1,0.35,0.6,0.01,0.9651,0.0004,0.958,0.0006,0.011,0.0117,0.0071,0.71,3.49,4.2
10.0,0.1,0.35,0.6,0.02,0.9054,0.0006,0.8999,0.001,0.0191,0.0198,0.0056,0.56,9.46,10.01
10.0,0.1,0.35,0.6,0.05,0.7923,0.0024,0.7905,0.0002,0.0487,0.0497,0.0018,0.18,20.77,20.95
10.0,0.2,0.35,0.6,0.01,0.9478,0.0005,0.9384,0.0008,0.0105,0.0113,0.0094,0.94,5.22,6.16
10.0,0.2,0.35,0.6,0.02,0.8749,0.0007,0.8669,0.0007,0.019,0.0198,0.008,0.8,12.51,13.31
10.0,0.2,0.35,0.6,0.05,0.7572,0.0024,0.7553,0.0003,0.0487,0.0496,0.0019,0.19,24.28,24.47
10.0,0.3,0.35,0.6,0.01,0.9306,0.0006,0.9189,0.001,0.01,0.0109,0.0117,1.17,6.94,8.11
10.0,0.3,0.35,0.6,0.02,0.8443,0.0009,0.8344,0.0011,0.0189,0.0196,0.0099,0.99,15.57,16.56
10.0,0.3,0.35,0.6,0.05,0.7221,0.0024,0.7204,0.0002,0.0487,0.0497,0.0018,0.18,27.79,27.96
10.0,0.4,0.35,0.6,0.01,0.9134,0.0008,0.8994,0.0013,0.0095,0.0104,0.014,1.4,8.66,10.06
10.0,0.4,0.35,0.6,0.02,0.8138,0.0011,0.8021,0.0006,0.0187,0.0195,0.0117,1.17,18.62,19.79
10.0,0.4,0.35,0.6,0.05,0.6881,0.002,0.685,0.0002,0.0484,0.0497,0.0031,0.31,31.19,31.5
