sigma,seed,auc,crit_auc,frac,budget,total_tok,policy,kept_tok,m1_avail,m2_task
0.05,0,0.4018,1.0,0.2,949,4746,RT,946,0.2375,0.0
0.05,0,0.4018,1.0,0.2,949,4746,H2O,942,0.3375,0.0
0.05,0,0.4018,1.0,0.2,949,4746,CAUSAL,942,0.358333,1.0
0.05,0,0.4018,1.0,0.2,949,4746,ORACLE,947,0.370833,1.0
0.05,0,0.4018,1.0,0.3,1423,4746,RT,1420,0.320833,0.0
0.05,0,0.4018,1.0,0.3,1423,4746,H2O,1419,0.479167,0.0
0.05,0,0.4018,1.0,0.3,1423,4746,CAUSAL,1422,0.4625,1.0
0.05,0,0.4018,1.0,0.3,1423,4746,ORACLE,1414,0.7125,1.0
0.05,0,0.4018,1.0,0.4,1898,4746,RT,1894,0.504167,0.0
0.05,0,0.4018,1.0,0.4,1898,4746,H2O,1886,0.516667,0.0
0.05,0,0.4018,1.0,0.4,1898,4746,CAUSAL,1891,0.4625,1.0
0.05,0,0.4018,1.0,0.4,1898,4746,ORACLE,1894,0.8,1.0
0.05,0,0.4018,1.0,0.5,2373,4746,RT,2368,0.6,0.0
0.05,0,0.4018,1.0,0.5,2373,4746,H2O,2373,0.6375,0.0
0.05,0,0.4018,1.0,0.5,2373,4746,CAUSAL,2367,0.65,1.0
0.05,0,0.4018,1.0,0.5,2373,4746,ORACLE,2365,0.858333,1.0
0.05,0,0.4018,1.0,0.6,2847,4746,RT,2847,0.75,0.0
0.05,0,0.4018,1.0,0.6,2847,4746,H2O,2837,0.716667,0.0
0.05,0,0.4018,1.0,0.6,2847,4746,CAUSAL,2837,0.829167,1.0
0.05,0,0.4018,1.0,0.6,2847,4746,ORACLE,2832,0.925,1.0
0.05,1,0.7069,0.906,0.2,973,4869,RT,972,0.1375,0.0
0.05,1,0.7069,0.906,0.2,973,4869,H2O,971,0.254167,0.0
0.05,1,0.7069,0.906,0.2,973,4869,CAUSAL,968,0.225,0.0
0.05,1,0.7069,0.906,0.2,973,4869,ORACLE,968,0.345833,0.0
0.05,1,0.7069,0.906,0.3,1460,4869,RT,1453,0.2875,0.0
0.05,1,0.7069,0.906,0.3,1460,4869,H2O,1460,0.416667,0.0
0.05,1,0.7069,0.906,0.3,1460,4869,CAUSAL,1458,0.404167,0.0
0.05,1,0.7069,0.906,0.3,1460,4869,ORACLE,1455,0.683333,1.0
0.05,1,0.7069,0.906,0.4,1947,4869,RT,1943,0.3625,0.0
