metric,tag,value
cold_then_hot_frac_all,easy,0.0
cold_then_hot_frac_crit,easy,0.0
crit_cold_early_frac,easy,0.0
crit_hot_later_frac,easy,1.0
auc_overall_H2O,easy,0.9992
auc_overall_lex,easy,0.8571
auc_crit_id_H2O,easy,1.0
pass1_CAUSAL_bf0.3,easy,1.0
pass1_H2O_bf0.3,easy,1.0
pass1_SnapKV_bf0.3,easy,0.625
pass1_RT_bf0.3,easy,0.0
pass1_CAUSAL_bf0.5,easy,1.0
pass1_H2O_bf0.5,easy,1.0
pass1_SnapKV_bf0.5,easy,1.0
pass1_RT_bf0.5,easy,0.0
pass1_CAUSAL_bf0.7,easy,1.0
pass1_H2O_bf0.7,easy,1.0
pass1_SnapKV_bf0.7,easy,1.0
pass1_RT_bf0.7,easy,0.0
cold_then_hot_frac_all,hard,0.0
cold_then_hot_frac_crit,hard,0.0
crit_cold_early_frac,hard,0.0
crit_hot_later_frac,hard,1.0
auc_overall_H2O,hard,0.8188
auc_overall_lex,hard,0.6471
auc_crit_id_H2O,hard,0.9998
pass1_CAUSAL_bf0.3,hard,0.025
pass1_H2O_bf0.3,hard,0.025
pass1_SnapKV_bf0.3,hard,0.0
pass1_RT_bf0.3,hard,0.0
pass1_CAUSAL_bf0.5,hard,1.0
pass1_H2O_bf0.5,hard,1.0
pass1_SnapKV_bf0.5,hard,1.0
pass1_RT_bf0.5,hard,0.0
pass1_CAUSAL_bf0.7,hard,1.0
pass1_H2O_bf0.7,hard,1.0
pass1_SnapKV_bf0.7,hard,1.0
pass1_RT_bf0.7,hard,0.0
