mix,detector_fn_rate,f_wrong_mean,f_wrong_sd
pessimistic_seq_heavy,0.0,0.0,0.0
pessimistic_seq_heavy,0.01,0.0204,0.004
pessimistic_seq_heavy,0.05,0.1029,0.0043
pessimistic_seq_heavy,0.1,0.2036,0.0071
pessimistic_seq_heavy,0.2,0.3723,0.0079
balanced_realistic,0.0,0.0,0.0
balanced_realistic,0.01,0.0237,0.0046
balanced_realistic,0.05,0.117,0.0025
balanced_realistic,0.1,0.227,0.0082
balanced_realistic,0.2,0.4091,0.0104
optimistic_fanout,0.0,0.0,0.0
optimistic_fanout,0.01,0.0256,0.0049
optimistic_fanout,0.05,0.1234,0.0021
optimistic_fanout,0.1,0.2417,0.004
optimistic_fanout,0.2,0.426,0.0095
