p_abandon,timing,obs_abandon_rate_mean,wasted_frac_mean,wasted_frac_std,wasted_frac_min,wasted_frac_max
0.1,early,0.105,0.0273,0.0065,0.0184,0.04
0.1,mid,0.1006,0.0533,0.0061,0.0456,0.0656
0.1,late,0.0969,0.0766,0.0107,0.0597,0.0895
0.1,mixed,0.0928,0.0486,0.0106,0.0347,0.0633
0.2,early,0.2069,0.0567,0.0077,0.0459,0.074
0.2,mid,0.2013,0.1135,0.0114,0.1016,0.1334
0.2,late,0.2066,0.1658,0.0193,0.132,0.1952
0.2,mixed,0.2034,0.1077,0.0186,0.0835,0.1344
0.35,early,0.3484,0.1071,0.0126,0.0794,0.1265
0.35,mid,0.3431,0.2109,0.0217,0.1883,0.2451
0.35,late,0.3488,0.287,0.0303,0.2454,0.3387
0.35,mixed,0.3472,0.2161,0.026,0.1866,0.2582
0.5,early,0.4937,0.1826,0.0274,0.1481,0.245
0.5,mid,0.495,0.3173,0.0136,0.291,0.3328
0.5,late,0.5019,0.4297,0.0355,0.3819,0.4847
0.5,mixed,0.5044,0.3381,0.0168,0.3132,0.3658
