noise_sigma,p_abandon,test_auc,flag_precision,flag_recall,median_lead_tokens,frac_positive_lead,n_flagged_abandoned
0.05,0.1,0.6019,0.1821,0.3481,25,0.782,55
0.05,0.2,0.6224,0.3516,0.3653,23.5,0.738,122
0.05,0.35,0.6317,0.5625,0.2808,16.5,0.685,162
0.05,0.5,0.6511,0.6988,0.2964,14,0.671,225
0.2,0.1,0.5651,0.1505,0.2658,14.0,0.69,42
0.2,0.2,0.5911,0.3282,0.3174,13.0,0.623,106
0.2,0.35,0.594,0.5364,0.2808,16.0,0.685,162
0.2,0.5,0.5969,0.5977,0.274,9.5,0.615,208
0.6,0.1,0.5257,0.1187,0.2089,6,0.545,33
0.6,0.2,0.5651,0.3022,0.2904,4,0.546,97
0.6,0.35,0.5728,0.4903,0.2634,7.5,0.572,152
0.6,0.5,0.5722,0.5745,0.2793,4.0,0.528,212
