mode,tau,skip_rate,tokens_saved_frac,acc_check,acc_random_matched,acc_oracle,oracle_skip_rate,delta_check_minus_random,delta_ci_lo,delta_ci_hi
jaccard,0.0,1.0,1.0,0.5406,0.5406,1.0,0.5406,0.0,0.0,0.0
jaccard,0.05,0.989,0.989,0.5517,0.546,1.0,0.5406,0.0056,0.0033,0.0079
jaccard,0.1,0.7808,0.7808,0.7413,0.6421,1.0,0.5406,0.0992,0.0958,0.1021
jaccard,0.15,0.5204,0.5204,0.9504,0.7606,1.0,0.5406,0.1898,0.1848,0.1948
jaccard,0.2,0.4394,0.4394,0.9954,0.8038,1.0,0.5406,0.1917,0.1873,0.1969
jaccard,0.25,0.4204,0.4204,0.9992,0.8067,1.0,0.5406,0.1925,0.1852,0.2004
jaccard,0.3,0.3931,0.3931,1.0,0.8158,1.0,0.5406,0.1842,0.1781,0.1904
jaccard,0.35,0.3319,0.3319,1.0,0.8479,1.0,0.5406,0.1521,0.1469,0.1575
jaccard,0.4,0.1958,0.1958,1.0,0.9125,1.0,0.5406,0.0875,0.0804,0.0946
jaccard,0.45,0.0806,0.0806,1.0,0.9648,1.0,0.5406,0.0352,0.0315,0.0383
jaccard,0.5,0.0452,0.0452,1.0,0.9806,1.0,0.5406,0.0194,0.0177,0.021
jaccard,0.55,0.0104,0.0104,1.0,0.9954,1.0,0.5406,0.0046,0.0025,0.0071
jaccard,0.6,0.0031,0.0031,1.0,0.9979,1.0,0.5406,0.0021,0.0013,0.0031
jaccard,0.65,0.0006,0.0006,1.0,1.0,1.0,0.5406,0.0,0.0,0.0
jaccard,0.7,0.0002,0.0002,1.0,1.0,1.0,0.5406,0.0,0.0,0.0
jaccard,0.75,0.0,0.0,1.0,1.0,1.0,0.5406,0.0,0.0,0.0
jaccard,0.8,0.0,0.0,1.0,1.0,1.0,0.5406,0.0,0.0,0.0
jaccard,0.85,0.0,0.0,1.0,1.0,1.0,0.5406,0.0,0.0,0.0
jaccard,0.9,0.0,0.0,1.0,1.0,1.0,0.5406,0.0,0.0,0.0
jaccard,0.95,0.0,0.0,1.0,1.0,1.0,0.5406,0.0,0.0,0.0
jaccard,1.0,0.0,0.0,1.0,1.0,1.0,0.5406,0.0,0.0,0.0
hashed,0.0,1.0,1.0,0.5406,0.5406,1.0,0.5406,0.0,0.0,0.0
hashed,0.05,0.9965,0.9965,0.544,0.5425,1.0,0.5406,0.0015,0.0006,0.0025
hashed,0.1,0.9875,0.9875,0.5517,0.5471,1.0,0.5406,0.0046,0.0038,0.0054
hashed,0.15,0.9692,0.9692,0.5665,0.5558,1.0,0.5406,0.0106,0.0062,0.0165
hashed,0.2,0.9248,0.9248,0.604,0.5725,1.0,0.5406,0.0315,0.0242,0.0385
hashed,0.25,0.8419,0.8419,0.67,0.6071,1.0,0.5406,0.0629,0.0585,0.0675
hashed,0.3,0.715,0.715,0.7631,0.6673,1.0,0.5406,0.0958,0.0892,0.1033
hashed,0.35,0.5902,0.5902,0.8469,0.7315,1.0,0.5406,0.1154,0.1073,0.1231
hashed,0.4,0.4677,0.4677,0.911,0.7865,1.0,0.5406,0.1246,0.1177,0.1308
hashed,0.45,0.3681,0.3681,0.9552,0.829,1.0,0.5406,0.1262,0.1169,0.1356
hashed,0.5,0.2656,0.2656,0.9837,0.8821,1.0,0.5406,0.1017,0.0919,0.1108
hashed,0.55,0.1869,0.1869,0.994,0.91,1.0,0.5406,0.084,0.0787,0.0875
hashed,0.6,0.11,0.11,0.9983,0.949,1.0,0.5406,0.0494,0.0423,0.055
hashed,0.65,0.0525,0.0525,0.9998,0.979,1.0,0.5406,0.0208,0.0171,0.0242
hashed,0.7,0.0256,0.0256,1.0,0.9881,1.0,0.5406,0.0119,0.0094,0.0152
hashed,0.75,0.0065,0.0065,1.0,0.9969,1.0,0.5406,0.0031,0.0019,0.0044
hashed,0.8,0.0013,0.0013,1.0,0.9992,1.0,0.5406,0.0008,0.0002,0.0017
hashed,0.85,0.0,0.0,1.0,1.0,1.0,0.5406,0.0,0.0,0.0
hashed,0.9,0.0,0.0,1.0,1.0,1.0,0.5406,0.0,0.0,0.0
hashed,0.95,0.0,0.0,1.0,1.0,1.0,0.5406,0.0,0.0,0.0
hashed,1.0,0.0,0.0,1.0,1.0,1.0,0.5406,0.0,0.0,0.0
