n_blocks,prefix_tokens,prefix_MiB,pcie_bw_GBs,concurrency,per_sess_BW_GBs,fetch_time_s,gap_median_s,hide_prob,median_gap_ge_fetch
32,512,28.0,8.0,1,8.0,0.0037,0.2,1.0,1
32,512,28.0,8.0,1,8.0,0.0037,0.5,1.0,1
32,512,28.0,8.0,1,8.0,0.0037,1.0,1.0,1
32,512,28.0,8.0,1,8.0,0.0037,2.0,1.0,1
32,512,28.0,8.0,1,8.0,0.0037,5.0,1.0,1
32,512,28.0,8.0,1,8.0,0.0037,10.0,1.0,1
32,512,28.0,8.0,1,8.0,0.0037,30.0,1.0,1
32,512,28.0,8.0,2,4.0,0.0073,0.2,0.9995,1
32,512,28.0,8.0,2,4.0,0.0073,0.5,1.0,1
32,512,28.0,8.0,2,4.0,0.0073,1.0,1.0,1
32,512,28.0,8.0,2,4.0,0.0073,2.0,1.0,1
32,512,28.0,8.0,2,4.0,0.0073,5.0,1.0,1
32,512,28.0,8.0,2,4.0,0.0073,10.0,1.0,1
32,512,28.0,8.0,2,4.0,0.0073,30.0,1.0,1
32,512,28.0,8.0,4,2.0,0.0147,0.2,1.0,1
32,512,28.0,8.0,4,2.0,0.0147,0.5,1.0,1
32,512,28.0,8.0,4,2.0,0.0147,1.0,1.0,1
32,512,28.0,8.0,4,2.0,0.0147,2.0,1.0,1
32,512,28.0,8.0,4,2.0,0.0147,5.0,1.0,1
32,512,28.0,8.0,4,2.0,0.0147,10.0,1.0,1
32,512,28.0,8.0,4,2.0,0.0147,30.0,1.0,1
32,512,28.0,8.0,8,1.0,0.0294,0.2,0.991,1
32,512,28.0,8.0,8,1.0,0.0294,0.5,1.0,1
32,512,28.0,8.0,8,1.0,0.0294,1.0,1.0,1
32,512,28.0,8.0,8,1.0,0.0294,2.0,1.0,1
32,512,28.0,8.0,8,1.0,0.0294,5.0,1.0,1
32,512,28.0,8.0,8,1.0,0.0294,10.0,1.0,1
32,512,28.0,8.0,8,1.0,0.0294,30.0,1.0,1
32,512,28.0,8.0,16,0.5,0.0587,0.2,0.9415,1
32,512,28.0,8.0,16,0.5,0.0587,0.5,0.998,1
32,512,28.0,8.0,16,0.5,0.0587,1.0,0.9995,1
32,512,28.0,8.0,16,0.5,0.0587,2.0,1.0,1
32,512,28.0,8.0,16,0.5,0.0587,5.0,1.0,1
32,512,28.0,8.0,16,0.5,0.0587,10.0,1.0,1
32,512,28.0,8.0,16,0.5,0.0587,30.0,1.0,1
32,512,28.0,8.0,32,0.25,0.1174,0.2,0.748,1
32,512,28.0,8.0,32,0.25,0.1174,0.5,0.9685,1
32,512,28.0,8.0,32,0.25,0.1174,1.0,0.995,1
32,512,28.0,8.0,32,0.25,0.1174,2.0,1.0,1
32,512,28.0,8.0,32,0.25,0.1174,5.0,1.0,1
32,512,28.0,8.0,32,0.25,0.1174,10.0,1.0,1
32,512,28.0,8.0,32,0.25,0.1174,30.0,1.0,1
32,512,28.0,16.0,1,16.0,0.0018,0.2,1.0,1
32,512,28.0,16.0,1,16.0,0.0018,0.5,1.0,1
32,512,28.0,16.0,1,16.0,0.0018,1.0,1.0,1
32,512,28.0,16.0,1,16.0,0.0018,2.0,1.0,1
32,512,28.0,16.0,1,16.0,0.0018,5.0,1.0,1
32,512,28.0,16.0,1,16.0,0.0018,10.0,1.0,1
