n_blocks,prefix_tokens,prefix_MiB,pcie_bw_GBs,concurrency,p_rr,prefill_tps,gap_median_s,ttft_evict_recompute_s,fetch_contended_s,fetch_eff_s,ttft_prefetch_mean_s,ttft_prefetch_p90_s,prefetch_wins,win_margin_s,wasted_MiB_per_cycle,bw_bound
32,512,28.0,8.0,1,0.5,30000,0.2,0.01707,0.00367,0.00734,0.0,0.0,1,0.01707,14.0,0
32,512,28.0,8.0,1,0.5,60000,0.2,0.00853,0.00367,0.00734,0.0,0.0,1,0.00853,14.0,0
32,512,28.0,8.0,1,0.5,120000,0.2,0.00427,0.00367,0.00734,0.0,0.0,1,0.00427,14.0,0
32,512,28.0,8.0,1,0.5,30000,0.5,0.01707,0.00367,0.00734,0.0,0.0,1,0.01707,14.0,0
32,512,28.0,8.0,1,0.5,60000,0.5,0.00853,0.00367,0.00734,0.0,0.0,1,0.00853,14.0,0
32,512,28.0,8.0,1,0.5,120000,0.5,0.00427,0.00367,0.00734,0.0,0.0,1,0.00427,14.0,0
32,512,28.0,8.0,1,0.5,30000,1.0,0.01707,0.00367,0.00734,0.0,0.0,1,0.01707,14.0,0
32,512,28.0,8.0,1,0.5,60000,1.0,0.00853,0.00367,0.00734,0.0,0.0,1,0.00853,14.0,0
32,512,28.0,8.0,1,0.5,120000,1.0,0.00427,0.00367,0.00734,0.0,0.0,1,0.00427,14.0,0
32,512,28.0,8.0,1,0.5,30000,2.0,0.01707,0.00367,0.00734,0.0,0.0,1,0.01707,14.0,0
32,512,28.0,8.0,1,0.5,60000,2.0,0.00853,0.00367,0.00734,0.0,0.0,1,0.00853,14.0,0
32,512,28.0,8.0,1,0.5,120000,2.0,0.00427,0.00367,0.00734,0.0,0.0,1,0.00427,14.0,0
32,512,28.0,8.0,1,0.5,30000,5.0,0.01707,0.00367,0.00734,0.0,0.0,1,0.01707,14.0,0
32,512,28.0,8.0,1,0.5,60000,5.0,0.00853,0.00367,0.00734,0.0,0.0,1,0.00853,14.0,0
32,512,28.0,8.0,1,0.5,120000,5.0,0.00427,0.00367,0.00734,0.0,0.0,1,0.00427,14.0,0
32,512,28.0,8.0,1,0.5,30000,10.0,0.01707,0.00367,0.00734,0.0,0.0,1,0.01707,14.0,0
32,512,28.0,8.0,1,0.5,60000,10.0,0.00853,0.00367,0.00734,0.0,0.0,1,0.00853,14.0,0
32,512,28.0,8.0,1,0.5,120000,10.0,0.00427,0.00367,0.00734,0.0,0.0,1,0.00427,14.0,0
32,512,28.0,8.0,1,0.5,30000,30.0,0.01707,0.00367,0.00734,0.0,0.0,1,0.01707,14.0,0
32,512,28.0,8.0,1,0.5,60000,30.0,0.00853,0.00367,0.00734,0.0,0.0,1,0.00853,14.0,0
32,512,28.0,8.0,1,0.5,120000,30.0,0.00427,0.00367,0.00734,0.0,0.0,1,0.00427,14.0,0
32,512,28.0,8.0,1,0.7,30000,0.2,0.01707,0.00367,0.00524,0.0,0.0,1,0.01707,8.4,0
32,512,28.0,8.0,1,0.7,60000,0.2,0.00853,0.00367,0.00524,0.0,0.0,1,0.00853,8.4,0
32,512,28.0,8.0,1,0.7,120000,0.2,0.00427,0.00367,0.00524,0.0,0.0,1,0.00427,8.4,0
32,512,28.0,8.0,1,0.7,30000,0.5,0.01707,0.00367,0.00524,0.0,0.0,1,0.01707,8.4,0
32,512,28.0,8.0,1,0.7,60000,0.5,0.00853,0.00367,0.00524,0.0,0.0,1,0.00853,8.4,0
32,512,28.0,8.0,1,0.7,120000,0.5,0.00427,0.00367,0.00524,0.0,0.0,1,0.00427,8.4,0
32,512,28.0,8.0,1,0.7,30000,1.0,0.01707,0.00367,0.00524,0.0,0.0,1,0.01707,8.4,0
32,512,28.0,8.0,1,0.7,60000,1.0,0.00853,0.00367,0.00524,0.0,0.0,1,0.00853,8.4,0
32,512,28.0,8.0,1,0.7,120000,1.0,0.00427,0.00367,0.00524,0.0,0.0,1,0.00427,8.4,0
32,512,28.0,8.0,1,0.7,30000,2.0,0.01707,0.00367,0.00524,0.0,0.0,1,0.01707,8.4,0
32,512,28.0,8.0,1,0.7,60000,2.0,0.00853,0.00367,0.00524,0.0,0.0,1,0.00853,8.4,0
32,512,28.0,8.0,1,0.7,120000,2.0,0.00427,0.00367,0.00524,0.0,0.0,1,0.00427,8.4,0
32,512,28.0,8.0,1,0.7,30000,5.0,0.01707,0.00367,0.00524,0.0,0.0,1,0.01707,8.4,0
32,512,28.0,8.0,1,0.7,60000,5.0,0.00853,0.00367,0.00524,0.0,0.0,1,0.00853,8.4,0
32,512,28.0,8.0,1,0.7,120000,5.0,0.00427,0.00367,0.00524,0.0,0.0,1,0.00427,8.4,0
32,512,28.0,8.0,1,0.7,30000,10.0,0.01707,0.00367,0.00524,0.0,0.0,1,0.01707,8.4,0
32,512,28.0,8.0,1,0.7,60000,10.0,0.00853,0.00367,0.00524,0.0,0.0,1,0.00853,8.4,0
32,512,28.0,8.0,1,0.7,120000,10.0,0.00427,0.00367,0.00524,0.0,0.0,1,0.00427,8.4,0
32,512,28.0,8.0,1,0.7,30000,30.0,0.01707,0.00367,0.00524,0.0,0.0,1,0.01707,8.4,0
32,512,28.0,8.0,1,0.7,60000,30.0,0.00853,0.00367,0.00524,0.0,0.0,1,0.00853,8.4,0
32,512,28.0,8.0,1,0.7,120000,30.0,0.00427,0.00367,0.00524,0.0,0.0,1,0.00427,8.4,0
32,512,28.0,8.0,1,0.9,30000,0.2,0.01707,0.00367,0.00408,0.0,0.0,1,0.01707,2.8,0
32,512,28.0,8.0,1,0.9,60000,0.2,0.00853,0.00367,0.00408,0.0,0.0,1,0.00853,2.8,0
32,512,28.0,8.0,1,0.9,120000,0.2,0.00427,0.00367,0.00408,0.0,0.0,1,0.00427,2.8,0
32,512,28.0,8.0,1,0.9,30000,0.5,0.01707,0.00367,0.00408,0.0,0.0,1,0.01707,2.8,0
32,512,28.0,8.0,1,0.9,60000,0.5,0.00853,0.00367,0.00408,0.0,0.0,1,0.00853,2.8,0
32,512,28.0,8.0,1,0.9,120000,0.5,0.00427,0.00367,0.00408,0.0,0.0,1,0.00427,2.8,0
32,512,28.0,8.0,1,0.9,30000,1.0,0.01707,0.00367,0.00408,0.0,0.0,1,0.01707,2.8,0
32,512,28.0,8.0,1,0.9,60000,1.0,0.00853,0.00367,0.00408,0.0,0.0,1,0.00853,2.8,0
32,512,28.0,8.0,1,0.9,120000,1.0,0.00427,0.00367,0.00408,0.0,0.0,1,0.00427,2.8,0
32,512,28.0,8.0,1,0.9,30000,2.0,0.01707,0.00367,0.00408,0.0,0.0,1,0.01707,2.8,0
