regime,sigma,auc_mean,auc_min,auc_max
request_dependent,0.05,0.9938023809523809,0.9930404761904762,0.9944107142857143
request_dependent,0.15,0.9549488095238094,0.9509357142857143,0.9623702380952381
request_dependent,0.3,0.885877142857143,0.8741428571428571,0.9011357142857143
request_dependent,0.6,0.810102619047619,0.7928833333333334,0.8341642857142857
request_dependent,1.0,0.7693238095238095,0.7545892857142857,0.7943690476190476
uniform,0.05,0.5269690476190476,0.5181035714285714,0.5317119047619048
uniform,0.15,0.5284473809523809,0.5195404761904762,0.5330916666666666
uniform,0.3,0.5272502380952381,0.5185916666666667,0.5344285714285715
uniform,0.6,0.5238221428571428,0.5155964285714286,0.5335190476190477
uniform,1.0,0.5213838095238096,0.5120035714285714,0.5310416666666666
