mix,a_prose,gap,a_tool,a_mixed,drift,sess_spread,r,k_star_fixed,k_map,ntps_fixed,ntps_adapt_ideal,ntps_adapt,ntps_adapt_std,ntps_k1,fixed_captured_frac,ideal_gain_pct,gain_pct,p_err,s
realistic_deep,0.55,-0.3,0.25,0.4,0.3,0.3,0.05,2,4;2;2,1.3609,1.3795,1.3795,0.0,1.2905,0.7907,1.37,1.37,0.0,0.0
realistic_deep,0.55,-0.3,0.25,0.4,0.3,0.3,0.05,2,4;2;2,1.3609,1.3795,1.352,0.0,1.2905,0.7907,1.37,-0.658,0.0,0.02
realistic_deep,0.55,-0.3,0.25,0.4,0.3,0.3,0.05,2,4;2;2,1.3609,1.3795,1.3106,0.0,1.2905,0.7907,1.37,-3.699,0.0,0.05
realistic_deep,0.55,-0.3,0.25,0.4,0.3,0.3,0.05,2,4;2;2,1.3609,1.3795,1.3795,0.0,1.2905,0.7907,1.37,1.37,0.05,0.0
realistic_deep,0.55,-0.3,0.25,0.4,0.3,0.3,0.05,2,4;2;2,1.3609,1.3795,1.352,0.0,1.2905,0.7907,1.37,-0.658,0.05,0.02
realistic_deep,0.55,-0.3,0.25,0.4,0.3,0.3,0.05,2,4;2;2,1.3609,1.3795,1.3106,0.0,1.2905,0.7907,1.37,-3.699,0.05,0.05
realistic_deep,0.55,-0.3,0.25,0.4,0.3,0.3,0.05,2,4;2;2,1.3609,1.3795,1.3795,0.0,1.2905,0.7907,1.37,1.37,0.15,0.0
realistic_deep,0.55,-0.3,0.25,0.4,0.3,0.3,0.05,2,4;2;2,1.3609,1.3795,1.332,0.0143,1.2905,0.7907,1.37,-2.122,0.15,0.02
realistic_deep,0.55,-0.3,0.25,0.4,0.3,0.3,0.05,2,4;2;2,1.3609,1.3795,1.307,0.0071,1.2905,0.7907,1.37,-3.959,0.15,0.05
realistic_deep,0.55,-0.3,0.25,0.4,0.3,0.3,0.1,2,3;1;2,1.2475,1.2732,1.2732,0.0,1.2318,0.3785,2.064,2.064,0.0,0.0
realistic_deep,0.55,-0.3,0.25,0.4,0.3,0.3,0.1,2,3;1;2,1.2475,1.2732,1.2478,0.0,1.2318,0.3785,2.064,0.022,0.0,0.02
realistic_deep,0.55,-0.3,0.25,0.4,0.3,0.3,0.1,2,3;1;2,1.2475,1.2732,1.2096,0.0,1.2318,0.3785,2.064,-3.039,0.0,0.05
realistic_deep,0.55,-0.3,0.25,0.4,0.3,0.3,0.1,2,3;1;2,1.2475,1.2732,1.2728,0.0009,1.2318,0.3785,2.064,2.027,0.05,0.0
realistic_deep,0.55,-0.3,0.25,0.4,0.3,0.3,0.1,2,3;1;2,1.2475,1.2732,1.2478,0.0,1.2318,0.3785,2.064,0.022,0.05,0.02
realistic_deep,0.55,-0.3,0.25,0.4,0.3,0.3,0.1,2,3;1;2,1.2475,1.2732,1.2096,0.0,1.2318,0.3785,2.064,-3.039,0.05,0.05
realistic_deep,0.55,-0.3,0.25,0.4,0.3,0.3,0.1,2,3;1;2,1.2475,1.2732,1.264,0.0088,1.2318,0.3785,2.064,1.325,0.15,0.0
realistic_deep,0.55,-0.3,0.25,0.4,0.3,0.3,0.1,2,3;1;2,1.2475,1.2732,1.2351,0.0165,1.2318,0.3785,2.064,-0.997,0.15,0.02
realistic_deep,0.55,-0.3,0.25,0.4,0.3,0.3,0.1,2,3;1;2,1.2475,1.2732,1.1942,0.0253,1.2318,0.3785,2.064,-4.273,0.15,0.05
realistic_deep,0.55,-0.3,0.25,0.4,0.3,0.3,0.2,1,2;1;1,1.1292,1.1371,1.1371,0.0,1.1292,0.0,0.698,0.698,0.0,0.0
realistic_deep,0.55,-0.3,0.25,0.4,0.3,0.3,0.2,1,2;1;1,1.1292,1.1371,1.1143,0.0,1.1292,0.0,0.698,-1.315,0.0,0.02
realistic_deep,0.55,-0.3,0.25,0.4,0.3,0.3,0.2,1,2;1;1,1.1292,1.1371,1.0802,0.0,1.1292,0.0,0.698,-4.336,0.0,0.05
realistic_deep,0.55,-0.3,0.25,0.4,0.3,0.3,0.2,1,2;1;1,1.1292,1.1371,1.1371,0.0,1.1292,0.0,0.698,0.698,0.05,0.0
realistic_deep,0.55,-0.3,0.25,0.4,0.3,0.3,0.2,1,2;1;1,1.1292,1.1371,1.1123,0.0041,1.1292,0.0,0.698,-1.497,0.05,0.02
realistic_deep,0.55,-0.3,0.25,0.4,0.3,0.3,0.2,1,2;1;1,1.1292,1.1371,1.0802,0.0,1.1292,0.0,0.698,-4.336,0.05,0.05
realistic_deep,0.55,-0.3,0.25,0.4,0.3,0.3,0.2,1,2;1;1,1.1292,1.1371,1.1371,0.0,1.1292,0.0,0.698,0.698,0.15,0.0
realistic_deep,0.55,-0.3,0.25,0.4,0.3,0.3,0.2,1,2;1;1,1.1292,1.1371,1.0919,0.0275,1.1292,0.0,0.698,-3.304,0.15,0.02
realistic_deep,0.55,-0.3,0.25,0.4,0.3,0.3,0.2,1,2;1;1,1.1292,1.1371,1.0747,0.0071,1.1292,0.0,0.698,-4.822,0.15,0.05
realistic_deep,0.55,-0.3,0.25,0.4,0.3,0.3,0.4,1,1;1;1,0.9679,0.9679,0.9679,0.0,0.9679,1.0,0.0,0.0,0.0,0.0
realistic_deep,0.55,-0.3,0.25,0.4,0.3,0.3,0.4,1,1;1;1,0.9679,0.9679,0.9485,0.0,0.9679,1.0,0.0,-2.0,0.0,0.02
realistic_deep,0.55,-0.3,0.25,0.4,0.3,0.3,0.4,1,1;1;1,0.9679,0.9679,0.9195,0.0,0.9679,1.0,0.0,-5.0,0.0,0.05
realistic_deep,0.55,-0.3,0.25,0.4,0.3,0.3,0.4,1,1;1;1,0.9679,0.9679,0.9679,0.0,0.9679,1.0,0.0,0.0,0.05,0.0
realistic_deep,0.55,-0.3,0.25,0.4,0.3,0.3,0.4,1,1;1;1,0.9679,0.9679,0.9485,0.0,0.9679,1.0,0.0,-2.0,0.05,0.02
realistic_deep,0.55,-0.3,0.25,0.4,0.3,0.3,0.4,1,1;1;1,0.9679,0.9679,0.9195,0.0,0.9679,1.0,0.0,-5.0,0.05,0.05
realistic_deep,0.55,-0.3,0.25,0.4,0.3,0.3,0.4,1,1;1;1,0.9679,0.9679,0.9679,0.0,0.9679,1.0,0.0,0.0,0.15,0.0
realistic_deep,0.55,-0.3,0.25,0.4,0.3,0.3,0.4,1,1;1;1,0.9679,0.9679,0.9485,0.0,0.9679,1.0,0.0,-2.0,0.15,0.02
realistic_deep,0.55,-0.3,0.25,0.4,0.3,0.3,0.4,1,1;1;1,0.9679,0.9679,0.9195,0.0,0.9679,1.0,0.0,-5.0,0.15,0.05
realistic_deep,0.55,-0.2,0.35,0.45,0.2,0.2,0.05,3,4;2;3,1.4669,1.4792,1.4792,0.0,1.3524,0.9031,0.837,0.837,0.0,0.0
realistic_deep,0.55,-0.2,0.35,0.45,0.2,0.2,0.05,3,4;2;3,1.4669,1.4792,1.4496,0.0,1.3524,0.9031,0.837,-1.179,0.0,0.02
realistic_deep,0.55,-0.2,0.35,0.45,0.2,0.2,0.05,3,4;2;3,1.4669,1.4792,1.4052,0.0,1.3524,0.9031,0.837,-4.205,0.0,0.05
realistic_deep,0.55,-0.2,0.35,0.45,0.2,0.2,0.05,3,4;2;3,1.4669,1.4792,1.4792,0.0,1.3524,0.9031,0.837,0.837,0.05,0.0
realistic_deep,0.55,-0.2,0.35,0.45,0.2,0.2,0.05,3,4;2;3,1.4669,1.4792,1.449,0.0011,1.3524,0.9031,0.837,-1.217,0.05,0.02
realistic_deep,0.55,-0.2,0.35,0.45,0.2,0.2,0.05,3,4;2;3,1.4669,1.4792,1.4017,0.0071,1.3524,0.9031,0.837,-4.446,0.05,0.05
realistic_deep,0.55,-0.2,0.35,0.45,0.2,0.2,0.05,3,4;2;3,1.4669,1.4792,1.4681,0.0142,1.3524,0.9031,0.837,0.087,0.15,0.0
realistic_deep,0.55,-0.2,0.35,0.45,0.2,0.2,0.05,3,4;2;3,1.4669,1.4792,1.4435,0.0077,1.3524,0.9031,0.837,-1.591,0.15,0.02
realistic_deep,0.55,-0.2,0.35,0.45,0.2,0.2,0.05,3,4;2;3,1.4669,1.4792,1.4015,0.007,1.3524,0.9031,0.837,-4.456,0.15,0.05
realistic_deep,0.55,-0.2,0.35,0.45,0.2,0.2,0.1,2,3;1;2,1.3363,1.3387,1.3387,0.0,1.2909,0.9495,0.18,0.18,0.0,0.0
realistic_deep,0.55,-0.2,0.35,0.45,0.2,0.2,0.1,2,3;1;2,1.3363,1.3387,1.3119,0.0,1.2909,0.9495,0.18,-1.823,0.0,0.02
realistic_deep,0.55,-0.2,0.35,0.45,0.2,0.2,0.1,2,3;1;2,1.3363,1.3387,1.2717,0.0,1.2909,0.9495,0.18,-4.829,0.0,0.05
realistic_deep,0.55,-0.2,0.35,0.45,0.2,0.2,0.1,2,3;1;2,1.3363,1.3387,1.3372,0.0029,1.2909,0.9495,0.18,0.073,0.05,0.0
realistic_deep,0.55,-0.2,0.35,0.45,0.2,0.2,0.1,2,3;1;2,1.3363,1.3387,1.2986,0.0163,1.2909,0.9495,0.18,-2.817,0.05,0.02
realistic_deep,0.55,-0.2,0.35,0.45,0.2,0.2,0.1,2,3;1;2,1.3363,1.3387,1.2653,0.0129,1.2909,0.9495,0.18,-5.312,0.05,0.05
realistic_deep,0.55,-0.2,0.35,0.45,0.2,0.2,0.1,2,3;1;2,1.3363,1.3387,1.3175,0.0173,1.2909,0.9495,0.18,-1.403,0.15,0.0
realistic_deep,0.55,-0.2,0.35,0.45,0.2,0.2,0.1,2,3;1;2,1.3363,1.3387,1.2963,0.0267,1.2909,0.9495,0.18,-2.987,0.15,0.02
realistic_deep,0.55,-0.2,0.35,0.45,0.2,0.2,0.1,2,3;1;2,1.3363,1.3387,1.2608,0.0166,1.2909,0.9495,0.18,-5.645,0.15,0.05
realistic_deep,0.55,-0.2,0.35,0.45,0.2,0.2,0.2,1,2;1;1,1.1833,1.1912,1.1912,0.0,1.1833,0.0,0.666,0.666,0.0,0.0
realistic_deep,0.55,-0.2,0.35,0.45,0.2,0.2,0.2,1,2;1;1,1.1833,1.1912,1.1674,0.0,1.1833,0.0,0.666,-1.347,0.0,0.02
realistic_deep,0.55,-0.2,0.35,0.45,0.2,0.2,0.2,1,2;1;1,1.1833,1.1912,1.1317,0.0,1.1833,0.0,0.666,-4.367,0.0,0.05
realistic_deep,0.55,-0.2,0.35,0.45,0.2,0.2,0.2,1,2;1;1,1.1833,1.1912,1.1912,0.0,1.1833,0.0,0.666,0.666,0.05,0.0
realistic_deep,0.55,-0.2,0.35,0.45,0.2,0.2,0.2,1,2;1;1,1.1833,1.1912,1.1595,0.0158,1.1833,0.0,0.666,-2.014,0.05,0.02
