mode,n_tools,complexity,prefix_frac_mean,prefix_frac_std,token_ceiling_frac_mean,token_ceiling_frac_std,posaware_frac_mean,posaware_frac_std,schema_missed_by_apc_mean,rope_tax_mean,posaware_beyond_prefix_mean,posaware_over_ceiling_mean
fixed,4,3,0.2167,0.0101,0.7781,0.0207,0.7781,0.0207,0.5614,0.0,0.5614,1.0
fixed,4,6,0.1119,0.0042,0.7778,0.0152,0.7778,0.0152,0.6659,0.0,0.6659,1.0
fixed,8,3,0.2175,0.0059,0.7782,0.0106,0.7782,0.0106,0.5607,0.0,0.5607,1.0
fixed,8,6,0.1132,0.0037,0.7798,0.0091,0.7798,0.0091,0.6666,0.0,0.6666,1.0
fixed,16,3,0.2223,0.0059,0.7783,0.0099,0.7783,0.0099,0.556,0.0,0.556,1.0
fixed,16,6,0.1111,0.0024,0.7679,0.0064,0.7679,0.0064,0.6568,0.0,0.6568,1.0
var,4,3,0.1158,0.0112,0.4146,0.0369,0.1709,0.0328,0.2988,0.2437,0.0551,0.4096
var,4,6,0.0599,0.007,0.4212,0.0436,0.1112,0.0251,0.3613,0.31,0.0513,0.2612
var,8,3,0.1257,0.0087,0.4448,0.0209,0.1887,0.0183,0.3191,0.2561,0.063,0.4236
var,8,6,0.0634,0.0069,0.4393,0.0382,0.1228,0.0215,0.3759,0.3164,0.0595,0.2778
var,16,3,0.1207,0.0076,0.4288,0.0247,0.1789,0.0171,0.3081,0.2499,0.0582,0.4164
var,16,6,0.0633,0.0026,0.4363,0.0184,0.1165,0.0095,0.373,0.3197,0.0532,0.2667
