n_tools,complexity,mode,seed,pairs,tokens,a_prefix,b_token_ceiling,c_posaware
4,3,var,0,44,2244,264,902,333
4,3,var,1,44,2654,253,946,354
4,3,var,2,44,2099,264,924,406
4,3,var,3,44,2152,253,858,398
4,3,var,4,44,2244,242,902,301
4,3,var,5,44,2121,242,880,408
4,3,var,6,44,2152,242,880,320
4,3,var,7,44,1782,242,880,413
4,6,var,0,44,4027,253,1738,445
4,6,var,1,44,4480,231,1760,411
4,6,var,2,44,4106,242,1738,500
4,6,var,3,44,4935,253,1782,380
4,6,var,4,44,4563,264,1782,496
4,6,var,5,44,4258,253,1804,437
4,6,var,6,44,3217,242,1672,542
4,6,var,7,44,4075,253,1738,442
8,3,var,0,88,3922,506,1782,838
8,3,var,1,88,3705,484,1738,745
8,3,var,2,88,4360,506,1826,696
8,3,var,3,88,3498,495,1672,703
8,3,var,4,88,3887,517,1760,779
8,3,var,5,88,4231,506,1804,707
8,3,var,6,88,4114,495,1804,799
8,3,var,7,88,4293,495,1804,741
8,6,var,0,88,8116,484,3476,943
8,6,var,1,88,6340,506,3344,1061
8,6,var,2,88,7671,484,3476,963
8,6,var,3,88,7451,484,3366,1037
8,6,var,4,88,8848,484,3498,822
8,6,var,5,88,8134,517,3498,1027
8,6,var,6,88,8335,506,3520,935
8,6,var,7,88,8725,528,3542,900
16,3,var,0,176,7641,1001,3586,1601
16,3,var,1,176,8002,990,3476,1545
16,3,var,2,176,9037,1012,3652,1447
16,3,var,3,176,9495,1012,3674,1460
16,3,var,4,176,8405,1012,3586,1505
16,3,var,5,176,8344,1001,3542,1413
16,3,var,6,176,8355,1034,3564,1476
16,3,var,7,176,7981,1023,3652,1512
16,6,var,0,176,15816,990,6908,1859
16,6,var,1,176,16134,1012,6974,1952
16,6,var,2,176,16957,1034,6908,1652
16,6,var,3,176,15349,1012,7040,1893
16,6,var,4,176,15144,990,6886,1902
16,6,var,5,176,16770,990,6952,1760
16,6,var,6,176,16188,1012,6930,1899
16,6,var,7,176,15041,1012,6886,1883
4,3,fixed,0,44,1166,253,924,924
4,3,fixed,1,44,1188,253,902,902
4,3,fixed,2,44,1100,231,858,858
4,3,fixed,3,44,1122,242,880,880
4,3,fixed,4,44,1100,253,880,880
4,3,fixed,5,44,1166,264,924,924
4,3,fixed,6,44,1232,242,902,902
4,3,fixed,7,44,1122,253,880,880
4,6,fixed,0,44,2354,253,1782,1782
4,6,fixed,1,44,2222,242,1672,1672
4,6,fixed,2,44,2222,253,1760,1760
4,6,fixed,3,44,2288,253,1760,1760
4,6,fixed,4,44,2222,253,1760,1760
4,6,fixed,5,44,2112,253,1672,1672
4,6,fixed,6,44,2178,231,1716,1716
4,6,fixed,7,44,2200,253,1716,1716
8,3,fixed,0,88,2310,506,1804,1804
8,3,fixed,1,88,2332,495,1804,1804
8,3,fixed,2,88,2244,495,1782,1782
8,3,fixed,3,88,2288,506,1782,1782
8,3,fixed,4,88,2332,495,1782,1782
8,3,fixed,5,88,2244,495,1738,1738
8,3,fixed,6,88,2442,506,1870,1870
8,3,fixed,7,88,2134,484,1694,1694
8,6,fixed,0,88,4400,506,3388,3388
8,6,fixed,1,88,4444,506,3542,3542
8,6,fixed,2,88,4312,451,3410,3410
8,6,fixed,3,88,4444,517,3454,3454
8,6,fixed,4,88,4510,517,3520,3520
8,6,fixed,5,88,4422,517,3432,3432
8,6,fixed,6,88,4356,484,3388,3388
8,6,fixed,7,88,4378,495,3366,3366
16,3,fixed,0,176,4444,979,3498,3498
16,3,fixed,1,176,4488,1023,3542,3542
16,3,fixed,2,176,4466,1001,3454,3454
16,3,fixed,3,176,4400,1001,3476,3476
16,3,fixed,4,176,4466,1023,3498,3498
16,3,fixed,5,176,4730,1012,3608,3608
16,3,fixed,6,176,4708,1001,3608,3608
16,3,fixed,7,176,4488,1001,3476,3476
16,6,fixed,0,176,8690,990,6732,6732
16,6,fixed,1,176,9130,1001,6886,6886
16,6,fixed,2,176,9152,1012,7018,7018
16,6,fixed,3,176,8954,979,6886,6886
16,6,fixed,4,176,9020,968,6930,6930
16,6,fixed,5,176,8998,1034,6974,6974
16,6,fixed,6,176,9086,1001,6930,6930
16,6,fixed,7,176,8976,1012,6930,6930
