frac,sigma,rho,n_seed,fail_rate,auc_mon,auc_conf,auc_diff,auc_oracle,d_mon_conf,ci_lo_mc,ci_hi_mc,d_mon_diff,ci_lo_md,ci_hi_md,med_lead_mon,med_lead_conf,frac_mon_early
0.2,0.3,0.0,8,0.667,0.699,0.693,0.643,0.789,0.005,-0.013,0.022,0.055,0.032,0.076,2.88,2.25,0.386
0.2,0.3,0.6,8,0.665,0.665,0.671,0.613,0.798,-0.006,-0.021,0.008,0.052,0.034,0.071,2.38,1.56,0.367
0.2,0.8,0.0,8,0.661,0.725,0.708,0.633,0.824,0.017,0.002,0.032,0.092,0.072,0.107,2.38,1.88,0.379
0.2,0.8,0.6,8,0.647,0.681,0.687,0.621,0.808,-0.006,-0.021,0.007,0.06,0.032,0.087,2.62,1.75,0.38
0.5,0.3,0.0,8,0.576,0.734,0.749,0.633,0.845,-0.015,-0.037,0.004,0.101,0.071,0.129,2.0,1.62,0.426
0.5,0.3,0.6,8,0.575,0.741,0.745,0.653,0.859,-0.004,-0.016,0.008,0.088,0.072,0.104,2.12,1.38,0.409
0.5,0.8,0.0,8,0.571,0.742,0.756,0.635,0.846,-0.014,-0.026,-0.0,0.107,0.084,0.127,2.38,1.75,0.425
0.5,0.8,0.6,8,0.577,0.725,0.728,0.645,0.841,-0.003,-0.01,0.005,0.08,0.072,0.087,2.62,1.5,0.422
0.8,0.3,0.0,8,0.492,0.814,0.813,0.682,0.91,0.001,-0.009,0.013,0.132,0.117,0.147,1.75,1.75,0.461
0.8,0.3,0.6,8,0.497,0.794,0.796,0.685,0.923,-0.002,-0.01,0.004,0.108,0.097,0.119,2.38,1.5,0.473
0.8,0.8,0.0,8,0.479,0.812,0.83,0.661,0.926,-0.018,-0.032,-0.006,0.151,0.141,0.161,2.0,1.5,0.481
0.8,0.8,0.6,8,0.493,0.78,0.809,0.671,0.922,-0.029,-0.042,-0.011,0.109,0.084,0.133,2.31,1.38,0.48
