frac,sigma,rho,seed,fail_rate,auc_mon,auc_conf,auc_diff,auc_oracle,d_mon_conf,d_mon_diff,med_lead_mon,med_lead_conf,frac_mon_early,n_fail
0.2,0.3,0.0,0,0.645,0.7097936455944972,0.664755977726826,0.6332023146631728,0.7702533027623103,0.04503766786767116,0.07659133093132442,3,3,0.4186046511627907,258
0.2,0.3,0.0,1,0.7,0.6987797619047619,0.6997619047619048,0.6748809523809524,0.8174107142857143,-0.0009821428571429314,0.023898809523809517,2.0,2,0.3678571428571429,280
0.2,0.3,0.0,2,0.6325,0.6914307224866231,0.6982603318007045,0.6326261729988438,0.782420478072652,-0.006829609314081386,0.058804549487779245,3.0,2,0.4308300395256917,253
0.2,0.3,0.0,3,0.66,0.7098094919786097,0.6719585561497327,0.6126336898395722,0.7880180481283422,0.037850935828877,0.09717580213903743,3.0,2,0.375,264
0.2,0.3,0.0,4,0.675,0.6786039886039886,0.6897435897435897,0.6064387464387464,0.7758119658119658,-0.011139601139601107,0.07216524216524223,3,2,0.3592592592592593,270
0.2,0.3,0.0,5,0.6725,0.6881863844036437,0.7286812906155112,0.6630721643633475,0.8020091376032237,-0.040494906211867576,0.025114220040296176,3,2.0,0.37174721189591076,269
0.2,0.3,0.0,6,0.665,0.6859218942879587,0.6797778027157446,0.6806475143081585,0.7820390528560206,0.006144091572214072,0.005274379979800181,4,3,0.40225563909774437,266
0.2,0.3,0.0,7,0.685,0.7256401343992585,0.7136195110647665,0.64178542463214,0.7968369829683698,0.012020623334491942,0.08385470976711851,2.0,2.0,0.36496350364963503,274
0.2,0.3,0.6,0,0.6625,0.6353319357092942,0.6721174004192872,0.5835359888190077,0.8242068483577918,-0.036785464709993,0.05179594689028655,2.0,2.0,0.37735849056603776,265
0.2,0.3,0.6,1,0.6975,0.6984804052252732,0.6733019342990018,0.6389407269172666,0.8301489973044225,0.025178470926271457,0.05953967830800666,2,1.5,0.3548387096774194,279
0.2,0.3,0.6,2,0.6325,0.6234035116022694,0.6537872065822377,0.6142346266569869,0.7701594471780807,-0.03038369497996829,0.009168884945282452,3,2,0.37549407114624506,253
0.2,0.3,0.6,3,0.6525,0.6724551393368065,0.6684583367788528,0.601091540560655,0.7969624300559552,0.003996802557953649,0.0713635987761515,3,1,0.3793103448275862,261
0.2,0.3,0.6,4,0.6575,0.6638450223418723,0.6612916655102551,0.6098082206988427,0.7874607976464711,0.0025533568316171706,0.0540368016430296,2,2,0.376425855513308,263
0.2,0.3,0.6,5,0.6725,0.6912511705780527,0.7133857373932291,0.5928942364993331,0.8064360509662589,-0.022134566815176338,0.0983569340787196,3.0,1,0.3754646840148699,269
0.2,0.3,0.6,6,0.6875,0.6400290909090909,0.6490763636363637,0.5801309090909091,0.7607272727272727,-0.009047272727272793,0.05989818181818174,2,1.0,0.3563636363636364,275
0.2,0.3,0.6,7,0.66,0.6930982620320856,0.6744373885918004,0.6803141711229946,0.8077372994652406,0.01866087344028522,0.01278409090909094,2.0,2,0.3371212121212121,264
0.2,0.8,0.0,0,0.6625,0.7196366177498253,0.7194968553459119,0.6129699510831587,0.813277428371768,0.00013976240391344597,0.10666666666666669,2.0,2.0,0.36981132075471695,265
0.2,0.8,0.0,1,0.6825,0.6811456260275158,0.6990280061146202,0.6455250785959448,0.7848345879841943,-0.01788238008710441,0.03562054743157106,2,2.0,0.3516483516483517,273
0.2,0.8,0.0,2,0.6575,0.7233770919485998,0.712802864200272,0.6118897615941827,0.8171019399961145,0.010574227748327836,0.11148733035441705,3.0,3,0.3840304182509506,263
0.2,0.8,0.0,3,0.6775,0.7275951829285735,0.6821133327612345,0.6408650133012957,0.8317743642552704,0.045481850167338966,0.08673016962727775,2,1.0,0.3800738007380074,271
0.2,0.8,0.0,4,0.69,0.7379908835904628,0.6867695184665732,0.6665497896213184,0.8114188873305282,0.05122136512388964,0.07144109396914444,3.0,2.0,0.36594202898550726,276
0.2,0.8,0.0,5,0.6325,0.7238041461643946,0.7080476459358447,0.6178107606679035,0.8216503992901508,0.015756500228549908,0.10599338549649107,3.0,2.0,0.391304347826087,253
0.2,0.8,0.0,6,0.6525,0.7448661760246975,0.7194244604316546,0.6398191791394471,0.8371509688800683,0.02544171559304287,0.10504699688525043,2,2,0.40229885057471265,261
0.2,0.8,0.0,7,0.635,0.742368676518175,0.7343328659260058,0.6301909179160824,0.8717236544062129,0.00803581059216918,0.11217775860209256,2.0,1.0,0.3858267716535433,254
