K,rho,sigma_lp,N,auc_schema_max,auc_diff,auc_logprob,auc_combo,auc_oracle,delta_combo_minus_logprob,ci_lo,ci_hi,delta_schema_minus_diff,ci_lo2,ci_hi2
3,0.0,0.5,4000,0.5561,0.6084,0.6239,0.6223,0.6902,-0.0016,-0.0157,0.0142,-0.0523,-0.0830,-0.0228
3,0.0,1.5,4000,0.5404,0.6059,0.5341,0.5462,0.7044,0.0121,-0.0014,0.0270,-0.0655,-0.0967,-0.0354
3,0.5,0.5,4000,0.5270,0.6696,0.6539,0.6238,0.7300,-0.0301,-0.0434,-0.0170,-0.1426,-0.1683,-0.1171
3,0.5,1.5,4000,0.5170,0.6695,0.5600,0.5543,0.7195,-0.0057,-0.0228,0.0086,-0.1525,-0.1758,-0.1237
6,0.0,0.5,4000,0.4978,0.6051,0.6238,0.5842,0.7012,-0.0396,-0.0572,-0.0237,-0.1073,-0.1335,-0.0773
6,0.0,1.5,4000,0.5141,0.5965,0.5257,0.5247,0.6891,-0.0010,-0.0170,0.0129,-0.0823,-0.1106,-0.0544
6,0.5,0.5,4000,0.5136,0.6793,0.6402,0.6048,0.7227,-0.0354,-0.0505,-0.0188,-0.1656,-0.1928,-0.1391
6,0.5,1.5,4000,0.4781,0.6802,0.5599,0.5267,0.7331,-0.0331,-0.0480,-0.0140,-0.2021,-0.2297,-0.1735
12,0.0,0.5,4000,0.5161,0.5902,0.6221,0.5958,0.6889,-0.0263,-0.0394,-0.0106,-0.0741,-0.0996,-0.0477
12,0.0,1.5,4000,0.4999,0.5967,0.5523,0.5353,0.6849,-0.0170,-0.0332,-0.0022,-0.0968,-0.1224,-0.0683
12,0.5,0.5,4000,0.5008,0.6596,0.6407,0.5977,0.7090,-0.0430,-0.0586,-0.0281,-0.1588,-0.1841,-0.1292
12,0.5,1.5,4000,0.5027,0.6806,0.5550,0.5404,0.7226,-0.0145,-0.0302,0.0036,-0.1779,-0.2072,-0.1497
