K,rho,sigma_lp,seed,N,pos_rate,auc_random,auc_diff,auc_logprob,auc_schema_max,auc_schema_mean,auc_oracle,auc_logprob_only,auc_combo,delta_auc_combo_minus_logprob,delta_schema_minus_diff
3,0.0,0.5,1,4000,0.2702,0.5051,0.6006,0.6289,0.5571,0.5547,0.6943,0.6289,0.6216,-0.0073,-0.0435
3,0.0,0.5,2,4000,0.2570,0.4931,0.6131,0.6326,0.5536,0.5542,0.6889,0.6326,0.6247,-0.0079,-0.0596
3,0.0,0.5,3,4000,0.2727,0.4874,0.5770,0.6329,0.5392,0.5440,0.6920,0.6329,0.6184,-0.0145,-0.0378
3,0.0,0.5,4,4000,0.2705,0.4996,0.6086,0.6164,0.5596,0.5612,0.6822,0.6164,0.6152,-0.0012,-0.0490
3,0.0,0.5,5,4000,0.2755,0.4961,0.6077,0.6341,0.5639,0.5630,0.6894,0.6341,0.6308,-0.0034,-0.0438
3,0.0,1.5,1,4000,0.2542,0.4930,0.6094,0.5482,0.5411,0.5437,0.6989,0.5482,0.5545,0.0063,-0.0683
3,0.0,1.5,2,4000,0.2762,0.4920,0.6103,0.5384,0.5464,0.5487,0.6841,0.5384,0.5641,0.0257,-0.0639
3,0.0,1.5,3,4000,0.2617,0.5047,0.6095,0.5484,0.5381,0.5421,0.6935,0.5484,0.5574,0.0090,-0.0714
3,0.0,1.5,4,4000,0.2595,0.4958,0.5884,0.5376,0.5437,0.5443,0.6920,0.5376,0.5573,0.0198,-0.0447
3,0.0,1.5,5,4000,0.2437,0.4987,0.6102,0.5449,0.5476,0.5477,0.6910,0.5449,0.5582,0.0133,-0.0626
3,0.5,0.5,1,4000,0.2587,0.5036,0.6697,0.6434,0.5222,0.5230,0.7098,0.6434,0.6149,-0.0285,-0.1476
3,0.5,0.5,2,4000,0.2695,0.5086,0.6807,0.6490,0.5217,0.5225,0.7263,0.6490,0.6173,-0.0318,-0.1590
3,0.5,0.5,3,4000,0.2740,0.4971,0.6679,0.6350,0.5260,0.5273,0.7176,0.6350,0.6100,-0.0250,-0.1419
3,0.5,0.5,4,4000,0.2642,0.4788,0.6633,0.6443,0.5306,0.5323,0.7311,0.6443,0.6179,-0.0264,-0.1327
3,0.5,0.5,5,4000,0.2725,0.5006,0.6864,0.6551,0.5090,0.5097,0.7302,0.6551,0.6102,-0.0449,-0.1775
3,0.5,1.5,1,4000,0.2627,0.4836,0.6731,0.5588,0.5267,0.5271,0.7217,0.5588,0.5656,0.0068,-0.1465
3,0.5,1.5,2,4000,0.2730,0.5019,0.6754,0.5513,0.5240,0.5281,0.7109,0.5513,0.5511,-0.0002,-0.1514
3,0.5,1.5,3,4000,0.2627,0.5069,0.6707,0.5577,0.5145,0.5152,0.7156,0.5577,0.5524,-0.0053,-0.1562
3,0.5,1.5,4,4000,0.2637,0.4936,0.6762,0.5575,0.5271,0.5329,0.7360,0.5575,0.5598,0.0023,-0.1491
3,0.5,1.5,5,4000,0.2795,0.4956,0.6653,0.5455,0.5249,0.5226,0.7121,0.5455,0.5530,0.0075,-0.1404
6,0.0,0.5,1,4000,0.2737,0.5001,0.6018,0.6474,0.5200,0.5412,0.6918,0.6474,0.6143,-0.0331,-0.0818
6,0.0,0.5,2,4000,0.2732,0.5114,0.5870,0.6130,0.5157,0.5359,0.7055,0.6130,0.5876,-0.0254,-0.0713
6,0.0,0.5,3,4000,0.2630,0.4909,0.5946,0.6291,0.5200,0.5294,0.7066,0.6291,0.6041,-0.0250,-0.0746
6,0.0,0.5,4,4000,0.2635,0.5025,0.6136,0.6338,0.5043,0.5119,0.6897,0.6338,0.5960,-0.0378,-0.1093
6,0.0,0.5,5,4000,0.2720,0.5079,0.5961,0.6105,0.5148,0.5244,0.6931,0.6105,0.5844,-0.0261,-0.0813
6,0.0,1.5,1,4000,0.2615,0.4796,0.6049,0.5224,0.5154,0.5274,0.6819,0.5224,0.5239,0.0015,-0.0895
6,0.0,1.5,2,4000,0.2657,0.5108,0.6136,0.5475,0.5211,0.5343,0.7121,0.5475,0.5461,-0.0014,-0.0925
6,0.0,1.5,3,4000,0.2587,0.5163,0.5890,0.5360,0.5182,0.5167,0.7015,0.5360,0.5385,0.0024,-0.0708
6,0.0,1.5,4,4000,0.2615,0.5035,0.5873,0.5542,0.5161,0.5324,0.6948,0.5542,0.5473,-0.0069,-0.0711
6,0.0,1.5,5,4000,0.2652,0.5206,0.6233,0.5527,0.5153,0.5250,0.6882,0.5527,0.5472,-0.0055,-0.1081
6,0.5,0.5,1,4000,0.2650,0.5065,0.6905,0.6485,0.5104,0.5150,0.7343,0.6485,0.6111,-0.0374,-0.1801
6,0.5,0.5,2,4000,0.2645,0.4825,0.6737,0.6552,0.4986,0.4961,0.7358,0.6552,0.6065,-0.0487,-0.1751
6,0.5,0.5,3,4000,0.2610,0.5143,0.6682,0.6362,0.5055,0.5161,0.7139,0.6362,0.5997,-0.0365,-0.1627
6,0.5,0.5,4,4000,0.2742,0.5091,0.6729,0.6238,0.4883,0.4804,0.7124,0.6238,0.5764,-0.0474,-0.1846
6,0.5,0.5,5,4000,0.2652,0.4903,0.6794,0.6411,0.5073,0.5164,0.7316,0.6411,0.6001,-0.0410,-0.1721
6,0.5,1.5,1,4000,0.2595,0.5030,0.6671,0.5662,0.4915,0.5057,0.7239,0.5662,0.5416,-0.0246,-0.1756
6,0.5,1.5,2,4000,0.2592,0.4990,0.6746,0.5494,0.5081,0.5247,0.7143,0.5494,0.5390,-0.0104,-0.1666
6,0.5,1.5,3,4000,0.2737,0.4828,0.6775,0.5568,0.4984,0.5082,0.7280,0.5568,0.5379,-0.0189,-0.1791
6,0.5,1.5,4,4000,0.2512,0.4969,0.6769,0.5402,0.4909,0.5135,0.7179,0.5402,0.5229,-0.0173,-0.1860
6,0.5,1.5,5,4000,0.2710,0.5069,0.6673,0.5476,0.4974,0.5033,0.7218,0.5476,0.5323,-0.0152,-0.1699
12,0.0,0.5,1,4000,0.2710,0.5144,0.6148,0.6286,0.5331,0.5217,0.6823,0.6286,0.6129,-0.0157,-0.0818
12,0.0,0.5,2,4000,0.2765,0.4988,0.6070,0.6147,0.5188,0.5120,0.6908,0.6147,0.5934,-0.0213,-0.0882
12,0.0,0.5,3,4000,0.2552,0.4994,0.6118,0.6157,0.5133,0.5074,0.6875,0.6157,0.5902,-0.0255,-0.0985
12,0.0,0.5,4,4000,0.2622,0.5005,0.5879,0.6076,0.4878,0.4968,0.6771,0.6076,0.5671,-0.0404,-0.1001
12,0.0,0.5,5,4000,0.2585,0.5040,0.6072,0.6583,0.4972,0.5063,0.6992,0.6583,0.6107,-0.0476,-0.1100
12,0.0,1.5,1,4000,0.2550,0.5285,0.5888,0.5372,0.4953,0.5113,0.6989,0.5372,0.5259,-0.0113,-0.0935
12,0.0,1.5,2,4000,0.2570,0.4856,0.6011,0.5542,0.4902,0.4928,0.6750,0.5542,0.5309,-0.0233,-0.1109
12,0.0,1.5,3,4000,0.2627,0.4995,0.6136,0.5500,0.4999,0.5228,0.6857,0.5500,0.5374,-0.0126,-0.1137
12,0.0,1.5,4,4000,0.2692,0.5003,0.6077,0.5525,0.5070,0.5139,0.6839,0.5525,0.5427,-0.0098,-0.1007
12,0.0,1.5,5,4000,0.2672,0.4932,0.5875,0.5397,0.5037,0.5021,0.6920,0.5397,0.5237,-0.0160,-0.0838
12,0.5,0.5,1,4000,0.2675,0.4899,0.6812,0.6467,0.4892,0.5137,0.7192,0.6467,0.5978,-0.0489,-0.1920
12,0.5,0.5,2,4000,0.2645,0.4931,0.6854,0.6430,0.4880,0.4905,0.7310,0.6430,0.5913,-0.0517,-0.1973
12,0.5,0.5,3,4000,0.2828,0.5099,0.6613,0.6502,0.4966,0.5127,0.7253,0.6502,0.5976,-0.0526,-0.1647
12,0.5,0.5,4,4000,0.2737,0.5016,0.6779,0.6267,0.5141,0.4935,0.7164,0.6267,0.6001,-0.0265,-0.1638
12,0.5,0.5,5,4000,0.2682,0.4941,0.6702,0.6344,0.5091,0.5115,0.7180,0.6344,0.6011,-0.0333,-0.1611
12,0.5,1.5,1,4000,0.2702,0.5086,0.6796,0.5547,0.5025,0.5215,0.7345,0.5547,0.5455,-0.0092,-0.1771
12,0.5,1.5,2,4000,0.2707,0.4871,0.6636,0.5601,0.5185,0.4973,0.7149,0.5601,0.5551,-0.0050,-0.1452
12,0.5,1.5,3,4000,0.2747,0.4755,0.6630,0.5476,0.5120,0.5193,0.7085,0.5476,0.5417,-0.0058,-0.1510
12,0.5,1.5,4,4000,0.2660,0.5038,0.6711,0.5524,0.4855,0.5121,0.7346,0.5524,0.5267,-0.0257,-0.1855
12,0.5,1.5,5,4000,0.2742,0.4929,0.6864,0.5395,0.5118,0.5045,0.7248,0.5395,0.5342,-0.0053,-0.1746
