M,B,Dmean,Wmean,wait_dist,rho,cb_util_mean,ceiling_mean,residual_idle_mean,serial_tput_mean,cb_tput_mean,stepaware_tput_mean,tput_delta_c_minus_b_mean,tput_delta_ci_lo,tput_delta_ci_hi,cb_p99_mean,stepaware_p99_mean,p99_delta_c_minus_b_mean,contention_regime
4,2,8,50,exponential,0.0,0.27570,0.27570,0.00000,0.51205,0.55140,0.56885,0.01745,-0.01860,0.05670,36.4,43.6,7.200,starved
4,2,8,50,exponential,0.5,0.25943,0.25943,0.00000,0.52120,0.51885,0.46190,-0.05695,-0.10845,0.01200,37.2,38.2,1.000,starved
4,2,8,50,exponential,0.9,0.19120,0.19120,0.00000,0.33855,0.38240,0.50260,0.12020,-0.11955,0.32930,36.2,37.2,1.000,starved
4,2,8,50,lognormal-heavytail,0.0,0.27205,0.27205,0.00000,0.53375,0.54410,0.58830,0.04420,-0.02215,0.10790,36.2,37,0.800,starved
4,2,8,50,lognormal-heavytail,0.5,0.21582,0.21582,0.00000,0.45655,0.43165,0.50320,0.07155,-0.08350,0.22660,32.6,32.6,0.000,starved
4,2,8,50,lognormal-heavytail,0.9,0.23285,0.23285,0.00000,0.31710,0.46570,0.35425,-0.11145,-0.31945,0.09655,37.6,35.6,-2.000,starved
4,2,8,200,exponential,0.0,0.07428,0.07428,0.00000,0.14740,0.14855,0.14445,-0.00410,-0.03725,0.02235,40.6,31.6,-9.000,starved
4,2,8,200,exponential,0.5,0.08048,0.08048,0.00000,0.21710,0.16095,0.15195,-0.00900,-0.04995,0.01435,39.4,35.8,-3.600,starved
4,2,8,200,exponential,0.9,0.15338,0.15338,0.00000,0.22085,0.30675,0.17875,-0.12800,-0.19290,-0.07665,36.6,36.8,0.200,starved
4,2,8,200,lognormal-heavytail,0.0,0.07890,0.07890,0.00000,0.15750,0.15780,0.17745,0.01965,-0.02875,0.07620,31.2,33.8,2.600,starved
4,2,8,200,lognormal-heavytail,0.5,0.09717,0.09717,0.00000,0.17265,0.19435,0.21170,0.01735,-0.04830,0.07895,29.8,40.4,10.600,starved
4,2,8,200,lognormal-heavytail,0.9,0.14012,0.14012,0.00000,0.29480,0.28025,0.19515,-0.08510,-0.19055,0.01805,42,33.6,-8.400,starved
4,2,32,50,exponential,0.0,0.75035,0.75035,0.00000,0.95335,1.50070,1.47720,-0.02350,-0.10175,0.05210,173.8,199,25.200,starved
4,2,32,50,exponential,0.5,0.55147,0.55147,0.00000,0.87030,1.10295,1.05865,-0.04430,-0.37655,0.24635,141.2,160.8,19.600,starved
4,2,32,50,exponential,0.9,0.57603,0.57603,0.00000,0.77280,1.15205,0.97930,-0.17275,-0.36120,0.05485,171,161.4,-9.600,starved
4,2,32,50,lognormal-heavytail,0.0,0.71932,0.71932,0.00000,0.94615,1.43865,1.41210,-0.02655,-0.09105,0.05920,163.6,161,-2.600,starved
4,2,32,50,lognormal-heavytail,0.5,0.67943,0.67943,0.00000,0.87795,1.35885,1.29855,-0.06030,-0.22500,0.12270,174.6,163.6,-11.000,starved
4,2,32,50,lognormal-heavytail,0.9,0.43740,0.43740,0.00000,0.65145,0.87480,1.21360,0.33880,0.15755,0.54970,152.8,184.2,31.400,starved
4,2,32,200,exponential,0.0,0.30700,0.30700,0.00000,0.52810,0.61400,0.56505,-0.04895,-0.08455,-0.00695,195,142.6,-52.400,starved
4,2,32,200,exponential,0.5,0.25300,0.25300,0.00000,0.38605,0.50600,0.59375,0.08775,-0.06060,0.23660,144,147.4,3.400,starved
4,2,32,200,exponential,0.9,0.27427,0.27427,0.00000,0.48325,0.54855,0.38970,-0.15885,-0.33980,0.06105,140.4,165.2,24.800,starved
4,2,32,200,lognormal-heavytail,0.0,0.26260,0.26260,0.00000,0.54585,0.52520,0.56600,0.04080,-0.05975,0.15195,156.4,161.6,5.200,starved
4,2,32,200,lognormal-heavytail,0.5,0.28148,0.28148,0.00000,0.40125,0.56295,0.67300,0.11005,-0.04560,0.26365,135.2,127,-8.200,starved
4,2,32,200,lognormal-heavytail,0.9,0.29587,0.29587,0.00000,0.34380,0.59175,0.58780,-0.00395,-0.31425,0.33630,144,139.8,-4.200,starved
4,4,8,50,exponential,0.0,0.13953,0.13953,0.00000,0.49150,0.55810,0.55755,-0.00055,-0.03900,0.03765,37.4,37,-0.400,starved
4,4,8,50,exponential,0.5,0.12671,0.12671,0.00000,0.43235,0.50685,0.57915,0.07230,-0.14480,0.28940,34.2,36,1.800,starved
4,4,8,50,exponential,0.9,0.13449,0.13449,0.00000,0.28890,0.53795,0.58420,0.04625,-0.10780,0.22390,35.6,39.6,4.000,starved
