M,B,Dmean,Wmean,wait_dist,rho,seed,policy,util,ceiling,residual_idle,throughput,p50,p99,nbursts
4,2,8,50,exponential,0.0,0,serial,0.26175,0.37238,0.11063,0.52350,8,43,286
4,2,8,50,exponential,0.0,0,cb,0.27937,0.27937,0.00000,0.55875,5,31,306
4,2,8,50,exponential,0.0,0,stepaware,0.27925,0.27925,0.00000,0.55850,5,31,306
4,2,8,50,exponential,0.0,1,serial,0.26925,0.36600,0.09675,0.53850,8,55,306
4,2,8,50,exponential,0.0,1,cb,0.28125,0.28125,0.00000,0.56250,5,31,319
4,2,8,50,exponential,0.0,1,stepaware,0.28125,0.28125,0.00000,0.56250,5,37,319
4,2,8,50,exponential,0.0,2,serial,0.26450,0.37012,0.10562,0.52900,8,49,286
4,2,8,50,exponential,0.0,2,cb,0.28050,0.28050,0.00000,0.56100,5,36,301
4,2,8,50,exponential,0.0,2,stepaware,0.28087,0.28087,0.00000,0.56175,5,36,301
4,2,8,50,exponential,0.0,3,serial,0.25488,0.35887,0.10400,0.50975,7,73,280
4,2,8,50,exponential,0.0,3,cb,0.28500,0.28500,0.00000,0.57000,5,36,307
4,2,8,50,exponential,0.0,3,stepaware,0.28500,0.28500,0.00000,0.57000,5,36,307
4,2,8,50,exponential,0.0,4,serial,0.25600,0.35900,0.10300,0.51200,9,41,283
4,2,8,50,exponential,0.0,4,cb,0.26913,0.26913,0.00000,0.53825,5,35,304
4,2,8,50,exponential,0.0,4,stepaware,0.26913,0.26913,0.00000,0.53825,5,35,304
4,2,8,50,exponential,0.5,0,serial,0.28687,0.41837,0.13150,0.57375,10,45,298
4,2,8,50,exponential,0.5,0,cb,0.31412,0.31412,0.00000,0.62825,5,36,329
4,2,8,50,exponential,0.5,0,stepaware,0.31412,0.31412,0.00000,0.62825,5,36,329
4,2,8,50,exponential,0.5,1,serial,0.27463,0.39500,0.12038,0.54925,10,60,250
4,2,8,50,exponential,0.5,1,cb,0.28613,0.28613,0.00000,0.57225,6,39,272
4,2,8,50,exponential,0.5,1,stepaware,0.28513,0.28513,0.00000,0.57025,6,39,270
4,2,8,50,exponential,0.5,2,serial,0.20713,0.26800,0.06088,0.41425,7,45,213
4,2,8,50,exponential,0.5,2,cb,0.21713,0.21713,0.00000,0.43425,6,42,221
4,2,8,50,exponential,0.5,2,stepaware,0.21775,0.21775,0.00000,0.43550,6,42,221
4,2,8,50,exponential,0.5,3,serial,0.33600,0.51875,0.18275,0.67200,9,55,347
4,2,8,50,exponential,0.5,3,cb,0.36800,0.36800,0.00000,0.73600,5,47,382
4,2,8,50,exponential,0.5,3,stepaware,0.36800,0.36800,0.00000,0.73600,5,47,382
4,2,8,50,exponential,0.5,4,serial,0.33475,0.50862,0.17388,0.66950,11,59,318
4,2,8,50,exponential,0.5,4,cb,0.37475,0.37475,0.00000,0.74950,6,39,365
4,2,8,50,exponential,0.5,4,stepaware,0.37538,0.37538,0.00000,0.75075,6,39,366
4,2,8,50,exponential,0.9,0,serial,0.32850,0.50313,0.17463,0.65700,9,78,327
4,2,8,50,exponential,0.9,0,cb,0.37350,0.37350,0.00000,0.74700,5,45,374
4,2,8,50,exponential,0.9,0,stepaware,0.37175,0.37175,0.00000,0.74350,5,40,371
