d_fire,rho,W,gain_G,penalty_P,pstar
0.1,0.25,0.5,0.225,0.5,0.6897
0.1,0.25,1.0,0.225,1.0,0.8163
0.1,0.25,2.0,0.225,2.0,0.8989
0.1,0.5,0.5,0.45,0.5,0.5263
0.1,0.5,1.0,0.45,1.0,0.6897
0.1,0.5,2.0,0.45,2.0,0.8163
0.1,1,0.5,0.9,0.5,0.3571
0.1,1,1.0,0.9,1.0,0.5263
0.1,1,2.0,0.9,2.0,0.6897
0.1,2,0.5,1.8,0.5,0.2174
0.1,2,1.0,1.8,1.0,0.3571
0.1,2,2.0,1.8,2.0,0.5263
0.1,4,0.5,3.6,0.5,0.122
0.1,4,1.0,3.6,1.0,0.2174
0.1,4,2.0,3.6,2.0,0.3571
0.1,8,0.5,7.2,0.5,0.0649
0.1,8,1.0,7.2,1.0,0.122
0.1,8,2.0,7.2,2.0,0.2174
0.2,0.25,0.5,0.2,0.5,0.7143
0.2,0.25,1.0,0.2,1.0,0.8333
0.2,0.25,2.0,0.2,2.0,0.9091
0.2,0.5,0.5,0.4,0.5,0.5556
0.2,0.5,1.0,0.4,1.0,0.7143
0.2,0.5,2.0,0.4,2.0,0.8333
0.2,1,0.5,0.8,0.5,0.3846
0.2,1,1.0,0.8,1.0,0.5556
0.2,1,2.0,0.8,2.0,0.7143
0.2,2,0.5,1.6,0.5,0.2381
0.2,2,1.0,1.6,1.0,0.3846
0.2,2,2.0,1.6,2.0,0.5556
0.2,4,0.5,3.2,0.5,0.1351
0.2,4,1.0,3.2,1.0,0.2381
0.2,4,2.0,3.2,2.0,0.3846
0.2,8,0.5,6.4,0.5,0.0725
0.2,8,1.0,6.4,1.0,0.1351
0.2,8,2.0,6.4,2.0,0.2381
0.3,0.25,0.5,0.175,0.5,0.7407
0.3,0.25,1.0,0.175,1.0,0.8511
0.3,0.25,2.0,0.175,2.0,0.9195
0.3,0.5,0.5,0.35,0.5,0.5882
0.3,0.5,1.0,0.35,1.0,0.7407
0.3,0.5,2.0,0.35,2.0,0.8511
0.3,1,0.5,0.7,0.5,0.4167
0.3,1,1.0,0.7,1.0,0.5882
0.3,1,2.0,0.7,2.0,0.7407
0.3,2,0.5,1.4,0.5,0.2632
0.3,2,1.0,1.4,1.0,0.4167
0.3,2,2.0,1.4,2.0,0.5882
0.3,4,0.5,2.8,0.5,0.1515
0.3,4,1.0,2.8,1.0,0.2632
0.3,4,2.0,2.8,2.0,0.4167
0.3,8,0.5,5.6,0.5,0.082
0.3,8,1.0,5.6,1.0,0.1515
0.3,8,2.0,5.6,2.0,0.2632
0.5,0.25,0.5,0.125,0.5,0.8
0.5,0.25,1.0,0.125,1.0,0.8889
0.5,0.25,2.0,0.125,2.0,0.9412
0.5,0.5,0.5,0.25,0.5,0.6667
0.5,0.5,1.0,0.25,1.0,0.8
0.5,0.5,2.0,0.25,2.0,0.8889
0.5,1,0.5,0.5,0.5,0.5
0.5,1,1.0,0.5,1.0,0.6667
0.5,1,2.0,0.5,2.0,0.8
0.5,2,0.5,1.0,0.5,0.3333
0.5,2,1.0,1.0,1.0,0.5
0.5,2,2.0,1.0,2.0,0.6667
0.5,4,0.5,2.0,0.5,0.2
0.5,4,1.0,2.0,1.0,0.3333
0.5,4,2.0,2.0,2.0,0.5
0.5,8,0.5,4.0,0.5,0.1111
0.5,8,1.0,4.0,1.0,0.2
0.5,8,2.0,4.0,2.0,0.3333
0.7,0.25,0.5,0.075,0.5,0.8696
0.7,0.25,1.0,0.075,1.0,0.9302
0.7,0.25,2.0,0.075,2.0,0.9639
0.7,0.5,0.5,0.15,0.5,0.7692
0.7,0.5,1.0,0.15,1.0,0.8696
0.7,0.5,2.0,0.15,2.0,0.9302
0.7,1,0.5,0.3,0.5,0.625
0.7,1,1.0,0.3,1.0,0.7692
0.7,1,2.0,0.3,2.0,0.8696
0.7,2,0.5,0.6,0.5,0.4545
0.7,2,1.0,0.6,1.0,0.625
0.7,2,2.0,0.6,2.0,0.7692
0.7,4,0.5,1.2,0.5,0.2941
0.7,4,1.0,1.2,1.0,0.4545
0.7,4,2.0,1.2,2.0,0.625
0.7,8,0.5,2.4,0.5,0.1724
0.7,8,1.0,2.4,1.0,0.2941
0.7,8,2.0,2.4,2.0,0.4545
