f_fl,remainder_mix,acc,rho,W,fire_mode,d_fixed,seed,n,L_base,E_early,dL,pct_reduction,n_fire,n_win,n_wrong,n_hold,frac_front_actual,p_correct_given_fire,win
0.1,uniform_heavy,0.5,0.25,0.5,blind,0.2,0,2500,1.25,1.6122,-0.3622,-28.979,2500,492,2008,0,0.1064,0.1968,0
0.1,uniform_heavy,0.5,0.25,0.5,blind,0.2,1,2500,1.25,1.622,-0.372,-29.763,2500,457,2043,0,0.0896,0.1828,0
0.1,uniform_heavy,0.5,0.25,0.5,blind,0.2,2,2500,1.25,1.6206,-0.3706,-29.651,2500,462,2038,0,0.0924,0.1848,0
0.1,uniform_heavy,0.5,0.25,0.5,blind,0.2,3,2500,1.25,1.6248,-0.3748,-29.987,2500,447,2053,0,0.0972,0.1788,0
0.1,uniform_heavy,0.5,0.25,0.5,blind,0.2,4,2500,1.25,1.6103,-0.3603,-28.822,2500,499,2001,0,0.0988,0.1996,0
0.1,uniform_heavy,0.5,0.25,0.5,blind,0.2,5,2500,1.25,1.6257,-0.3757,-30.054,2500,444,2056,0,0.0948,0.1776,0
0.1,uniform_heavy,0.5,0.25,0.5,blind,0.2,6,2500,1.25,1.6204,-0.3704,-29.629,2500,463,2037,0,0.1072,0.1852,0
0.1,uniform_heavy,0.5,0.25,0.5,blind,0.3,0,2500,1.25,1.5659,-0.3159,-25.269,2500,682,1818,0,0.1028,0.2728,0
0.1,uniform_heavy,0.5,0.25,0.5,blind,0.3,1,2500,1.25,1.5783,-0.3283,-26.262,2500,636,1864,0,0.1008,0.2544,0
0.1,uniform_heavy,0.5,0.25,0.5,blind,0.3,2,2500,1.25,1.5723,-0.3223,-25.787,2500,658,1842,0,0.0904,0.2632,0
0.1,uniform_heavy,0.5,0.25,0.5,blind,0.3,3,2500,1.25,1.5715,-0.3215,-25.722,2500,661,1839,0,0.1068,0.2644,0
0.1,uniform_heavy,0.5,0.25,0.5,blind,0.3,4,2500,1.25,1.5794,-0.3294,-26.349,2500,632,1868,0,0.09,0.2528,0
0.1,uniform_heavy,0.5,0.25,0.5,blind,0.3,5,2500,1.25,1.5642,-0.3142,-25.139,2500,688,1812,0,0.0952,0.2752,0
0.1,uniform_heavy,0.5,0.25,0.5,blind,0.3,6,2500,1.25,1.5721,-0.3221,-25.766,2500,659,1841,0,0.1056,0.2636,0
0.1,uniform_heavy,0.5,0.25,0.5,blind,0.5,0,2500,1.25,1.4872,-0.2372,-18.98,2500,1051,1449,0,0.0996,0.4204,0
0.1,uniform_heavy,0.5,0.25,0.5,blind,0.5,1,2500,1.25,1.4923,-0.2423,-19.38,2500,1031,1469,0,0.1012,0.4124,0
0.1,uniform_heavy,0.5,0.25,0.5,blind,0.5,2,2500,1.25,1.4795,-0.2295,-18.36,2500,1082,1418,0,0.1004,0.4328,0
