f_fl,remainder_mix,acc,rho,W,fire_mode,d_fixed,seed,n,L_base,E_early,dL,pct_reduction,n_fire,n_win,n_wrong,n_hold,frac_front_actual,p_correct_given_fire,win
0.1,uniform_heavy,0.5,0.25,0.5,smart,0.3,0,2500,1.25,1.3551,-0.1051,-8.406,1232,514,718,1268,0.0976,0.4172,0
0.1,uniform_heavy,0.5,0.25,0.5,smart,0.3,1,2500,1.25,1.3485,-0.0985,-7.879,1219,531,688,1281,0.094,0.4356,0
0.1,uniform_heavy,0.5,0.25,0.5,smart,0.3,2,2500,1.25,1.3637,-0.1137,-9.095,1287,523,764,1213,0.098,0.4064,0
0.1,uniform_heavy,0.5,0.25,0.5,smart,0.3,3,2500,1.25,1.3612,-0.1112,-8.895,1277,526,751,1223,0.0928,0.4119,0
0.1,uniform_heavy,0.5,0.25,0.5,smart,0.3,4,2500,1.25,1.3588,-0.1088,-8.703,1302,552,750,1198,0.1072,0.424,0
0.1,uniform_heavy,0.5,0.25,0.5,smart,0.3,5,2500,1.25,1.3591,-0.1091,-8.731,1274,533,741,1226,0.0996,0.4184,0
0.1,uniform_heavy,0.5,0.25,0.5,smart,0.3,6,2500,1.25,1.3553,-0.1053,-8.421,1301,565,736,1199,0.1092,0.4343,0
0.1,uniform_heavy,0.5,0.25,1.0,smart,0.3,0,2500,1.25,1.5277,-0.2777,-22.22,1264,481,783,1236,0.0876,0.3805,0
0.1,uniform_heavy,0.5,0.25,1.0,smart,0.3,1,2500,1.25,1.5044,-0.2544,-20.349,1216,490,726,1284,0.0868,0.403,0
0.1,uniform_heavy,0.5,0.25,1.0,smart,0.3,2,2500,1.25,1.4951,-0.2451,-19.609,1242,531,711,1258,0.1032,0.4275,0
0.1,uniform_heavy,0.5,0.25,1.0,smart,0.3,3,2500,1.25,1.5,-0.25,-20.002,1246,524,722,1254,0.1024,0.4205,0
0.1,uniform_heavy,0.5,0.25,1.0,smart,0.3,4,2500,1.25,1.4891,-0.2391,-19.131,1199,507,692,1301,0.1016,0.4229,0
0.1,uniform_heavy,0.5,0.25,1.0,smart,0.3,5,2500,1.25,1.5047,-0.2547,-20.378,1257,523,734,1243,0.0932,0.4161,0
0.1,uniform_heavy,0.5,0.25,1.0,smart,0.3,6,2500,1.25,1.489,-0.239,-19.122,1243,544,699,1257,0.0932,0.4377,0
0.1,uniform_heavy,0.5,0.25,2.0,smart,0.3,0,2500,1.25,1.8015,-0.5515,-44.119,1236,500,736,1264,0.1032,0.4045,0
0.1,uniform_heavy,0.5,0.25,2.0,smart,0.3,1,2500,1.25,1.7861,-0.5361,-42.887,1263,543,720,1237,0.1084,0.4299,0
0.1,uniform_heavy,0.5,0.25,2.0,smart,0.3,2,2500,1.25,1.7972,-0.5472,-43.774,1229,499,730,1271,0.1032,0.406,0
0.1,uniform_heavy,0.5,0.25,2.0,smart,0.3,3,2500,1.25,1.8021,-0.5521,-44.169,1218,483,735,1282,0.088,0.3966,0
0.1,uniform_heavy,0.5,0.25,2.0,smart,0.3,4,2500,1.25,1.792,-0.542,-43.361,1279,551,728,1221,0.0984,0.4308,0
0.1,uniform_heavy,0.5,0.25,2.0,smart,0.3,5,2500,1.25,1.7979,-0.5479,-43.834,1232,501,731,1268,0.1056,0.4067,0
0.1,uniform_heavy,0.5,0.25,2.0,smart,0.3,6,2500,1.25,1.8103,-0.5603,-44.824,1283,533,750,1217,0.0964,0.4154,0
0.1,uniform_heavy,0.5,0.5,0.5,smart,0.3,0,2500,1.5,1.5647,-0.0647,-4.31,1246,529,717,1254,0.0932,0.4246,0
0.1,uniform_heavy,0.5,0.5,0.5,smart,0.3,1,2500,1.5,1.5716,-0.0716,-4.776,1203,485,718,1297,0.1028,0.4032,0
0.1,uniform_heavy,0.5,0.5,0.5,smart,0.3,2,2500,1.5,1.5593,-0.0593,-3.955,1223,534,689,1277,0.1092,0.4366,0
0.1,uniform_heavy,0.5,0.5,0.5,smart,0.3,3,2500,1.5,1.5754,-0.0754,-5.029,1285,523,762,1215,0.1036,0.407,0
0.1,uniform_heavy,0.5,0.5,0.5,smart,0.3,4,2500,1.5,1.5791,-0.0791,-5.271,1239,485,754,1261,0.098,0.3914,0
0.1,uniform_heavy,0.5,0.5,0.5,smart,0.3,5,2500,1.5,1.5601,-0.0601,-4.007,1262,552,710,1238,0.1092,0.4374,0
0.1,uniform_heavy,0.5,0.5,0.5,smart,0.3,6,2500,1.5,1.5709,-0.0709,-4.726,1278,533,745,1222,0.0976,0.4171,0
0.1,uniform_heavy,0.5,0.5,1.0,smart,0.3,0,2500,1.5,1.7144,-0.2144,-14.294,1275,540,735,1225,0.0868,0.4235,0
0.1,uniform_heavy,0.5,0.5,1.0,smart,0.3,1,2500,1.5,1.7053,-0.2053,-13.684,1266,549,717,1234,0.0972,0.4336,0
