seed,restore_rate,paraphrase_rate,T,distinct_facts,true_dup_writes,amplification_rate
0,0.2,0.0,1000,250,750,0.75
0,0.2,0.3,1000,250,750,0.75
0,0.2,0.6,1000,250,750,0.75
0,0.4,0.0,1000,250,750,0.75
0,0.4,0.3,1000,250,750,0.75
0,0.4,0.6,1000,250,750,0.75
0,0.6,0.0,1000,250,750,0.75
0,0.6,0.3,1000,250,750,0.75
0,0.6,0.6,1000,250,750,0.75
1,0.2,0.0,1000,250,750,0.75
1,0.2,0.3,1000,250,750,0.75
1,0.2,0.6,1000,250,750,0.75
1,0.4,0.0,1000,250,750,0.75
1,0.4,0.3,1000,250,750,0.75
1,0.4,0.6,1000,250,750,0.75
1,0.6,0.0,1000,250,750,0.75
1,0.6,0.3,1000,250,750,0.75
1,0.6,0.6,1000,250,750,0.75
2,0.2,0.0,1000,250,750,0.75
2,0.2,0.3,1000,250,750,0.75
2,0.2,0.6,1000,250,750,0.75
2,0.4,0.0,1000,250,750,0.75
2,0.4,0.3,1000,250,750,0.75
2,0.4,0.6,1000,250,750,0.75
2,0.6,0.0,1000,250,750,0.75
2,0.6,0.3,1000,250,750,0.75
2,0.6,0.6,1000,250,750,0.75
3,0.2,0.0,1000,250,750,0.75
3,0.2,0.3,1000,250,750,0.75
3,0.2,0.6,1000,250,750,0.75
3,0.4,0.0,1000,250,750,0.75
3,0.4,0.3,1000,250,750,0.75
3,0.4,0.6,1000,250,750,0.75
3,0.6,0.0,1000,250,750,0.75
3,0.6,0.3,1000,250,750,0.75
3,0.6,0.6,1000,250,750,0.75
4,0.2,0.0,1000,250,750,0.75
4,0.2,0.3,1000,250,750,0.75
4,0.2,0.6,1000,250,750,0.75
4,0.4,0.0,1000,250,750,0.75
4,0.4,0.3,1000,250,750,0.75
4,0.4,0.6,1000,250,750,0.75
4,0.6,0.0,1000,250,750,0.75
4,0.6,0.3,1000,250,750,0.75
4,0.6,0.6,1000,250,750,0.75
