seed,restore_rate,paraphrase_rate,horizon,cap,thr,amplification_rate,growth_nodedup_uncapped,recall_nodedup_uncapped,size_sizecap,recall_sizecap,size_dedup,recall_dedup,size_oracle,recall_oracle,dedup_minus_sizecap_recall,oracle_minus_dedup_recall,gate_prec,gate_rec,skipped_false,skipped_true
0,0.2,0.0,long,120,0.3,0.75,1000,1.0,120,0.355,106,0.635,120,0.46,0.28,-0.175,0.3691,1.0,564,330
0,0.2,0.0,long,120,0.5,0.75,1000,1.0,120,0.355,120,0.55,120,0.46,0.195,-0.09,0.7617,1.0,112,358
0,0.2,0.0,long,120,0.7,0.75,1000,1.0,120,0.355,120,0.48,120,0.46,0.125,-0.02,0.9946,1.0,2,370
0,0.2,0.0,long,200,0.3,0.75,1000,1.0,200,0.585,106,0.635,200,0.91,0.05,0.275,0.3691,1.0,564,330
0,0.2,0.0,long,200,0.5,0.75,1000,1.0,200,0.585,200,0.775,200,0.91,0.19,0.135,0.8322,1.0,120,595
0,0.2,0.0,long,200,0.7,0.75,1000,1.0,200,0.585,200,0.91,200,0.91,0.325,0.0,0.995,1.0,3,603
0,0.2,0.0,short,120,0.3,0.75,1000,1.0,120,0.405,106,0.275,120,0.5,-0.13,0.225,0.3691,1.0,564,330
0,0.2,0.0,short,120,0.5,0.75,1000,1.0,120,0.405,120,0.48,120,0.5,0.075,0.02,0.7617,1.0,112,358
0,0.2,0.0,short,120,0.7,0.75,1000,1.0,120,0.405,120,0.495,120,0.5,0.09,0.005,0.9946,1.0,2,370
0,0.2,0.0,short,200,0.3,0.75,1000,1.0,200,0.555,106,0.275,200,0.68,-0.28,0.405,0.3691,1.0,564,330
0,0.2,0.0,short,200,0.5,0.75,1000,1.0,200,0.555,200,0.885,200,0.68,0.33,-0.205,0.8322,1.0,120,595
0,0.2,0.0,short,200,0.7,0.75,1000,1.0,200,0.555,200,0.685,200,0.68,0.13,-0.005,0.995,1.0,3,603
0,0.2,0.3,long,120,0.3,0.75,1000,1.0,120,0.35,120,0.5,120,0.445,0.15,-0.055,0.3895,0.9737,522,333
0,0.2,0.3,long,120,0.5,0.75,1000,1.0,120,0.35,120,0.36,120,0.445,0.01,0.085,0.7457,0.8703,103,302
0,0.2,0.3,long,120,0.7,0.75,1000,1.0,120,0.35,120,0.41,120,0.445,0.06,0.035,0.9898,0.8484,3,291
0,0.2,0.3,long,200,0.3,0.75,1000,1.0,200,0.51,128,0.625,200,0.93,0.115,0.305,0.3945,0.9801,528,344
0,0.2,0.3,long,200,0.5,0.75,1000,1.0,200,0.51,200,0.87,200,0.93,0.36,0.06,0.8079,0.9145,117,492
0,0.2,0.3,long,200,0.7,0.75,1000,1.0,200,0.51,200,0.715,200,0.93,0.205,0.215,0.9918,0.8798,4,483
0,0.2,0.3,short,120,0.3,0.75,1000,1.0,120,0.375,120,0.37,120,0.435,-0.005,0.065,0.3895,0.9737,522,333
0,0.2,0.3,short,120,0.5,0.75,1000,1.0,120,0.375,120,0.465,120,0.435,0.09,-0.03,0.7457,0.8703,103,302
0,0.2,0.3,short,120,0.7,0.75,1000,1.0,120,0.375,120,0.48,120,0.435,0.105,-0.045,0.9898,0.8484,3,291
0,0.2,0.3,short,200,0.3,0.75,1000,1.0,200,0.585,128,0.325,200,0.63,-0.26,0.305,0.3945,0.9801,528,344
0,0.2,0.3,short,200,0.5,0.75,1000,1.0,200,0.585,200,0.565,200,0.63,-0.02,0.065,0.8079,0.9145,117,492
0,0.2,0.3,short,200,0.7,0.75,1000,1.0,200,0.585,200,0.69,200,0.63,0.105,-0.06,0.9918,0.8798,4,483
0,0.2,0.6,long,120,0.3,0.75,1000,1.0,120,0.4,120,0.475,120,0.495,0.075,0.02,0.3724,0.9286,504,299
0,0.2,0.6,long,120,0.5,0.75,1000,1.0,120,0.4,120,0.45,120,0.495,0.05,0.045,0.7527,0.7784,90,274
0,0.2,0.6,long,120,0.7,0.75,1000,1.0,120,0.4,120,0.445,120,0.495,0.045,0.05,0.9961,0.7167,1,253
0,0.2,0.6,long,200,0.3,0.75,1000,1.0,200,0.57,145,0.685,200,0.92,0.115,0.235,0.3942,0.9466,518,337
