boiler_len,boiler_rate,span_thresh,pass_recall,pass_prec,mean_flagged
8,0.02,0.6,1.0,1.0,60.0
8,0.02,0.8,1.0,1.0,60.0
8,0.1,0.6,1.0,1.0,60.0
8,0.1,0.8,1.0,1.0,60.0
8,0.3,0.6,1.0,1.0,60.0
8,0.3,0.8,1.0,1.0,60.0
16,0.02,0.6,1.0,1.0,60.0
16,0.02,0.8,1.0,1.0,60.0
16,0.1,0.6,1.0,1.0,60.0
16,0.1,0.8,1.0,1.0,60.0
16,0.3,0.6,1.0,1.0,60.0
16,0.3,0.8,1.0,1.0,60.0
40,0.02,0.6,1.0,1.0,60.0
40,0.02,0.8,1.0,1.0,60.0
40,0.1,0.6,1.0,1.0,60.0
40,0.1,0.8,1.0,1.0,60.0
40,0.3,0.6,1.0,1.0,60.0
40,0.3,0.8,1.0,1.0,60.0
